pair,symbol,ts,column,live_value,reference_value,abs_diff,rel_diff_bps
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T13:00:00+00:00,low,0.2782500088214874,0.2797200083732605,0.0014699995517730713,52.552534955293325
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T16:00:00+00:00,low,0.2802099883556366,0.2815299928188324,0.0013200044631958008,46.88681479295309
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T08:00:00+00:00,low,0.2673400044441223,0.2684299945831299,0.0010899901390075684,40.60612304896539
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T22:00:00+00:00,low,0.2491600066423416,0.2501400113105774,0.0009800046682357788,39.17824513963866
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T00:00:00+00:00,low,0.24936999380588531,0.25029000639915466,0.0009200125932693481,36.75786366804198
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T09:00:00+00:00,low,0.26657000184059143,0.2674799859523773,0.0009099841117858887,34.020643022910285
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-05T18:00:00+00:00,low,0.257779985666275,0.2585799992084503,0.000800013542175293,30.938724751498444
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T21:00:00+00:00,low,0.28033000230789185,0.28110000491142273,0.0007700026035308838,27.392479191649922
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T20:00:00+00:00,low,0.2502099871635437,0.25095000863075256,0.0007400214672088623,29.488800229440464
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T06:00:00+00:00,low,0.2776300013065338,0.2783699929714203,0.0007399916648864746,26.583025597965516
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T19:00:00+00:00,low,0.2793799936771393,0.2801100015640259,0.0007300078868865967,26.061471665078543
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T12:00:00+00:00,low,0.24966000020503998,0.25036001205444336,0.0007000118494033813,27.960209925663232
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-04T01:00:00+00:00,low,0.2477799952030182,0.24848000705242157,0.0007000118494033813,28.171757466817063
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T11:00:00+00:00,low,0.26708000898361206,0.2677600085735321,0.0006799995899200439,25.39586077632287
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T11:00:00+00:00,low,0.2786700129508972,0.2793099880218506,0.0006399750709533691,22.912716995401667
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-13T18:00:00+00:00,low,0.26412999629974365,0.26475000381469727,0.0006200075149536133,23.418602682535422
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T12:00:00+00:00,low,0.2779900133609772,0.2786000072956085,0.0006099939346313477,21.89497195468892
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-01T18:00:00+00:00,low,0.24966000020503998,0.25012001395225525,0.000460013747215271,18.391720836185538
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T23:00:00+00:00,low,0.2796199917793274,0.2800399959087372,0.00042000412940979004,14.998005125905875
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T17:00:00+00:00,low,0.28029000759124756,0.2805899977684021,0.000299990177154541,10.691406662405399
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T12:00:00+00:00,low,0.2678000032901764,0.26809000968933105,0.0002900063991546631,10.817501162789664
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T05:00:00+00:00,low,0.27706000208854675,0.2772899866104126,0.00022998452186584473,8.294007464069333
