short_head,head,side,strategy_id,horizon,n_periods,mean_ic,median_ic,std_ic,positive_frac,weighted_mean_ic,mean_period_hit,mean_top10_hit
long_loc_bb_channel_pos_48_0_63256526_zscore_price_200_-0_64289832_xasset_asse,long_loc_bb_channel_pos_48_0_63256526_zscore_price_200_-0_64289832_xasset_asset_minus_basket_fund_z_0_1707595,long,loc_bb_channel_pos_48_0_63256526_zscore_price_200_-0_64289832_xasset_asset_minus_basket_fund_z_0_1707595,5,74,0.04302383411549762,0.046377106262105464,0.16191504450247035,0.5405405405405406,,0.5056938211808297,0.5211740961740962
short_pullback_depth_0_24470541_funding_vol_15d_robust_z_-1_3529069_oi_value_l,short_pullback_depth_0_24470541_funding_vol_15d_robust_z_-1_3529069_oi_value_log_1d_robust_z_-0_20343116_rolling_range_20_-0_047985628_volume_trend_48_-0_39134601,short,pullback_depth_0_24470541_funding_vol_15d_robust_z_-1_3529069_oi_value_log_1d_robust_z_-0_20343116_rolling_range_20_-0_047985628_volume_trend_48_-0_39134601,10,76,0.041074315693568834,0.05109613071600563,0.15151979829847484,0.6052631578947368,,0.4958905496812825,0.5358709273182957
short_price_trend_7d_vol_norm_0_13399115,short_price_trend_7d_vol_norm_0_13399115,short,price_trend_7d_vol_norm_0_13399115,10,62,0.03886329573988612,0.06599118175436333,0.13773112454356426,0.6451612903225806,,0.5346847568549272,0.5879469992373217
long_bars_in_high_vol_state_log_norm_-0_38407263_pullback_depth_1_8353814_pull,long_bars_in_high_vol_state_log_norm_-0_38407263_pullback_depth_1_8353814_pullback_depth_-0_90359813_asset_funding_rate_abs_mean_7d_0_000011711979_variance_ratio_10_48_-0_27143899,long,bars_in_high_vol_state_log_norm_-0_38407263_pullback_depth_1_8353814_pullback_depth_-0_90359813_asset_funding_rate_abs_mean_7d_0_000011711979_variance_ratio_10_48_-0_27143899,5,87,0.035931087168455375,0.018792738641643995,0.17943018021105261,0.5287356321839081,,0.4840570315414104,0.5280676220331392
long_price_rv_10d_robust_z_0_550174_price_rv_15d_robust_z_-0_43505031_range_24,long_price_rv_10d_robust_z_0_550174_price_rv_15d_robust_z_-0_43505031_range_24h_pct_0_07499177,long,price_rv_10d_robust_z_0_550174_price_rv_15d_robust_z_-0_43505031_range_24h_pct_0_07499177,10,67,0.035125490974447345,0.0446051156614086,0.1760348868327144,0.5671641791044776,,0.5015080629185352,0.5353823208300821
short_oiw_pos_delta_entry_dist_7d_atr_-1_3330443_atr_compression_ratio_0_23497,short_oiw_pos_delta_entry_dist_7d_atr_-1_3330443_atr_compression_ratio_0_23497266_cs_rank_oi_value_z_30d_0_317384_ema50_slope_0_22638309_price_trend_15d_vol_norm_-0_045326479,short,oiw_pos_delta_entry_dist_7d_atr_-1_3330443_atr_compression_ratio_0_23497266_cs_rank_oi_value_z_30d_0_317384_ema50_slope_0_22638309_price_trend_15d_vol_norm_-0_045326479,5,85,0.034439857552083106,0.03162111967142859,0.1675577780015073,0.5294117647058824,,0.47764992962002706,0.466861471861472
short_loc_range_pos_48_0_57318801_asset_minus_mkt_oi_1d_-0_0024681017_funding_,short_loc_range_pos_48_0_57318801_asset_minus_mkt_oi_1d_-0_0024681017_funding_mean_10d_robust_z_-0_39873075,short,loc_range_pos_48_0_57318801_asset_minus_mkt_oi_1d_-0_0024681017_funding_mean_10d_robust_z_-0_39873075,10,100,0.03431891275788218,0.0,0.177145159866802,0.47,0.033891615489118995,0.5246125431052467,0.523952380952381
long_asset_minus_mkt_oi_1d_z_90d_-0_068236656_atr_compression_ratio_-0_1286176,long_asset_minus_mkt_oi_1d_z_90d_-0_068236656_atr_compression_ratio_-0_12861766_oi_trend_7d_robust_z_-0_75083274_price_trend_7d_vol_norm_-0_10092611,long,asset_minus_mkt_oi_1d_z_90d_-0_068236656_atr_compression_ratio_-0_12861766_oi_trend_7d_robust_z_-0_75083274_price_trend_7d_vol_norm_-0_10092611,10,83,0.03288638583382306,0.031986301594572775,0.1876690539013806,0.5301204819277109,,0.5257772048421413,0.5535844677410942
short_dist_ema200_atr_-0_033351555_dist_prior_day_high_0_043078993_price_rv_10,short_dist_ema200_atr_-0_033351555_dist_prior_day_high_0_043078993_price_rv_10d_robust_z_0_23050037,short,dist_ema200_atr_-0_033351555_dist_prior_day_high_0_043078993_price_rv_10d_robust_z_0_23050037,5,72,0.019273643198344882,0.04697994369286307,0.17791110575856275,0.5277777777777778,,0.4456452599159376,0.4406868594368594
short_bars_in_high_vol_state_log_norm_0_70405531_log_oi_to_volume_1d_1_9581066,short_bars_in_high_vol_state_log_norm_0_70405531_log_oi_to_volume_1d_1_9581066_price_rv_7d_robust_z_-1_2890067,short,bars_in_high_vol_state_log_norm_0_70405531_log_oi_to_volume_1d_1_9581066_price_rv_7d_robust_z_-1_2890067,5,77,0.013516183394131435,0.021786439868068767,0.19056488302748703,0.5064935064935064,,0.4555926186376083,0.4788806431663575
