canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(dist_prior_day_high<=0.085584767)|(direction_entropy_20>-0.026825203&prior_volatility>0.013672687&tail_asymmetry_q90_q10_atr_norm>0.47517946),4,4,location|regime,context|path_structure,context,context|path_structure
(*)|(dist_prior_day_high>0.085584767)|(prior_volatility>0.013672687),2,2,location|regime,context,context,context
(*)|(dist_prior_day_high<=0.059891917&loc_range_pos_24<=0.72796679&zscore_price_50<=-0.46528116)|(atr_percentile>-0.015879393&true_range_percentile<=0.47115934),5,5,location|regime,compression|volatility,context,compression|context|volatility
(*)|(dist_prior_day_high<=0.059891917&loc_range_pos_24<=0.72796679&zscore_price_50>-0.46528116)|(atr_percentile>-0.015879393&true_range_percentile<=0.47115934),5,5,location|regime,compression|volatility,context,compression|context|volatility
(*)|(dist_prior_day_high<=0.059891917&loc_ema_stack_pos_24>1.1531695&loc_range_pos_24>0.72796679)|(*),3,3,location,,context|trend,context|trend
(*)|(dist_prior_day_high>0.059891917)|(realized_volatility_24h<=0.4271552&volume_entropy_24<=0.069990076),3,3,location|regime,liquidity|volatility,context,context|liquidity|volatility
(*)|(dist_prior_day_high>0.059891917)|(realized_volatility_24h>0.4271552),2,2,location|regime,volatility,context,context|volatility
(*)|(loc_range_pos_48<=0.27131766)|(range_24h_pct<=0.049604192&range_expansion_ratio>-0.66037488),3,3,location|regime,compression|volatility_term_structure,context,compression|context|volatility_term_structure
(*)|(loc_ema_stack_pos_24<=0.66248989&loc_ema_stack_pos_24>-0.18625273&loc_range_pos_48>0.27131766)|(range_24h_pct<=0.049604192&range_expansion_ratio>-0.66037488),5,5,location|regime,compression|volatility_term_structure,context|trend,compression|context|trend|volatility_term_structure
(*)|(dist_weekly_vwap<=-0.032091048)|(range_24h_pct<=0.11370909&range_24h_pct>0.073803067),3,3,location|regime,compression,context,compression|context
(*)|(dist_weekly_vwap<=-0.032091048)|(range_24h_pct>0.11370909),2,2,location|regime,compression,context,compression|context
(*)|(bars_in_high_vol_state_log_norm<=0.70819962&dist_weekly_vwap>-0.032091048)|(range_24h_pct>0.073803067),3,3,location|regime,compression,context,compression|context
(*)|(dist_prior_day_low>0.0082500661&dist_rolling_7d_high<=0.22538765&dist_weekly_vwap<=0.026384695)|(compression_score<=-0.44339746&prior_range<=-0.099328145&up_down_return_mass_ratio_tanh<=0.37440974),6,6,location|regime,context|path_structure|volatility_term_structure,context,context|path_structure|volatility_term_structure
(*)|(dist_prior_day_low>0.0082500661&dist_rolling_7d_high<=0.22538765&dist_weekly_vwap<=0.026384695)|(compression_score>-0.44339746&prior_range<=-0.099328145&up_down_return_mass_ratio_tanh<=0.37440974),6,6,location|regime,context|path_structure|volatility_term_structure,context,context|path_structure|volatility_term_structure
(*)|(dist_prior_day_low>0.0082500661&dist_rolling_7d_high<=0.22538765)|(compression_score>-0.17003107&prior_range>-0.099328145&up_down_return_mass_ratio_tanh<=0.37440974),5,5,location|regime,context|path_structure|volatility_term_structure,context,context|path_structure|volatility_term_structure
