within_leaf_mean_ic,within_leaf_positive_ic_fraction,within_leaf_mean_top_quantile_spread,within_leaf_mean_edge_uplift,within_leaf_hit_lift,within_leaf_valid_folds,within_leaf_future_edge_learnability_score,learnability_definition,canonical_key
0.19638850533660518,1.0,0.010199247521835412,0.006101172919632947,0.0645185457083094,4,0.9458651276618876,within_leaf_future_edge,(*)|(*)|(asset_vol_level_pct<=0.35979849&mark_vs_perp_bps>-0.4998889&symbol_minus_mkt_ret_1h<=0.096948549)
0.14990231129153908,1.0,0.00975466823244658,0.0057401083816801205,0.0378138352412625,4,0.9054100947692353,within_leaf_future_edge,(*)|(loc_swing_range_pos_24<=0.011167804)|(mark_vs_perp_bps>-0.40680221&ob_depth_usd_l20_z>-0.58709157&ret24h_peer_resid<=-0.18250893)
0.09012650420849937,0.75,0.005771742287188918,0.0031416185914975485,0.001227980018975089,4,0.7962205202258625,within_leaf_future_edge,(*)|(*)|(asset_funding_rate_mean_15d<=-0.000012356716&mark_perp_dislocation>-0.00095077045&oi_value_1d_chg_z_90d>-0.10945823)
0.0799558457498287,1.0,0.004222017961533604,0.001886961697686908,0.023238492338301137,4,0.8249927532935956,within_leaf_future_edge,(*)|(*)|(bollinger_band_width<=-0.0050234338&mark_perp_dislocation>0.0069743749)
0.09516675125383187,1.0,0.00513512733506166,0.0022432715927354534,0.02937924952498823,4,0.85277037591648,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.0056065181&oi_to_volume_1d_z_90d<=0.22727115&oi_vol_7d_robust_z>-0.68308687)
0.12484966681393338,1.0,0.007087642032548476,0.003414941515267833,0.01040330932867653,4,0.852454928371618,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.00384223&rv_24h_peer_resid>-0.18561186&symbol_minus_mkt_ret_1h>-0.62570816)
0.15553236539628634,1.0,0.009095371488802306,0.005161099749629477,0.005942539038823927,4,0.8565766502722834,within_leaf_future_edge,(*)|(dist_prior_day_high<=0.052306239&loc_session_pos_24<=0.11432827)|(mark_vs_perp_bps>0.10552036)
0.17457328220593996,1.0,0.009966155320677034,0.005066565129976894,0.03721434608322503,4,0.9032922209916413,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.009236699&symbol_minus_mkt_ret_1h<=0.097016677)
0.18054159994104785,1.0,0.009718944551752911,0.005917411398740013,-0.005240800847497312,4,0.8488959623594965,within_leaf_future_edge,(*)|(*)|(asset_minus_universe_median_ret_4h<=-0.59919238&mark_perp_dislocation>-0.0020824932&range_24h_pct<=0.092572272&symbol_minus_mkt_ret_1h<=0.21496934)
0.09064658926514588,0.75,0.005476650732069854,0.003553747799169826,0.0011265417411190776,4,0.8009784566112208,within_leaf_future_edge,(*)|(*)|(mark_vs_perp_bps>-1.3344821&oi_trend_10d_robust_z<=-0.065623164&range_24h_pct<=0.046967261)
