fold_id,seed,feature_name,group,regime_family,source_family,gain,split
0,42,cs_rank_ret_24h,regime,cross_sectional,cross_sectional,20.5137,3.0
0,42,loc_prior_bar_pos_48,location,,context,6.60118,2.0
0,42,direction_entropy_20,regime,path_structure,path_structure,281.65515,28.0
0,42,loc_swing_range_pos_24,location,,context,45.47755,7.0
0,42,dist_ema_fast,regime,trend,trend,19.75231,5.0
0,42,loc_swing_range_pos_48,location,,context,49.66167,7.0
0,42,efficiency_ratio_20,regime,path_structure,path_structure,131.23112,15.0
0,42,loc_session_pos_24,location,,context,20.68993,4.0
0,42,ema20_slope_5h,regime,trend,trend,8.691957,4.0
0,42,loc_session_pos_48,location,,context,37.75261,4.0
0,42,ema50_slope,regime,trend,trend,25.085138,6.0
0,42,loc_initial_balance_pos_24,location,,context,39.4108,7.0
0,42,ema_slope_norm,regime,trend,trend,0.28479898,2.0
0,42,loc_initial_balance_pos_48,location,,context,17.94558,3.0
0,42,mark_index_basis,regime,mark_index,mark_index,88.01841,9.0
0,42,loc_prev_day_range_pos_24,location,,context,47.63457,10.0
0,42,mark_index_basis_z,regime,mark_index,mark_index,34.77829,9.0
0,42,loc_prev_day_range_pos_48,location,,context,28.699697,7.0
0,42,loc_prev_week_range_pos_24,location,,context,146.03899,11.0
0,42,market_breadth_24h,regime,cross_sectional,cross_sectional,10.0277,1.0
0,42,loc_prev_week_range_pos_48,location,,context,87.52612,9.0
0,42,market_breadth_4h,regime,cross_sectional,cross_sectional,51.4556,2.0
0,42,loc_bb_channel_pos_24,location,,compression,62.909706,7.0
0,42,market_dispersion_24h,regime,cross_sectional,cross_sectional,7.23574,1.0
0,42,loc_bb_channel_pos_48,location,,compression,145.39772,9.0
0,42,market_dispersion_4h,regime,cross_sectional,cross_sectional,250.48523,23.0
0,42,loc_pullback_depth_24,location,,path_structure,101.55284,11.0
0,42,mkt_ret_eq_24h,regime,cross_asset,cross_asset,1139.9613,56.0
0,42,loc_pullback_depth_48,location,,path_structure,8.32191,2.0
0,42,ob_depth_usd_l20_z,regime,orderbook,orderbook,11.363773,4.0
0,42,loc_pivot_ladder_pos_24,location,,context,16.5135,2.0
0,42,ob_spread_z_24h,regime,orderbook,orderbook,2.33214,1.0
0,42,loc_pivot_ladder_pos_48,location,,context,33.35553,5.0
0,42,bars_in_high_vol_state_log_norm,location,,context,356.7621,38.0
0,42,perp_index_basis,regime,mark_index,mark_index,23.45281,4.0
0,42,perp_index_basis_z,regime,mark_index,mark_index,50.59455,7.0
0,42,premium_index,regime,mark_index,mark_index,17.484825,4.0
0,42,premium_index_z,regime,mark_index,mark_index,27.631569,6.0
0,42,prior_range,regime,context,context,91.38591,12.0
0,42,prior_volatility,regime,context,context,191.8037,22.0
0,42,range_24h_pct,regime,compression,compression,103.114,10.0
0,42,range_expansion_ratio,regime,volatility_term_structure,volatility_term_structure,24.400375,6.0
0,42,realized_volatility_24h,regime,volatility,volatility,226.70099,24.0
0,42,return_autocorr_48,regime,momentum,momentum,245.90833,28.0
0,42,rolling_range_20,regime,compression,compression,94.35301,15.0
0,42,rv_24h,regime,volatility,volatility,178.52957,18.0
0,42,spectral_entropy_ret_24,regime,path_structure,path_structure,155.24864,20.0
0,42,symbol_minus_mkt_ret_24h,regime,cross_asset,cross_asset,354.7268,31.0
0,42,trend_acceleration,regime,trend,trend,11.552046,3.0
0,42,true_range_percentile,regime,volatility,volatility,36.113956,6.0
0,42,variance_ratio_10_48,regime,volatility,volatility,42.03231,8.0
0,42,volatility_ratio_short_long,regime,volatility,volatility,33.27216,5.0
0,42,volume_autocorr_48,regime,liquidity,liquidity,337.23538,32.0
0,42,volume_entropy_24,regime,liquidity,liquidity,123.78827,12.0
0,42,volume_percentile,regime,liquidity,liquidity,54.22451,11.0
0,42,volume_trend_48,regime,liquidity,liquidity,146.96207,16.0
0,42,volume_zscore_48h,regime,liquidity,liquidity,36.430244,7.0
0,42,xasset_mkt_depth_z,regime,cross_asset_orderbook,cross_asset_orderbook,95.17718,11.0
0,42,xasset_mkt_ob_stress,regime,cross_asset_orderbook,cross_asset_orderbook,203.57755,11.0
0,42,xasset_mkt_spread_bps,regime,cross_asset_orderbook,cross_asset_orderbook,110.95778,8.0
1,42,dist_ema20_atr,location,,context,31.506107,7.0
1,42,dist_ema50_atr,location,,context,45.783382,8.0
1,42,up_down_semivol_ratio_tanh,regime,path_structure,path_structure,173.85562,26.0
1,42,dist_ema200_atr,location,,context,43.266525,9.0
1,42,up_down_return_mass_ratio_tanh,regime,path_structure,path_structure,199.4432,22.0
1,42,dist_vwap_atr,location,,context,116.790985,14.0
1,42,tail_asymmetry_q90_q10_atr_norm,regime,path_structure,path_structure,53.1028,9.0
1,42,dist_weekly_vwap,location,,context,336.1244,24.0
1,42,amihud_illiq,regime,liquidity,liquidity,86.52746,24.0
