symbol,rows,n_features,nan_cells,nan_pct_overall,all_nan_features,constant_features
MUBARAK/USDC,257,902,21074,9.090909090909092,82,544
MUBARAK/USDT,213,902,17466,9.090909090909092,82,528
NEAR/USDC,480,902,39360,9.090909090909092,82,525
NEAR/USDT,998,902,81836,9.090909090909092,82,513
NEIRO/USDC,321,902,26322,9.090909090909092,82,523
NEIRO/USDT,359,902,29438,9.090909090909092,82,519
NEO/USDT,955,902,78310,9.090909090909092,82,512
NEWT/USDT,168,902,13776,9.090909090909092,82,524
NEXO/USDT,952,902,78064,9.090909090909092,82,512
NFP/USDT,527,902,43214,9.090909090909092,82,504
NIL/USDC,261,902,21402,9.090909090909092,82,521
NIL/USDT,229,902,18778,9.090909090909092,82,526
NMR/USDT,1022,902,83804,9.090909090909092,82,515
NOM/USDC,118,902,9676,9.090909090909092,82,549
NOM/USDT,111,902,9102,9.090909090909092,82,542
NOT/USDC,421,902,34522,9.090909090909092,82,514
NOT/USDT,458,902,37556,9.090909090909092,82,517
NTRN/USDT,630,902,51660,9.090909090909092,82,506
NXPC/USDT,185,902,15170,9.090909090909092,82,532
OG/USDT,949,902,77818,9.090909090909092,82,501
OGN/USDT,770,902,63140,9.090909090909092,82,519
ONDO/USDC,250,902,20500,9.090909090909092,82,520
ONDO/USDT,206,902,16892,9.090909090909092,82,533
ONE/USDT,969,902,79458,9.090909090909092,82,506
ONG/USDT,936,902,76752,9.090909090909092,82,501
ONT/USDC,61,902,5002,9.090909090909092,82,551
ONT/USDT,718,902,58876,9.090909090909092,82,507
OP/USDC,565,902,46330,9.090909090909092,82,519
OP/USDT,868,902,71176,9.090909090909092,82,503
OPEN/USDT,125,902,10250,9.090909090909092,82,542
ORCA/USDC,283,902,23206,9.090909090909092,82,531
ORCA/USDT,298,902,24436,9.090909090909092,82,529
ORDI/USDC,511,902,41902,9.090909090909092,82,518
ORDI/USDT,559,902,45838,9.090909090909092,82,521
OSMO/USDT,756,902,61992,9.090909090909092,82,509
OXT/USDT,938,902,76916,9.090909090909092,82,509
PARTI/USDT,221,902,18122,9.090909090909092,82,523
PAXG/USDC,220,902,18040,9.090909090909092,82,535
PAXG/USDT,946,902,77572,9.090909090909092,82,523
PENDLE/USDC,439,902,35998,9.090909090909092,82,507
PENDLE/USDT,651,902,53382,9.090909090909092,82,518
PENGU/USDC,307,902,25174,9.090909090909092,82,526
PENGU/USDT,291,902,23862,9.090909090909092,82,524
PEOPLE/USDC,65,902,5330,9.090909090909092,82,572
PEOPLE/USDT,972,902,79704,9.090909090909092,82,516
PEPE/USDC,523,902,42886,9.090909090909092,82,517
PEPE/USDT,725,902,59450,9.090909090909092,82,515
PHA/USDC,293,902,24026,9.090909090909092,82,523
PHA/USDT,724,902,59368,9.090909090909092,82,518
PHB/USDT,780,902,63960,9.090909090909092,82,519
PIVX/USDT,567,902,46494,9.090909090909092,82,518
PIXEL/USDC,484,902,39688,9.090909090909092,82,518
PIXEL/USDT,507,902,41574,9.090909090909092,82,512
PLUME/USDC,153,902,12546,9.090909090909092,82,547
PLUME/USDT,157,902,12874,9.090909090909092,82,525
PNUT/USDT,281,902,23042,9.090909090909092,82,535
POL/USDT,351,902,28782,9.090909090909092,82,517
POLYX/USDT,687,902,56334,9.090909090909092,82,514
POND/USDT,934,902,76588,9.090909090909092,82,512
PORTAL/USDT,475,902,38950,9.090909090909092,82,507
PORTO/USDT,1001,902,82082,9.090909090909092,82,513
POWR/USDT,941,902,77162,9.090909090909092,82,509
PROM/USDT,746,902,61172,9.090909090909092,82,509
PROVE/USDT,153,902,12546,9.090909090909092,82,547
PSG/USDT,710,902,58220,9.090909090909092,82,514
PUMP/USDC,109,902,8938,9.090909090909092,82,532
PUMP/USDT,108,902,8856,9.090909090909092,82,539
PUNDIX/USDT,738,902,60516,9.090909090909092,82,513
PYR/USDT,923,902,75686,9.090909090909092,82,516
PYTH/USDC,344,902,28208,9.090909090909092,82,525
PYTH/USDT,503,902,41246,9.090909090909092,82,518
QI/USDT,914,902,74948,9.090909090909092,82,512
QKC/USDT,738,902,60516,9.090909090909092,82,517
QNT/USDC,226,902,18532,9.090909090909092,82,546
QNT/USDT,944,902,77408,9.090909090909092,82,512
QTUM/USDT,768,902,62976,9.090909090909092,82,506
QUICK/USDT,959,902,78638,9.090909090909092,82,509
RAD/USDT,971,902,79622,9.090909090909092,82,505
RARE/USDT,969,902,79458,9.090909090909092,82,516
RAY/USDC,320,902,26240,9.090909090909092,82,519
RAY/USDT,960,902,78720,9.090909090909092,82,513
RDNT/USDT,672,902,55104,9.090909090909092,82,510
RED/USDT,263,902,21566,9.090909090909092,82,520
RENDER/USDC,393,902,32226,9.090909090909092,82,522
RENDER/USDT,384,902,31488,9.090909090909092,82,519
REQ/USDT,762,902,62484,9.090909090909092,82,506
RESOLV/USDC,163,902,13366,9.090909090909092,82,539
RESOLV/USDT,187,902,15334,9.090909090909092,82,529
REZ/USDT,464,902,38048,9.090909090909092,82,518
RIF/USDT,995,902,81590,9.090909090909092,82,509
RLC/USDT,736,902,60352,9.090909090909092,82,511
RONIN/USDT,496,902,40672,9.090909090909092,82,522
ROSE/USDC,169,902,13858,9.090909090909092,82,534
ROSE/USDT,933,902,76506,9.090909090909092,82,511
RPL/USDT,748,902,61336,9.090909090909092,82,510
RSR/USDC,294,902,24108,9.090909090909092,82,528
RSR/USDT,957,902,78474,9.090909090909092,82,508
RUNE/USDC,431,902,35342,9.090909090909092,82,519
RUNE/USDT,959,902,78638,9.090909090909092,82,509
RVN/USDT,761,902,62402,9.090909090909092,82,513
S/USDC,274,902,22468,9.090909090909092,82,516
S/USDT,319,902,26158,9.090909090909092,82,519
SAGA/USDC,452,902,37064,9.090909090909092,82,514
SAGA/USDT,475,902,38950,9.090909090909092,82,516
SAHARA/USDC,159,902,13038,9.090909090909092,82,537
SAHARA/USDT,173,902,14186,9.090909090909092,82,523
SAND/USDC,288,902,23616,9.090909090909092,82,523
SAND/USDT,958,902,78556,9.090909090909092,82,507
SANTOS/USDT,951,902,77982,9.090909090909092,82,512
SAPIEN/USDT,78,902,6396,9.090909090909092,82,538
SC/USDT,983,902,80606,9.090909090909092,82,516
SCR/USDT,376,902,30832,9.090909090909092,82,523
SCRT/USDT,967,902,79294,9.090909090909092,82,511
SEI/USDC,461,902,37802,9.090909090909092,82,519
SEI/USDT,592,902,48544,9.090909090909092,82,509
SFP/USDT,963,902,78966,9.090909090909092,82,509
SHELL/USDT,230,902,18860,9.090909090909092,82,536
SHIB/USDC,459,902,37638,9.090909090909092,82,516
SHIB/USDT,969,902,79458,9.090909090909092,82,515
SIGN/USDC,190,902,15580,9.090909090909092,82,531
SIGN/USDT,218,902,17876,9.090909090909092,82,527
SKL/USDT,979,902,80278,9.090909090909092,82,508
SKY/USDC,138,902,11316,9.090909090909092,82,524
SKY/USDT,114,902,9348,9.090909090909092,82,537
SLP/USDT,785,902,64370,9.090909090909092,82,518
SNX/USDC,110,902,9020,9.090909090909092,82,535
SNX/USDT,925,902,75850,9.090909090909092,82,513
SOL/USDC,557,902,45674,9.090909090909092,82,518
SOL/USDT,1015,902,83230,9.090909090909092,82,515
SOLV/USDC,81,902,6642,9.090909090909092,82,547
