fold_id,seed,feature_name,group,regime_family,source_family,gain,split
0,42,loc_swing_range_pos_48,location,,context,58.06435,6.0
0,42,direction_entropy_20,regime,path_structure,path_structure,18.42157,2.0
0,42,loc_session_pos_24,location,,context,16.0662,1.0
0,42,efficiency_ratio_20,regime,path_structure,path_structure,62.87846,6.0
0,42,loc_session_pos_48,location,,context,39.74632,4.0
0,42,ema50_slope,regime,trend,trend,25.98138,4.0
0,42,loc_initial_balance_pos_24,location,,context,5.18639,1.0
0,42,ema_slope_norm,regime,trend,trend,39.745697,2.0
0,42,loc_initial_balance_pos_48,location,,context,71.342636,5.0
0,42,loc_prev_day_range_pos_24,location,,context,42.6314,2.0
0,42,fund_abs_z_mkt_resid,regime,residual,residual,13.298269,3.0
0,42,fund_rate_z_14d,regime,funding,funding,10.2859,3.0
0,42,loc_prev_week_range_pos_24,location,,context,72.47412,7.0
0,42,loc_prev_week_range_pos_48,location,,context,74.4252,5.0
0,42,funding_mean_10d_robust_z,regime,open_interest,open_interest,14.3082695,4.0
0,42,loc_bb_channel_pos_48,location,,compression,79.72273,4.0
0,42,funding_mean_15d_robust_z,regime,open_interest,open_interest,9.040768,3.0
0,42,loc_pullback_depth_24,location,,path_structure,230.22392,14.0
0,42,funding_mean_7d_robust_z,regime,open_interest,open_interest,3.51065,1.0
0,42,loc_pivot_ladder_pos_24,location,,context,14.252169,2.0
0,42,funding_per_hour,regime,funding,funding,23.15819,4.0
0,42,bars_in_high_vol_state_log_norm,location,,context,23.862272,5.0
0,42,funding_per_hour_z,regime,funding,funding,17.10502,4.0
0,42,funding_persistence,regime,funding,funding,20.17022,5.0
0,42,funding_rate,regime,funding,funding,12.57534,2.0
0,42,funding_vol_15d_robust_z,regime,open_interest,open_interest,16.78129,2.0
0,42,funding_vol_7d_robust_z,regime,open_interest,open_interest,2.06642,1.0
0,42,funding_z,regime,funding,funding,20.589619,2.0
0,42,grind_score_surprise,regime,residual,residual,3.7924,1.0
0,42,leverage_build_score,regime,crowding,crowding,2.08032,1.0
0,42,log_oi_to_volume_1d,regime,open_interest,open_interest,774.13385,31.0
0,42,log_oi_to_volume_7d,regime,open_interest,open_interest,241.40532,9.0
0,42,oi_rank,regime,open_interest,open_interest,22.378061,3.0
0,42,oi_to_volume_1d_z_90d,regime,open_interest,open_interest,41.015438,5.0
0,42,oi_trend_10d_robust_z,regime,open_interest,open_interest,5.23783,2.0
0,42,oi_value_log_1d_robust_z,regime,open_interest,open_interest,16.79117,3.0
0,42,oi_value_log_7d_robust_z,regime,open_interest,open_interest,41.90931,5.0
0,42,oi_value_z_30d,regime,open_interest,open_interest,73.18725,8.0
0,42,oi_value_z_90d,regime,open_interest,open_interest,55.6942,8.0
0,42,oi_vol_10d_robust_z,regime,open_interest,open_interest,1.99903,1.0
0,42,oi_vol_15d_robust_z,regime,open_interest,open_interest,9.49662,2.0
0,42,oi_z,regime,open_interest,open_interest,10.99822,2.0
0,42,price_rv_10d_robust_z,regime,open_interest,open_interest,36.026558,5.0
0,42,price_rv_15d_robust_z,regime,open_interest,open_interest,24.204811,3.0
0,42,price_trend_10d_vol_norm,regime,open_interest,open_interest,301.4874,12.0
0,42,price_trend_15d_vol_norm,regime,open_interest,open_interest,618.5228,25.0
0,42,price_trend_7d_vol_norm,regime,open_interest,open_interest,142.39636,7.0
0,42,prior_range,regime,context,context,0.0944827,1.0
0,42,prior_volatility,regime,context,context,17.44743,4.0
0,42,range_24h_pct,regime,compression,compression,330.5111,17.0
0,42,range_expansion_ratio,regime,volatility_term_structure,volatility_term_structure,2.42216,1.0
0,42,range_per_funding_abs_z_24h,regime,perp_tradeability,perp_tradeability,30.56736,5.0
0,42,return_autocorr_48,regime,momentum,momentum,2.88073,1.0
0,42,rolling_range_20,regime,compression,compression,8.61189,2.0
0,42,rvol_z_peer_resid,regime,residual,residual,6.0815897,2.0
0,42,spike_score_surprise,regime,residual,residual,2.8183331,2.0
0,42,trend_acceleration,regime,trend,trend,2.42576,1.0
0,42,true_range_percentile,regime,volatility,volatility,30.41599,4.0
0,42,variance_ratio_10_48,regime,volatility,volatility,13.965461,4.0
0,42,vol_z_peer_resid,regime,residual,residual,1.87568,1.0
0,42,volume_autocorr_48,regime,liquidity,liquidity,23.6224,2.0
0,42,volume_trend_48,regime,liquidity,liquidity,33.97243,3.0
0,42,volume_zscore_48h,regime,liquidity,liquidity,1.27892,1.0
0,42,xasset_asset_minus_basket_fund_z,regime,asset_relative_funding,asset_relative_funding,3.88561,1.0
0,42,xasset_funding_peer_resid,regime,residual,residual,0.907687,1.0
0,42,xasset_funding_ts_resid,regime,residual,residual,7.5640807,3.0
1,42,oi_expansion_compression_balance_24h,regime,perp_tradeability,perp_tradeability,35.84588,7.0
1,42,dist_ema20_atr,location,,context,82.20019,8.0
1,42,oiw_entry_zone_1d_atr,regime,perp_tradeability,perp_tradeability,70.4506,8.0
1,42,donchian_zone_1d_atr,regime,perp_tradeability,perp_tradeability,29.267984,6.0
1,42,dist_ema200_atr,location,,context,40.94054,7.0
1,42,dist_oiw_intensity_96h_atr,regime,perp_tradeability,perp_tradeability,61.81535,16.0
