symbol,rows,valid_ohlc_rows,spot_rows,funding_rows,oi_rows,mark_rows,zero_heavy_features_before,zero_heavy_features_after
USDC_USD:USD,33711,378,375,75,66,73,789,0
USDT_USD:USD,33711,378,375,75,66,73,789,0
USUAL_USD:USD,33711,378,375,75,66,73,789,0
VINE_USD:USD,33711,378,375,75,66,73,789,0
VIRTUAL_USD:USD,33711,378,375,75,66,73,789,0
WIF_USD:USD,33711,378,375,75,66,73,789,0
WLD_USD:USD,33711,378,375,75,66,73,789,0
WLFI_USD:USD,33711,378,375,75,66,73,789,0
WOO_USD:USD,33711,378,375,75,66,73,789,0
W_USD:USD,33711,378,375,75,66,73,789,0
XCN_USD:USD,33711,378,375,75,66,73,789,0
XLM_USD:USD,33711,378,375,75,66,73,789,0
XMR_USD:USD,33711,378,375,75,66,73,789,0
XPL_USD:USD,33711,378,375,75,66,73,789,0
XRP_USD:USD,33711,378,375,75,66,73,789,0
XTZ_USD:USD,33711,378,375,75,66,73,789,0
YFI_USD:USD,33711,378,375,75,66,73,789,0
YGG_USD:USD,33711,378,375,75,66,73,789,0
ZBT_USD:USD,33711,378,375,75,66,73,789,0
ZEC_USD:USD,33711,378,375,75,66,73,789,0
ZIG_USD:USD,33711,378,375,75,66,73,789,0
ZK_USD:USD,33711,378,375,75,66,73,789,0
ZRO_USD:USD,33711,378,375,75,66,73,789,0
ZRX_USD:USD,33711,378,375,75,66,73,789,0
