symbol,feature_rows,innovation_z_x_zr_3h_bad,innovation_z_x_zr_3h_finite,oi_rel_vol_2h_bad,oi_rel_vol_2h_finite,oi_rel_vol_4h_bad,oi_rel_vol_4h_finite,oi_rel_vol_8h_bad,oi_rel_vol_8h_finite,unwind_score_bad,unwind_score_finite,dist_vwap_norm_bad,dist_vwap_norm_finite,dist_stack_bad,dist_stack_finite,vwap_zone_1d_atr_bad,vwap_zone_1d_atr_finite,vwap_zone_7d_atr_bad,vwap_zone_7d_atr_finite,raw_rows,raw_start,raw_end,raw_open_finite,raw_high_finite,raw_low_finite,raw_close_finite,raw_volume_finite,raw_funding_rate_finite,raw_open_interest_finite,raw_mark_price_finite,raw_mark_close_finite,raw_index_price_finite,raw_index_close_finite,raw_spot_close_finite,raw_spot_volume_finite,fund_file_rows,fund_funding_rate_finite,fund_open_interest_finite,fund_mark_price_finite,fund_index_price_finite,orderbook_exists,orderbook_rows
ARKM_USD:USD,35041,30650,4391,24506,10535,22222,12819,20308,14733,25164,9877,18208,16833,19666,15375,17607,17434,17354,17687,17687,2024-05-15 19:00:00+00:00,2026-05-22 17:00:00+00:00,17687,17687,17687,17687,17687,17686,17686,17686,17686,11,11,17686,17686,17687,17687,17687,17687,12,False,0
AR_USD:USD,35041,18909,16132,19150,15891,18241,16800,17770,17271,29131,5910,17357,17684,18815,16226,17237,17804,17222,17819,17819,2024-05-10 07:00:00+00:00,2026-05-22 17:00:00+00:00,17819,17819,17819,17819,17819,17818,17818,17818,17818,135,135,17817,17817,17819,17819,17819,17818,135,False,0
ASTER_USD:USD,35041,34130,911,30192,4849,29666,5375,29415,5626,33243,1798,29320,5721,30777,4264,29321,5720,29321,5720,5721,2025-09-26 09:00:00+00:00,2026-05-22 17:00:00+00:00,5721,5721,5721,5721,5721,5721,5721,5721,5721,138,138,5721,5721,5721,5721,5721,5721,138,False,0
ASTR_USD:USD,35041,35036,5,27191,7850,23800,11241,20525,14516,26626,8415,17726,17315,19008,16033,17330,17711,17036,18005,18005,2024-05-02 13:00:00+00:00,2026-05-22 17:00:00+00:00,18005,18005,18005,18005,18005,18003,18003,18003,18003,11,11,18003,18003,18005,18005,18005,18004,12,False,0
ATH_USD:USD,35041,34998,43,27036,8005,24975,10066,23333,11708,25421,9620,22068,12973,23522,11519,21817,13224,21755,13286,13290,2024-11-15 00:00:00+00:00,2026-05-22 17:00:00+00:00,13290,13290,13290,13290,13290,13290,13290,13290,13290,11,11,13289,13289,13290,13290,13290,13290,12,False,0
ATOM_USD:USD,35041,1526,33515,6941,28100,6917,28124,6918,28123,10308,24733,0,35041,1458,33583,1,35040,1,35040,35094,2022-05-21 12:00:00+00:00,2026-05-22 17:00:00+00:00,35094,35094,35094,35094,35094,35035,28133,35038,35038,141,141,35037,35037,35094,35094,28135,35041,141,False,0
AUCTION_USD:USD,35041,20650,14391,27882,7159,25866,9175,23857,11184,32908,2133,21244,13797,22701,12340,20181,14860,19581,15460,15460,2024-08-16 14:00:00+00:00,2026-05-22 17:00:00+00:00,15460,15460,15460,15460,15460,15460,15460,15460,15460,138,138,15459,15459,15460,15460,15460,15460,138,False,0
AUD_USD:USD,35041,35024,17,34885,156,34762,279,34545,496,31363,3678,33884,1157,33973,1068,33202,1839,30426,4615,9010,2025-05-12 08:00:00+00:00,2026-05-22 17:00:00+00:00,9010,9010,9010,9010,9010,9009,9009,9009,9009,11,11,9009,9009,9010,9010,9010,9010,12,False,0
AVAX_USD:USD,35041,971,34070,6977,28064,6927,28114,6916,28125,10313,24728,0,35041,1458,33583,1,35040,1,35040,35094,2022-05-21 12:00:00+00:00,2026-05-22 17:00:00+00:00,35094,35094,35094,35094,35094,35036,28134,35040,35040,141,141,35037,35037,35094,35094,28135,35042,141,False,0
AXS_USD:USD,35041,5990,29051,8017,27024,7141,27900,6940,28101,15781,19260,1736,33305,3190,31851,1733,33308,1733,33308,33312,2022-08-03 18:00:00+00:00,2026-05-22 17:00:00+00:00,33312,33312,33312,33312,33312,33307,28133,33309,33309,138,138,33309,33309,33312,33310,28135,33312,138,False,0
B3_USD:USD,35041,35001,40,31938,3103,30513,4528,28878,6163,33326,1715,26412,8629,27571,7470,25412,9629,24620,10421,10421,2025-03-14 13:00:00+00:00,2026-05-22 17:00:00+00:00,10421,10421,10421,10421,10421,10421,10421,10421,10421,11,11,10420,10420,10421,10421,10421,10421,12,False,0
BAND_USD:USD,35041,19189,15852,19752,15289,15075,19966,11101,23940,29605,5436,3947,31094,5229,29812,3221,31820,2905,32136,32138,2022-09-21 16:00:00+00:00,2026-05-22 17:00:00+00:00,32138,32138,32138,32138,32138,32136,28134,32136,32136,135,135,32135,32135,32138,32138,28135,32138,135,False,0
BAT_USD:USD,35041,34519,522,17646,17395,12959,22082,9421,25620,18616,16425,1775,33266,3195,31846,1435,33606,1416,33625,33647,2022-07-20 19:00:00+00:00,2026-05-22 17:00:00+00:00,33647,33647,33647,33647,33647,33637,28129,33637,33637,138,138,33637,33637,33647,33646,28131,33640,138,False,0
BCH_USD:USD,35041,927,34114,6963,28078,6928,28113,6919,28122,10361,24680,0,35041,1458,33583,1,35040,1,35040,35094,2022-05-21 12:00:00+00:00,2026-05-22 17:00:00+00:00,35094,35094,35094,35094,35094,35035,28132,35038,35038,141,141,35036,35036,35094,35094,28134,35041,141,False,0
BEAM_USD:USD,35041,35040,1,23037,12004,20733,14308,18840,16201,20332,14709,17126,17915,18584,16457,16846,18195,16701,18340,18340,2024-04-18 14:00:00+00:00,2026-05-22 17:00:00+00:00,18340,18340,18340,18340,18340,18332,18332,18332,18332,138,138,18332,18332,18340,18340,18340,18333,138,False,0
BERA_USD:USD,35041,30022,5019,25899,9142,24812,10229,24246,10795,27987,7054,23933,11108,25391,9650,23905,11136,23905,11136,11136,2025-02-12 18:00:00+00:00,2026-05-22 17:00:00+00:00,11136,11136,11136,11136,11136,11128,11128,11128,11128,138,138,11128,11128,11136,11136,11136,11129,138,False,0
BICO_USD:USD,35041,34718,323,27818,7223,24668,10373,21325,13716,32013,3028,17916,17125,19328,15713,17214,17827,17024,18017,18022,2024-05-01 20:00:00+00:00,2026-05-22 17:00:00+00:00,18022,18022,18022,18022,18022,18022,18022,18022,18022,138,138,18021,18021,18022,18022,18022,18022,138,False,0
BIGTIME_USD:USD,35041,34828,213,25087,9954,23230,11811,21555,13486,32072,2969,19645,15396,21095,13946,19109,15932,18462,16579,16706,2024-06-25 16:00:00+00:00,2026-05-22 17:00:00+00:00,16706,16706,16706,16706,16706,16704,16704,16704,16704,138,138,16704,16704,16706,16706,16706,16705,138,False,0
BIO_USD:USD,35041,34670,371,27955,7086,26276,8765,24921,10120,30108,4933,23799,11242,25153,9888,23553,11488,23545,11496,11496,2025-01-28 18:00:00+00:00,2026-05-22 17:00:00+00:00,11496,11496,11496,11496,11496,11489,11495,11495,11495,141,141,11488,11488,11496,11496,11496,11495,141,False,0
BLUR_USD:USD,35041,33234,1807,13183,21858,9893,25148,7863,27178,19176,15865,6479,28562,7937,27104,6455,28586,6455,28586,28586,2023-02-16 16:00:00+00:00,2026-05-22 17:00:00+00:00,28586,28586,28586,28586,28586,28584,28130,28584,28584,141,141,28584,28584,28586,28586,28134,28586,141,False,0
BNB_USD:USD,35041,14074,20967,13477,21564,13240,21801,13167,21874,28289,6752,13147,21894,14605,20436,13148,21893,13148,21893,21893,2023-11-22 13:00:00+00:00,2026-05-22 17:00:00+00:00,21893,21893,21893,21893,21893,21891,21892,21892,21892,141,141,21891,21891,21893,21892,21893,21893,141,False,0
BNT_USD:USD,35041,33015,2026,30452,4589,27999,7042,25003,10038,34643,398,20670,14371,21939,13102,19079,15962,18167,16874,16875,2024-06-18 15:00:00+00:00,2026-05-22 17:00:00+00:00,16875,16875,16875,16875,16875,16873,16873,16873,16873,141,141,16873,16873,16875,16875,16875,16874,141,False,0
BONK_USD:USD,35041,35041,0,14065,20976,13911,21130,13863,21178,17554,17487,13848,21193,15306,19735,13849,21192,13849,21192,21192,2023-12-21 18:00:00+00:00,2026-05-22 17:00:00+00:00,21192,21192,21192,21192,21192,21190,21190,21190,21190,141,141,21190,21190,21192,21192,21192,21192,141,False,0
BTC_USD:USD,35041,927,34114,6915,28126,6912,28129,6913,28128,10306,24735,0,35041,1458,33583,1,35040,1,35040,35095,2022-05-21 12:00:00+00:00,2026-05-22 18:00:00+00:00,35095,35095,35095,35095,35095,35036,28134,35093,35093,142,142,35036,35036,35095,35095,28136,35093,142,False,0
C98_USD:USD,35041,34876,165,28080,6961,25117,9924,22085,12956,34817,224,18593,16448,19879,15162,17748,17293,17541,17500,17501,2024-05-23 13:00:00+00:00,2026-05-22 17:00:00+00:00,17501,17501,17501,17501,17501,17500,17500,17500,17500,141,141,17494,17494,17501,17501,17501,17501,141,False,0
CAKE_USD:USD,35041,24506,10535,26620,8421,24934,10107,23566,11475,31549,3492,22300,12741,23730,11311,22022,13019,21867,13174,13175,2024-11-19 19:00:00+00:00,2026-05-22 17:00:00+00:00,13175,13175,13175,13175,13175,13175,13175,13175,13175,141,141,13174,13174,13175,13175,13175,13175,141,False,0
CAT_USD:USD,35041,35041,0,26633,8408,25360,9681,24205,10836,33613,1428,22609,12432,24064,10977,21948,13093,21410,13631,13633,2024-10-31 17:00:00+00:00,2026-05-22 17:00:00+00:00,13633,13633,13633,13633,13633,13631,13631,13631,13631,141,141,13631,13631,13633,13633,13633,13632,141,False,0
CELO_USD:USD,35041,34326,715,28836,6205,26310,8731,23832,11209,29139,5902,21588,13453,23026,12015,21208,13833,21051,13990,13996,2024-10-16 14:00:00+00:00,2026-05-22 17:00:00+00:00,13996,13996,13996,13996,13996,13988,13988,13988,13988,141,141,13988,13988,13996,13996,13996,13989,141,False,0
CELR_USD:USD,35041,35034,7,27177,7864,24583,10458,22274,12767,33062,1979,20218,14823,21666,13375,19830,15211,19728,15313,15313,2024-08-22 17:00:00+00:00,2026-05-22 17:00:00+00:00,15313,15313,15313,15313,15313,15306,15306,15306,15306,141,141,15305,15305,15313,15313,15313,15306,141,False,0
CFX_USD:USD,35041,34435,606,17414,17627,14745,20296,12874,22167,35041,0,11099,23942,12444,22597,10759,24282,10673,24368,24374,2023-08-11 04:00:00+00:00,2026-05-22 17:00:00+00:00,24374,24374,24374,24374,24374,24365,24365,24365,24365,141,141,24365,24365,24368,24359,24329,30,17,False,0
CHR_USD:USD,35041,34793,248,26785,8256,24025,11016,21283,13758,31617,3424,18284,16757,19742,15299,17531,17510,17193,17848,17848,2024-05-09 02:00:00+00:00,2026-05-22 17:00:00+00:00,17848,17848,17848,17848,17848,17847,17847,17847,17847,141,141,17847,17847,17848,17848,17848,17848,141,False,0
CHZ_USD:USD,35041,34866,175,11848,23193,9477,25564,7990,27051,18697,16344,1500,33541,2947,32094,1394,33647,1394,33647,33647,2022-07-20 19:00:00+00:00,2026-05-22 17:00:00+00:00,33647,33647,33647,33647,33647,33637,28129,33637,33637,141,141,33637,33637,33647,33646,28131,33640,141,False,0
COMP_USD:USD,35041,2181,32860,13029,22012,9793,25248,7840,27201,17815,17226,1317,33724,2738,32303,1230,33811,1224,33817,33817,2022-07-13 17:00:00+00:00,2026-05-22 17:00:00+00:00,33817,33817,33817,33817,33817,33811,28129,33814,33814,141,141,33814,33814,33817,33814,28131,33817,141,False,0
COOKIE_USD:USD,35041,34761,280,30320,4721,28495,6546,26662,8379,34142,899,24499,10542,25885,9156,23933,11108,23718,11323,11325,2025-02-04 21:00:00+00:00,2026-05-22 17:00:00+00:00,11325,11325,11325,11325,11325,11317,11317,11317,11317,141,141,11317,11317,11325,11325,11325,11318,141,False,0
COTI_USD:USD,35041,34938,103,23241,11800,20557,14484,18564,16477,25069,9972,17188,17853,18624,16417,17010,18031,16992,18049,18049,2024-04-30 17:00:00+00:00,2026-05-22 17:00:00+00:00,18049,18049,18049,18049,18049,18048,18048,18048,18048,141,141,18048,18048,18049,18049,18049,18049,141,False,0
COW_USD:USD,35041,34367,674,30027,5014,28425,6616,26782,8259,32934,2107,24460,10581,25906,9135,23515,11526,22106,12935,13009,2024-11-26 17:00:00+00:00,2026-05-22 17:00:00+00:00,13009,13009,13009,13009,13009,13001,13001,13001,13001,141,141,13001,13001,13009,13009,13009,13002,141,False,0
CRO_USD:USD,35041,34898,143,26132,8909,24519,10522,23331,11710,27369,7672,22615,12426,24071,10970,22611,12430,22611,12430,12432,2024-12-20 18:00:00+00:00,2026-05-22 17:00:00+00:00,12432,12432,12432,12432,12432,12431,12431,12431,12431,141,141,12431,12431,12432,12432,12432,12432,141,False,0
CRV_USD:USD,35041,28178,6863,6980,28061,6921,28120,6918,28123,12300,22741,840,34201,2296,32745,841,34200,841,34200,34202,2022-06-27 16:00:00+00:00,2026-05-22 17:00:00+00:00,34202,34202,34202,34202,34202,34199,28133,34199,34199,141,141,34199,34199,34202,34202,28135,34202,141,False,0
CTSI_USD:USD,35041,34913,128,28055,6986,25259,9782,22279,12762,32593,2448,19068,15973,20316,14725,18167,16874,17700,17341,17357,2024-05-29 13:00:00+00:00,2026-05-22 17:00:00+00:00,17357,17357,17357,17357,17357,17354,17356,17356,17356,140,140,17356,17356,17357,17356,17357,17357,140,False,0
CVX_USD:USD,35041,11016,24025,17711,17330,13912,21129,10847,24194,23793,11248,8345,26696,9739,25302,7785,27256,7463,27578,27579,2023-03-30 15:00:00+00:00,2026-05-22 17:00:00+00:00,27579,27579,27579,27579,27579,27570,27570,27570,27570,140,140,27570,27570,27579,27578,27579,27572,140,False,0
CYBER_USD:USD,35041,29195,5846,30663,4378,28887,6154,26939,8102,34477,564,24113,10928,24959,10082,22745,12296,21248,13793,13795,2024-10-24 23:00:00+00:00,2026-05-22 17:00:00+00:00,13795,13795,13795,13795,13795,13787,13787,13787,13787,141,141,13787,13787,13795,13795,13795,13788,141,False,0
DASH_USD:USD,35041,3175,31866,11639,23402,9549,25492,8169,26872,16401,18640,2692,32349,3873,31168,2324,32717,2231,32810,32812,2022-08-24 14:00:00+00:00,2026-05-22 17:00:00+00:00,32812,32812,32812,32812,32812,32807,28132,32809,32809,138,138,32809,32809,32812,32810,28134,32812,138,False,0
DEEP_USD:USD,35041,34516,525,29152,5889,27435,7606,25697,9344,31425,3616,23283,11758,24580,10461,22400,12641,21781,13260,13282,2024-11-15 08:00:00+00:00,2026-05-22 17:00:00+00:00,13282,13282,13282,13282,13282,13280,13280,13280,13280,138,138,13280,13280,13282,13282,13282,13281,138,False,0
DEGEN_USD:USD,35041,35015,26,27451,7590,25353,9688,23602,11439,34071,970,22160,12881,23618,11423,21841,13200,21746,13295,13295,2024-11-14 19:00:00+00:00,2026-05-22 17:00:00+00:00,13295,13295,13295,13295,13295,13293,13293,13293,13293,138,138,13293,13293,13295,13295,13295,13294,138,False,0
DENT_USD:USD,35041,35033,8,30500,4541,28706,6335,26737,8304,30373,4668,23999,11042,25429,9612,22848,12193,22091,12950,12954,2024-11-29 00:00:00+00:00,2026-05-22 17:00:00+00:00,12954,12954,12954,12954,12954,12953,12953,12953,12953,138,138,12953,12953,12954,12954,12954,12954,138,False,0
DOGE_USD:USD,35041,34232,809,6922,28119,6918,28123,6918,28123,10306,24735,669,34372,2127,32914,670,34371,670,34371,34371,2022-06-20 15:00:00+00:00,2026-05-22 17:00:00+00:00,34371,34371,34371,34371,34371,34367,28133,34367,34367,138,138,34367,34367,34371,34370,28135,34370,138,False,0
DOGS_USD:USD,35041,35030,11,28374,6667,26192,8849,24088,10953,31527,3514,21696,13345,23154,11887,21056,13985,20880,14161,14161,2024-10-09 17:00:00+00:00,2026-05-22 17:00:00+00:00,14161,14161,14161,14161,14161,14160,14160,14160,14160,138,138,14160,14160,14161,14161,14161,14161,138,False,0
DOG_USD:USD,35041,35039,2,26515,8526,25184,9857,23963,11078,30495,4546,22489,12552,23944,11097,22069,12972,21748,13293,13296,2024-11-14 18:00:00+00:00,2026-05-22 17:00:00+00:00,13296,13296,13296,13296,13296,13294,13294,13294,13294,138,138,13294,13294,13296,13296,13296,13295,138,False,0
DOT_USD:USD,35041,2561,32480,6944,28097,6921,28120,6918,28123,10305,24736,0,35041,1458,33583,1,35040,1,35040,35094,2022-05-21 12:00:00+00:00,2026-05-22 17:00:00+00:00,35094,35094,35094,35094,35094,35035,28133,35038,35038,141,141,35036,35036,35094,35094,28135,35041,141,False,0
DYDX_USD:USD,35041,18113,16928,10083,24958,8134,26907,7260,27781,15885,19156,2658,32383,4061,30980,2571,32470,2571,32470,32474,2022-09-07 16:00:00+00:00,2026-05-22 17:00:00+00:00,32474,32474,32474,32474,32474,32471,28133,32471,32471,138,138,32471,32471,32474,32474,28135,32474,138,False,0
DYM_USD:USD,35041,29640,5401,20717,14324,18302,16739,16470,18571,21288,13753,15191,19850,16649,18392,15041,20000,15022,20019,20019,2024-02-08 15:00:00+00:00,2026-05-22 17:00:00+00:00,20019,20019,20019,20019,20019,20018,20018,20018,20018,138,138,20018,20018,20019,20019,20019,20019,138,False,0
EGLD_USD:USD,35041,3551,31490,13936,21105,10116,24925,7981,27060,15997,19044,2718,32323,4144,30897,2590,32451,2571,32470,32474,2022-09-07 16:00:00+00:00,2026-05-22 17:00:00+00:00,32474,32474,32474,32474,32474,32471,28133,32471,32471,138,138,32471,32471,32474,32474,28135,32474,138,False,0
EIGEN_USD:USD,35041,29780,5261,23434,11607,21939,13102,21160,13881,24307,10734,20896,14145,22353,12688,20878,14163,20878,14163,14164,2024-10-09 14:00:00+00:00,2026-05-22 17:00:00+00:00,14164,14164,14164,14164,14164,14163,14163,14163,14163,138,138,14163,14163,14164,14164,14164,14164,138,False,0
ENA_USD:USD,35041,32274,2767,17037,18004,16900,18141,16873,18168,22502,12539,16847,18194,18304,16737,16848,18193,16848,18193,18194,2024-04-24 16:00:00+00:00,2026-05-22 17:00:00+00:00,18194,18194,18194,18194,18194,18192,18192,18192,18192,138,138,18192,18192,18194,18194,18194,18193,138,False,0
ENJ_USD:USD,35041,33760,1281,16106,18935,11881,23160,8856,26185,15053,19988,1357,33684,2813,32228,1226,33815,1223,33818,33818,2022-07-13 16:00:00+00:00,2026-05-22 17:00:00+00:00,33818,33818,33818,33818,33818,33815,28132,33815,33815,138,138,33815,33815,33818,33818,28134,33818,138,False,0
ENS_USD:USD,35041,4108,30933,9780,25261,8085,26956,7210,27831,21221,13820,3075,31966,4528,30513,3068,31973,3068,31973,31973,2022-09-28 13:00:00+00:00,2026-05-22 17:00:00+00:00,31973,31973,31973,31973,31973,31965,28133,31969,31969,138,138,31969,31969,31973,31970,28135,31972,138,False,0
ESPORTS_USD:USD,35041,34611,430,32321,2720,31948,3093,31680,3361,35019,22,31438,3603,32880,2161,31415,3626,31415,3626,3626,2025-12-22 16:00:00+00:00,2026-05-22 17:00:00+00:00,3626,3626,3626,3626,3626,3619,3619,3619,3619,138,138,3618,3618,3626,3626,3626,3619,138,False,0
ETC_USD:USD,35041,2685,32356,11096,23945,8848,26193,7552,27489,14397,20644,1764,33277,3222,31819,1726,33315,1726,33315,33315,2022-08-03 15:00:00+00:00,2026-05-22 17:00:00+00:00,33315,33315,33315,33315,33315,33311,28133,33312,33312,138,138,33312,33312,33315,33314,28135,33315,138,False,0
ETHFI_USD:USD,35041,27596,7445,20974,14067,18992,16049,17861,17180,27051,7990,17268,17773,18711,16330,17229,17812,17229,17812,17812,2024-05-10 14:00:00+00:00,2026-05-22 17:00:00+00:00,17812,17812,17812,17812,17812,17810,17810,17810,17810,138,138,17810,17810,17812,17812,17812,17811,138,False,0
ETH_USD:USD,35041,927,34114,6917,28124,6914,28127,6915,28126,10303,24738,0,35041,1458,33583,1,35040,1,35040,35095,2022-05-21 12:00:00+00:00,2026-05-22 18:00:00+00:00,35095,35095,35095,35095,35095,35036,28134,35092,35092,142,142,35036,35036,35095,35095,28136,35093,142,False,0
EUR_USD:USD,35041,26446,8595,33884,1157,33133,1908,32006,3035,28798,6243,29574,5467,30157,4884,27882,7159,25620,9421,9588,2025-04-18 06:00:00+00:00,2026-05-22 17:00:00+00:00,9588,9588,9588,9588,9588,9587,9587,9587,9587,138,138,9587,9587,9588,9588,9588,9588,138,False,0
FARTCOIN_USD:USD,35041,32000,3041,23368,11673,23366,11675,23366,11675,26782,8259,23354,11687,24812,10229,23355,11686,23355,11686,11686,2025-01-20 20:00:00+00:00,2026-05-22 17:00:00+00:00,11686,11686,11686,11686,11686,11684,11684,11684,11684,138,138,11684,11684,11686,11686,11686,11685,138,False,0
FET_USD:USD,35041,25131,9910,13620,21421,12537,22504,11875,23166,14787,20254,11519,23522,12977,22064,11429,23612,11285,23756,27748,2023-03-23 14:00:00+00:00,2026-05-22 17:00:00+00:00,27748,27748,27748,27748,27748,27744,27746,27746,27746,138,138,27746,27746,27748,27746,27748,27748,138,False,0
FIL_USD:USD,35041,4373,30668,7729,27312,7203,27838,6966,28075,10776,24265,0,35041,1458,33583,1,35040,1,35040,35094,2022-05-21 12:00:00+00:00,2026-05-22 17:00:00+00:00,35094,35094,35094,35094,35094,35035,28133,35038,35038,141,141,35036,35036,35094,35094,28135,35041,141,False,0
