strategy,strategy_id,threshold,scope,month,n,net_hit,gross_hit,mean_net_bps,median_net_bps,mean_gross_bps,fees_bps,entry_gap_bps,entry_slip_proxy_bps
long_dist,long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,0.88,accepted_portfolio,2026-04,278,0.6294964028776978,0.6618705035971223,332.34429597601763,235.33032291012717,352.696995676035,20.35269970001734,-0.25438173222354854,0.0
long_dist,long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,0.88,accepted_portfolio,2026-05,185,0.7081081081081081,0.7405405405405405,288.9618502619967,156.69633568979768,309.27112246612444,20.309272204127822,-0.15630825497180334,0.0
short_loc,short_loc_ema_stack_pos_24_0_43357179_compression_ratio_-0_33411601_mkt_ret_eq_24h_1_1280091_mkt_ret_eq_24h_-0_81129736_up_down_semivol_ratio_tanh_-0_39156261,0.78,local_candidates,2026-01,307,0.8078175895765473,0.8338762214983714,236.40451857508978,147.9819176380419,256.6611823642494,20.25666378915961,0.8529349599678817,0.33428275013805453
short_loc,short_loc_ema_stack_pos_24_0_43357179_compression_ratio_-0_33411601_mkt_ret_eq_24h_1_1280091_mkt_ret_eq_24h_-0_81129736_up_down_semivol_ratio_tanh_-0_39156261,0.78,local_candidates,2026-02,816,0.8198529411764706,0.8296568627450981,258.5164693961171,210.90970840081448,278.7952663275664,20.278796931449406,0.04753872318130503,0.7485297135541261
short_loc,short_loc_ema_stack_pos_24_0_43357179_compression_ratio_-0_33411601_mkt_ret_eq_24h_1_1280091_mkt_ret_eq_24h_-0_81129736_up_down_semivol_ratio_tanh_-0_39156261,0.78,local_candidates,2026-03,2668,0.7623688155922039,0.7762368815592204,119.51493455201904,106.24322511875413,139.6545901192194,20.13965556720036,1.948338374201107,0.43201202477642514
short_loc,short_loc_ema_stack_pos_24_0_43357179_compression_ratio_-0_33411601_mkt_ret_eq_24h_1_1280091_mkt_ret_eq_24h_-0_81129736_up_down_semivol_ratio_tanh_-0_39156261,0.78,local_candidates,2026-04,1654,0.7660217654171705,0.7787182587666264,144.105781073371,127.19682975473872,164.2700519571728,20.164270883801823,0.2716279170615149,0.32515855692386614
short_loc,short_loc_ema_stack_pos_24_0_43357179_compression_ratio_-0_33411601_mkt_ret_eq_24h_1_1280091_mkt_ret_eq_24h_-0_81129736_up_down_semivol_ratio_tanh_-0_39156261,0.78,local_candidates,2026-05,663,0.6681749622926093,0.693815987933635,155.3541718304071,110.24643611119639,175.52970225966826,20.175530429261133,4.7390388468698985,0.18231372510255534
short_loc,short_loc_ema_stack_pos_24_0_43357179_compression_ratio_-0_33411601_mkt_ret_eq_24h_1_1280091_mkt_ret_eq_24h_-0_81129736_up_down_semivol_ratio_tanh_-0_39156261,0.78,accepted_portfolio,2026-01,46,0.9130434782608695,0.9130434782608695,344.00289369026166,275.34548186405965,364.36726370125297,20.36437001099125,1.4091835780848285,0.0
short_loc,short_loc_ema_stack_pos_24_0_43357179_compression_ratio_-0_33411601_mkt_ret_eq_24h_1_1280091_mkt_ret_eq_24h_-0_81129736_up_down_semivol_ratio_tanh_-0_39156261,0.78,accepted_portfolio,2026-02,184,0.8260869565217391,0.842391304347826,281.6911417342221,259.17811226467876,301.99313685424454,20.301995120022465,0.9973623303803636,0.0552027088650747
short_loc,short_loc_ema_stack_pos_24_0_43357179_compression_ratio_-0_33411601_mkt_ret_eq_24h_1_1280091_mkt_ret_eq_24h_-0_81129736_up_down_semivol_ratio_tanh_-0_39156261,0.78,accepted_portfolio,2026-03,350,0.8342857142857143,0.8428571428571429,189.76788428780392,155.80047305002387,209.9778630560219,20.209978768218015,1.0657522546994578,0.06726640749220739
short_loc,short_loc_ema_stack_pos_24_0_43357179_compression_ratio_-0_33411601_mkt_ret_eq_24h_1_1280091_mkt_ret_eq_24h_-0_81129736_up_down_semivol_ratio_tanh_-0_39156261,0.78,accepted_portfolio,2026-04,296,0.8277027027027027,0.8378378378378378,173.2830155414855,128.3299705219248,193.47649312245807,20.19347758097256,-0.66939885359385,0.23476376399798846
short_loc,short_loc_ema_stack_pos_24_0_43357179_compression_ratio_-0_33411601_mkt_ret_eq_24h_1_1280091_mkt_ret_eq_24h_-0_81129736_up_down_semivol_ratio_tanh_-0_39156261,0.78,accepted_portfolio,2026-05,133,0.8045112781954887,0.8270676691729323,290.8479856413588,180.4613426356122,311.1591464553785,20.311160814019726,-0.8215166783512703,0.03593931378452372
short_dist,short_dist_rolling_7d_high_0_13977644_mkt_ret_eq_24h_-0_56630391_rolling_range_20_-0_40672407,0.59,local_candidates,2026-01,13,1.0,1.0,590.8973139471188,543.1835366238952,611.5088061021261,20.611492155007287,0.0,0.0
short_dist,short_dist_rolling_7d_high_0_13977644_mkt_ret_eq_24h_-0_56630391_rolling_range_20_-0_40672407,0.59,local_candidates,2026-02,648,0.7654320987654321,0.7669753086419753,249.55224587210122,231.88504408874766,269.82206849831323,20.26982262621203,0.11193993983600199,0.44824497066343055
short_dist,short_dist_rolling_7d_high_0_13977644_mkt_ret_eq_24h_-0_56630391_rolling_range_20_-0_40672407,0.59,local_candidates,2026-03,1376,0.7369186046511628,0.7521802325581395,184.20605377648397,142.79196691791392,204.41046532391266,20.204411547428688,-0.9273753798531434,0.33916121178128694
short_dist,short_dist_rolling_7d_high_0_13977644_mkt_ret_eq_24h_-0_56630391_rolling_range_20_-0_40672407,0.59,local_candidates,2026-04,980,0.6918367346938775,0.7061224489795919,224.77871796388723,139.424104031949,245.0237427684275,20.245024804540243,-0.4499628286887785,0.03570451867411648
short_dist,short_dist_rolling_7d_high_0_13977644_mkt_ret_eq_24h_-0_56630391_rolling_range_20_-0_40672407,0.59,local_candidates,2026-05,609,0.6338259441707718,0.6420361247947455,192.24605451841677,148.84055334159686,212.4585143973847,20.21245987896796,-0.1550828899594182,0.08938635060152819
short_dist,short_dist_rolling_7d_high_0_13977644_mkt_ret_eq_24h_-0_56630391_rolling_range_20_-0_40672407,0.59,accepted_portfolio,2026-01,1,1.0,1.0,741.664457859685,741.664457859685,762.426872150023,20.76241429033801,0.0,0.0
short_dist,short_dist_rolling_7d_high_0_13977644_mkt_ret_eq_24h_-0_56630391_rolling_range_20_-0_40672407,0.59,accepted_portfolio,2026-02,121,0.8842975206611571,0.8842975206611571,294.71408011670457,255.22195447140479,315.0291105640731,20.315030447368578,0.6568670432310678,0.0
short_dist,short_dist_rolling_7d_high_0_13977644_mkt_ret_eq_24h_-0_56630391_rolling_range_20_-0_40672407,0.59,accepted_portfolio,2026-03,254,0.7952755905511811,0.8070866141732284,190.89711332570047,146.6031512210931,211.10822246870435,20.211109143003842,0.19238163914911988,0.04447666531164631
short_dist,short_dist_rolling_7d_high_0_13977644_mkt_ret_eq_24h_-0_56630391_rolling_range_20_-0_40672407,0.59,accepted_portfolio,2026-04,200,0.81,0.82,278.58705091925674,197.99051289163026,298.885938483968,20.298887564711244,-0.7462708869944268,0.0
short_dist,short_dist_rolling_7d_high_0_13977644_mkt_ret_eq_24h_-0_56630391_rolling_range_20_-0_40672407,0.59,accepted_portfolio,2026-05,102,0.696078431372549,0.7058823529411765,237.2410603185537,208.04380513552243,257.49856118928744,20.257500870733846,0.6092823496676975,0.0
