Stage: EngineerFeatures | Step: 04_02 | Shape: (255967, 19)
       open     high      low    close    volume  close_returns  open_returns  high_returns  low_returns  price_impact  volume_price_impact  order_flow_imbalance  bid_ask_spread  market_depth  realized_volatility  parkinson_volatility  garman_klass_volatility  volatility_regime  volatility_percentile
33  2728.53  2729.65  2726.36  2727.06  1135.386      -0.000539      0.000649     -0.000007    -0.000147           0.0                  0.0                   0.0        0.003887   1987.993650             2.292548              0.000002             6.198961e-07                  3               0.674768
34  2727.06  2729.26  2727.06  2728.37   949.728       0.000480     -0.000539     -0.000143     0.000257           0.0                  0.0                   0.0        0.003502   2007.002350             2.321999              0.000002             6.224854e-07                  3               0.682179
35  2728.36  2728.74  2723.43  2725.22  3446.876      -0.001155      0.000477     -0.000191    -0.001331           0.0                  0.0                   0.0        0.005090   2031.750750             2.404945              0.000002             6.720065e-07                  3               0.702280
36  2725.23  2728.37  2723.91  2728.37  2162.805       0.001156     -0.001147     -0.000136     0.000176           0.0                  0.0                   0.0        0.006141   2077.256350             2.444666              0.000002             7.081338e-07                  3               0.711234
37  2728.38  2732.89  2727.95  2731.40  1795.347       0.001111      0.001156      0.001657     0.001483           0.0                  0.0                   0.0        0.005889   1881.431350             2.549306              0.000002             6.681333e-07                  3               0.733503
38  2731.31  2732.95  2730.00  2730.29  1746.039      -0.000406      0.001074      0.000022     0.000751           0.0                  0.0                   0.0        0.005087   1880.576150             2.525623              0.000002             6.847843e-07                  3               0.728658
39  2730.29  2730.30  2727.82  2727.82   389.008      -0.000905     -0.000373     -0.000970    -0.000799           0.0                  0.0                   0.0        0.003408   1752.390000             2.525623              0.000002             6.112996e-07                  3               0.728654
40  2727.81  2730.07  2724.61  2724.95  1699.307      -0.001052     -0.000908     -0.000084    -0.001177           0.0                  0.0                   0.0        0.005308   1723.144150             2.347662              0.000002             6.480238e-07                  3               0.688598
41  2724.94  2724.95  2718.77  2722.17  5622.012      -0.001020     -0.001052     -0.001875    -0.002143           0.0                  0.0                   0.0        0.007308   1895.272400             2.375132              0.000002             7.380850e-07                  3               0.695251
42  2722.17  2723.45  2719.50  2722.68  2049.607       0.000187     -0.001017     -0.000550     0.000269           0.0                  0.0                   0.0        0.006506   1885.866300             2.281152              0.000002             7.527802e-07                  3               0.671904
43  2722.68  2726.00  2722.43  2726.00  1751.502       0.001219      0.000187      0.000936     0.001077           0.0                  0.0                   0.0        0.004721   1909.333300             2.423376              0.000002             7.368762e-07                  3               0.706581
44  2726.00  2730.00  2725.75  2726.80  2008.990       0.000293      0.001219      0.001467     0.001219           0.0                  0.0                   0.0        0.004915   1895.340350             2.325483              0.000002             7.459766e-07                  3               0.683136
45  2726.80  2728.55  2726.31  2728.54   502.636       0.000638      0.000293     -0.000531     0.000205           0.0                  0.0                   0.0        0.004252   1863.811000             2.188391              0.000002             7.354931e-07                  2               0.647108
46  2728.54  2728.89  2725.80  2726.24   478.845      -0.000843      0.000638      0.000125    -0.000187           0.0                  0.0                   0.0        0.003378   1769.251150             2.231269              0.000002             7.410411e-07                  2               0.658625
47  2726.22  2729.02  2725.89  2728.69   632.043       0.000899     -0.000850      0.000048     0.000033           0.0                  0.0                   0.0        0.003893   1692.540200             2.240682              0.000002             7.288048e-07                  2               0.661067
48  2728.68  2729.03  2724.29  2725.10  1197.524      -0.001316      0.000902      0.000004    -0.000587           0.0                  0.0                   0.0        0.005029   1685.786450             2.318099              0.000002             7.518331e-07                  3               0.681187
49  2725.11  2729.22  2725.04  2728.84   922.139       0.001372     -0.001308      0.000070     0.000275           0.0                  0.0                   0.0        0.005595   1650.368100             2.466182              0.000002             7.422859e-07                  3               0.716004
