child_id,parent_ids,merge_type,round,details,timestamp
(*)|(LOC_13_EMAValueZone_Long==1)|(reg_ema50_gt_ema200_ts_top30==1),"['(*)|(LOC_03_BetweenFastMidEMA==1)|(reg_ema50_gt_ema200_ts_top30==1)', '(*)|(LOC_13_EMAValueZone_Long==1)|(reg_ema50_gt_ema200_ts_top30==1)']",prune_duplicate,1,"{""decision_reason"": ""duplicate_pruned""}",2026-03-24 08:38:39.467536
Composite((*)|(LOC_76_NearInitialBalanceHigh==1)|(reg_trend_persistence_ts_band40_60==0&reg_volume_zscore_48h_ts_band40_60==0))_OR_((*)|(LOC_76_NearInitialBalanceHigh==1)|(reg_volume_zscore_48h_ts_band40_60==0)),"['(*)|(LOC_76_NearInitialBalanceHigh==1)|(reg_trend_persistence_ts_band40_60==0&reg_volume_zscore_48h_ts_band40_60==0)', '(*)|(LOC_76_NearInitialBalanceHigh==1)|(reg_volume_zscore_48h_ts_band40_60==0)']",accepted_composite,1,"{""decision_reason"": ""accepted""}",2026-03-24 08:38:39.480431
(*)|(LOC_09_TouchMidEMA_Long==1)|(*),"['(*)|(LOC_09_TouchMidEMA_Long==1)|(*)', '(*)|(LOC_09_TouchMidEMA_Long==1)|(reg_ema20_gt_ema50_ts_band25_75==0)']",prune_duplicate,1,"{""decision_reason"": ""duplicate_pruned""}",2026-03-24 08:38:39.491398
(*)|(LOC_90_AbovePrevDayHigh==1)|(reg_bollinger_band_width_ts_bot80==1&reg_price_lt_ema200_ts_top80==0&reg_return_autocorr_48_ts_band30_70==1&reg_volume_zscore_48h_ts_band30_70==1),"['(*)|(LOC_90_AbovePrevDayHigh==1)|(reg_bollinger_band_width_ts_bot80==1&reg_price_lt_ema200_ts_top80==0&reg_return_autocorr_48_ts_band30_70==1&reg_volume_zscore_48h_ts_band30_70==1)', '(*)|(LOC_90_AbovePrevDayHigh==1)|(reg_bollinger_band_width_ts_bot80==1&reg_price_lt_ema200_ts_top80==0&reg_volume_zscore_48h_ts_top80==0)']",prune_duplicate,1,"{""decision_reason"": ""duplicate_pruned""}",2026-03-24 08:38:39.500193
(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_bot30==1),"['(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_bot30==1)', '(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_bot40==1)']",prune_duplicate,1,"{""decision_reason"": ""duplicate_pruned""}",2026-03-24 08:38:39.507828
(*)|(LOC_135_Fib50Zone_Long==1)|(reg_bollinger_band_width_ts_bot30==0&reg_volume_autocorr_48_ts_top80==1),"['(*)|(LOC_135_Fib50Zone_Long==1)|(reg_bollinger_band_width_ts_bot30==0&reg_volume_autocorr_48_ts_top80==1)', '(*)|(LOC_135_Fib50Zone_Long==1)|(reg_volume_autocorr_48_ts_bot80==0)']",prune_duplicate,1,"{""decision_reason"": ""duplicate_pruned""}",2026-03-24 08:38:39.515602
(*)|(LOC_136_Fib618Zone_Long==1)|(reg_compression_score_ts_bot30==1&reg_volume_zscore_48h_ts_band25_75==1),"['(*)|(LOC_136_Fib618Zone_Long==1)|(reg_compression_score_ts_bot30==1&reg_volume_zscore_48h_ts_band25_75==1)', '(*)|(LOC_136_Fib618Zone_Long==1)|(reg_compression_score_ts_top60==0&reg_volume_zscore_48h_ts_band25_75==1)']",prune_duplicate,1,"{""decision_reason"": ""duplicate_pruned""}",2026-03-24 08:38:39.523954
(*)|(LOC_20_AboveVWAP==1)|(reg_price_lt_ema200_ts_top20==0),"['(*)|(LOC_20_AboveVWAP==1)|(reg_price_lt_ema200_ts_top20==0)', '(*)|(LOC_28_BetweenVWAPAndPlus1Dev==1)|(reg_price_lt_ema200_ts_top20==0&reg_return_autocorr_48_ts_top80==0)']",prune_duplicate,1,"{""decision_reason"": ""duplicate_pruned""}",2026-03-24 08:38:39.532249
(*)|(LOC_05_StackedAboveAllEMAs==1)|(reg_compression_score_ts_top60==1&reg_price_lt_ema200_ts_top70==0&reg_return_autocorr_48_ts_band25_75==1),"['(*)|(LOC_05_StackedAboveAllEMAs==1)|(reg_compression_score_ts_top60==1&reg_ema20_gt_ema50_ts_top20==1&reg_return_autocorr_48_ts_band25_75==1)', '(*)|(LOC_05_StackedAboveAllEMAs==1)|(reg_compression_score_ts_top60==1&reg_price_lt_ema200_ts_top70==0&reg_return_autocorr_48_ts_band25_75==1)']",prune_duplicate,1,"{""decision_reason"": ""duplicate_pruned""}",2026-03-24 08:38:39.541015
(*)|(LOC_75_BelowInitialBalanceMid==1)|(reg_bollinger_band_width_ts_band25_75==1),"['(*)|(LOC_75_BelowInitialBalanceMid==1)|(reg_bollinger_band_width_ts_band25_75==1&reg_return_autocorr_48_ts_top20==1)', '(*)|(LOC_75_BelowInitialBalanceMid==1)|(reg_bollinger_band_width_ts_band25_75==1)']",prune_duplicate,1,"{""decision_reason"": ""duplicate_pruned""}",2026-03-24 08:38:39.550511
