symbol,price_rows,missing_oi,missing_volume,missing_funding,missing_any,valid_all,chart_positive_volume,actual_trades,confirmed_no_trades,unavailable_volume,linked_zero_carry,isolated_zero_chart,perp_symbol,oi_gap_ranges,volume_gap_ranges
PENDLE_USD:USD,17398,0,2542,1,2543,14855,14856,0,0,0,1430,1112,PENDLE/USD:USD,0,1599
POL_USD:USD,14662,0,1289,0,1289,13373,13373,0,0,0,671,618,POL/USD:USD,0,854
PROMPT_USD:USD,5604,37,4669,0,4670,934,935,0,0,0,4527,142,PROMPT/USD:USD,1,521
QTUM_USD:USD,32853,4677,23154,2,24114,8739,9699,0,0,0,21706,1448,QTUM/USD:USD,7,4751
RAY_USD:USD,13839,1,2884,0,2885,10954,10955,0,0,0,2093,791,RAY/USD:USD,1,1350
RLC_USD:USD,27301,0,19994,1,19995,7306,7307,0,0,0,18855,1139,RLC/USD:USD,0,3571
SAGA_USD:USD,18491,0,8821,0,8821,9670,9670,0,0,0,7529,1292,SAGA/USD:USD,0,2948
SNX_USD:USD,34029,5853,6681,2,10394,23635,27348,0,0,0,4578,2103,SNX/USD:USD,9,3516
SOON_USD:USD,5730,0,4698,0,4698,1032,1032,0,0,0,4530,168,SOON/USD:USD,0,485
SSV_USD:USD,13505,0,10082,0,10082,3423,3423,0,0,0,9500,582,SSV/USD:USD,0,1806
STRK_USD:USD,19751,0,3304,0,3304,16447,16447,0,0,0,2351,953,STRK/USD:USD,0,1653
SUPER_USD:USD,18214,0,8778,0,8778,9436,9436,0,0,0,7493,1285,SUPER/USD:USD,0,2910
SYN_USD:USD,15354,1,9001,0,9002,6352,6353,0,0,0,8012,989,SYN/USD:USD,1,2516
TIA_USD:USD,21761,4,158,0,159,21602,21603,0,0,0,69,89,TIA/USD:USD,1,112
TRU_USD:USD,18387,0,11749,0,11749,6638,6638,0,0,0,10869,880,TRU/USD:USD,0,2443
UMA_USD:USD,20377,0,10622,0,10622,9755,9755,0,0,0,9111,1511,UMA/USD:USD,0,3364
USUAL_USD:USD,11854,0,6299,0,6299,5555,5555,0,0,0,5486,813,USUAL/USD:USD,0,1955
WIF_USD:USD,20469,0,77,0,77,20392,20392,0,0,0,36,41,WIF/USD:USD,0,56
XCN_USD:USD,11542,1,7036,0,7037,4505,4506,0,0,0,6389,647,XCN/USD:USD,1,1711
XRP_USD:USD,35133,6957,452,2,6969,28164,34681,0,0,0,235,217,XRP/USD:USD,10,306
ZBT_USD:USD,4765,1239,3883,0,3886,879,882,0,0,0,3749,134,ZBT/USD:USD,4,353
ZRO_USD:USD,16847,4,3691,0,3695,13152,13156,0,0,0,2545,1146,ZRO/USD:USD,1,1938
