symbol,price_rows,missing_oi,missing_volume,missing_funding,missing_any,valid_all,chart_positive_volume,actual_trades,confirmed_no_trades,source_conflict_volume,unavailable_volume,linked_zero_carry,isolated_zero_chart,perp_symbol,oi_gap_ranges,volume_gap_ranges
ENJ_USD:USD,33861,5684,11,0,5695,28166,17012,16614,16838,10,0,14445,2394,ENJ/USD:USD,8,1
ENS_USD:USD,32016,3838,14,3,3852,28164,24055,20213,7947,13,0,6133,1815,ENS/USD:USD,6,1
ESPORTS_USD:USD,3669,0,5,0,5,3664,2300,2268,1364,4,0,1142,223,ESPORTS/USD:USD,0,1
ETC_USD:USD,33358,5180,0,1,5180,28178,23433,20562,9925,0,0,7882,2043,ETC/USD:USD,8,0
ETH_USD:USD,35137,6959,12,0,6971,28166,35125,0,0,0,397,11,1,ETH/USD:USD,10,0
ETHFI_USD:USD,17855,0,10,0,10,17845,11450,11079,6395,8,0,5033,1364,ETHFI/USD:USD,0,1
EUR_USD:USD,9631,0,4,0,4,9627,687,667,8940,2,0,8860,82,EUR/USD:USD,0,1
FARTCOIN_USD:USD,11729,0,11,0,11,11718,11718,1,0,0,11,10,1,FARTCOIN/USD:USD,0,0
FET_USD:USD,27791,1,4183,2,4185,23606,19970,13479,3638,1,4182,7008,812,FET/USD:USD,1,0
FIL_USD:USD,35137,6959,9,0,6968,28169,31201,11741,3927,0,9,2869,1067,FIL/USD:USD,10,0
FLOKI_USD:USD,17732,0,23,0,23,17709,15332,12783,2377,17,4,1483,900,FLOKI/USD:USD,0,1
FLOW_USD:USD,33020,4844,21,3,4865,28155,12101,11944,20898,19,0,18950,1951,FLOW/USD:USD,7,1
FLR_USD:USD,29520,1342,9,0,1351,28169,12303,12085,17208,7,0,15203,2007,FLR/USD:USD,2,1
FLUX_USD:USD,13004,1,8,0,9,12995,1878,1851,11118,6,0,10868,252,FLUX/USD:USD,1,1
GALA_USD:USD,33355,5177,0,2,5177,28178,27594,18532,5761,0,0,4451,1310,GALA/USD:USD,8,0
GBP_USD:USD,9481,3434,722,0,3434,6047,230,215,8529,0,720,9233,18,GBP/USD:USD,16,1
GIGA_USD:USD,12644,2,15,0,17,12627,6162,6024,6467,14,0,5503,966,GIGA/USD:USD,1,1
GMT_USD:USD,34917,6739,8,0,6747,28170,22422,21712,12487,8,0,10079,2408,GMT/USD:USD,10,0
GMX_USD:USD,28143,0,16,1,17,28126,15102,14762,13025,14,0,11045,1982,GMX/USD:USD,0,1
GOAT_USD:USD,13841,0,20,1,21,13820,13111,5459,710,12,392,439,279,GOAT/USD:USD,0,1
GRASS_USD:USD,13335,0,13,0,13,13322,10381,9444,2941,13,0,2117,824,GRASS/USD:USD,0,0
GRIFFAIN_USD:USD,11685,0,16,0,16,11669,7653,7206,4016,15,0,3315,702,GRIFFAIN/USD:USD,0,1
GRT_USD:USD,33020,4842,1,3,4843,28177,24396,20988,8623,0,0,6681,1943,GRT/USD:USD,7,1
GTC_USD:USD,16918,20,5,0,25,16893,2284,2249,14629,4,0,14380,250,GTC/USD:USD,1,1
HBAR_USD:USD,16749,4,2,0,6,16743,15965,6706,782,0,2,465,319,HBAR/USD:USD,1,0
HFT_USD:USD,24788,98,22,0,120,24668,10619,10274,14147,20,0,12606,1544,HFT/USD:USD,3,1
HMSTR_USD:USD,13841,0,10,0,10,13831,3594,3549,10237,8,0,9765,474,HMSTR/USD:USD,0,1
ICP_USD:USD,32339,4164,1,2,4165,28174,25134,14155,7204,0,1,6294,911,ICP/USD:USD,6,0
ICX_USD:USD,32013,3839,7,0,3846,28167,12427,10314,19579,7,0,18259,1320,ICX/USD:USD,6,0
IMX_USD:USD,31662,3485,3,0,3488,28174,22234,20833,9425,1,0,7240,2187,IMX/USD:USD,5,1
INIT_USD:USD,8875,0,25,0,25,8850,3062,3034,5788,23,0,5298,492,INIT/USD:USD,0,1
INJ_USD:USD,27479,4,12,5,17,27462,25172,5643,2295,0,12,1787,520,INJ/USD:USD,1,0
IP_USD:USD,10634,0,16,0,16,10618,7738,6046,2880,14,0,2293,589,IP/USD:USD,0,1
JASMY_USD:USD,27479,14,0,1,15,27464,21370,14055,6109,0,0,5447,662,JASMY/USD:USD,3,0
JTO_USD:USD,21235,0,3,0,3,21232,17286,15033,3946,3,0,2599,1347,JTO/USD:USD,0,0
JUP_USD:USD,20231,0,11,0,11,20220,19206,14908,1014,11,0,394,620,JUP/USD:USD,0,0
KAITO_USD:USD,10532,0,9,0,9,10523,6155,5568,4368,9,0,3590,778,KAITO/USD:USD,0,0
KAS_USD:USD,20734,0,5,0,5,20729,19993,11516,736,3,2,438,300,KAS/USD:USD,0,0
KAVA_USD:USD,33190,5014,15,1,5029,28161,20319,19558,12856,14,0,10307,2550,KAVA/USD:USD,7,1
KSM_USD:USD,33020,4842,16,3,4858,28162,19402,19049,13602,15,0,10864,2739,KSM/USD:USD,7,1
LAYER_USD:USD,11137,0,7,0,7,11130,2357,2325,8773,5,0,8460,315,LAYER/USD:USD,0,1
LCAP_USD:USD,3818,645,4,0,649,3169,346,340,3468,2,0,3411,59,LCAP/USD:USD,2,1
LDO_USD:USD,28152,0,0,1,1,28151,23917,16738,4224,8,0,3234,1001,LDO/USD:USD,0,0
LINK_USD:USD,35137,6959,14,0,6973,28164,34572,7908,551,0,399,253,312,LINK/USD:USD,10,0
LPT_USD:USD,33690,5512,8,1,5520,28170,22158,19290,11524,8,0,9993,1531,LPT/USD:USD,8,0
LQTY_USD:USD,13895,2,44,0,46,13849,2284,2254,11567,4,38,11295,312,LQTY/USD:USD,1,1
LRC_USD:USD,33190,5013,2,1,5015,28175,17849,17226,15325,17,0,13100,2241,LRC/USD:USD,7,1
LSK_USD:USD,20255,0,2,0,2,20253,6437,6333,13812,7,0,12834,984,LSK/USD:USD,0,1
LTC_USD:USD,35137,6959,12,0,6971,28166,34752,3981,373,0,397,167,218,LTC/USD:USD,10,0
MANA_USD:USD,34245,6067,1,0,6068,28177,26644,22017,7600,0,1,5521,2080,MANA/USD:USD,9,0
ME_USD:USD,11856,0,0,0,0,11856,2006,1988,9842,7,0,9564,286,ME/USD:USD,0,0
MELANIA_USD:USD,11737,0,0,0,0,11737,9087,8374,2627,24,0,2030,620,MELANIA/USD:USD,0,0
METIS_USD:USD,13335,0,7,0,7,13328,2729,2698,10599,5,0,10213,388,METIS/USD:USD,0,1
MEW_USD:USD,16918,6,1,0,7,16911,15699,10478,1218,1,0,642,576,MEW/USD:USD,2,0
MINA_USD:USD,31823,3648,0,0,3648,28175,18055,17491,13738,30,0,11352,2416,MINA/USD:USD,6,0
MIRA_USD:USD,5482,0,0,0,0,5482,353,344,5126,3,0,5081,48,MIRA/USD:USD,0,0
MNT_USD:USD,16273,317,2882,0,3199,13074,3608,3429,9764,16,2880,12174,491,MNT/USD:USD,3,1
MOG_USD:USD,15503,0,1,0,1,15502,8115,7575,7367,16,0,6357,1031,MOG/USD:USD,0,1
MON_USD:USD,3668,536,0,0,536,3132,1622,1590,2033,11,0,1828,218,MON/USD:USD,1,0
MOODENG_USD:USD,13675,0,3,0,3,13672,13327,5841,338,5,3,156,192,MOODENG/USD:USD,0,0
MORPHO_USD:USD,13053,0,0,0,0,13053,7358,7215,5663,25,0,4724,971,MORPHO/USD:USD,0,0
MOVR_USD:USD,17730,0,0,0,0,17730,5591,5534,12121,9,0,11336,803,MOVR/USD:USD,0,0
MUBARAK_USD:USD,8795,106,0,0,106,8689,2025,2001,6748,22,0,6401,369,MUBARAK/USD:USD,6,0
NEAR_USD:USD,34583,6405,9,2,6414,28169,28591,9305,5983,0,9,4745,1247,NEAR/USD:USD,9,0
NEIRO_USD:USD,14207,0,0,0,0,14207,10404,9504,3782,21,0,3025,778,NEIRO/USD:USD,0,0
NIGHT_USD:USD,3912,0,1,1,2,3910,3009,2116,886,11,1,646,257,NIGHT/USD:USD,0,0
NMR_USD:USD,16531,14,0,0,14,16517,9041,8651,7465,16,0,6356,1134,NMR/USD:USD,2,0
NOT_USD:USD,16414,0,0,0,0,16414,9493,9041,6901,19,0,5830,1091,NOT/USD:USD,0,0
OGN_USD:USD,32686,4508,0,1,4508,28178,9218,9136,23441,30,0,22080,1388,OGN/USD:USD,7,0
OMI_USD:USD,3641,328,720,0,1048,2593,232,227,2687,1,720,3368,41,OMI/USD:USD,6,0
ONDO_USD:USD,18548,1,3,0,4,18544,18182,7340,360,3,3,147,219,ONDO/USD:USD,1,0
OP_USD:USD,34834,6656,3,1,6659,28175,29657,15046,5173,0,3,3791,1386,OP/USD:USD,10,0
OPEN_USD:USD,5442,34,324,0,358,5084,655,639,4450,8,324,4708,79,OPEN/USD:USD,1,0
ORCA_USD:USD,12476,0,0,0,0,12476,3273,3241,9181,19,0,8744,459,ORCA/USD:USD,0,0
ORDER_USD:USD,5611,0,0,0,0,5611,880,869,4723,9,0,4595,136,ORDER/USD:USD,0,0
OXT_USD:USD,13712,0,0,0,0,13712,2567,2537,11133,9,0,10819,326,OXT/USD:USD,0,0
PAXG_USD:USD,24285,45,0,0,45,24240,12329,11422,11948,2,0,10418,1538,PAXG/USD:USD,2,0
PENDLE_USD:USD,17400,0,0,1,1,17399,14858,14017,2525,14,0,1430,1112,PENDLE/USD:USD,0,0
PENGU_USD:USD,12476,0,1,0,1,12475,12059,6299,411,3,1,189,228,PENGU/USD:USD,0,0
PEPE_USD:USD,26281,0,13,0,13,26268,24743,4783,1525,0,398,1040,498,PEPE/USD:USD,0,0
PNUT_USD:USD,13053,0,0,0,0,13053,11630,9388,1396,23,0,880,543,PNUT/USD:USD,0,0
POL_USD:USD,14664,0,0,0,0,14664,13375,10907,1286,4,0,671,618,POL/USD:USD,0,0
POPCAT_USD:USD,16916,3,16,0,19,16897,16860,2800,37,0,837,19,37,POPCAT/USD:USD,1,0
PORTAL_USD:USD,16749,0,0,0,0,16749,5814,5716,10918,20,0,10125,810,PORTAL/USD:USD,0,0
POWR_USD:USD,17729,0,0,0,0,17729,3443,3377,14276,11,0,13795,491,POWR/USD:USD,0,0
PROMPT_USD:USD,5606,37,0,0,37,5569,935,915,4660,8,0,4529,142,PROMPT/USD:USD,1,0
PUMP_USD:USD,7531,0,0,1,1,7530,7369,3541,151,6,0,39,123,PUMP/USD:USD,0,0
PYTH_USD:USD,21763,0,0,0,0,21763,19384,14751,2374,4,0,1522,857,PYTH/USD:USD,0,0
QNT_USD:USD,31674,3497,0,0,3497,28177,19059,18463,12582,26,0,10187,2428,QNT/USD:USD,5,0
QTUM_USD:USD,32855,4677,0,2,4677,28178,9700,9576,23140,14,0,21707,1448,QTUM/USD:USD,7,0
RARE_USD:USD,15502,0,0,1,1,15501,6072,5495,9421,13,0,8599,831,RARE/USD:USD,0,0
RARI_USD:USD,5108,295,2635,0,2930,2178,518,494,1955,0,2635,4557,33,RARI/USD:USD,4,0
RAVE_USD:USD,1609,0,0,0,0,1609,1488,600,115,5,0,77,44,RAVE/USD:USD,0,0
RAY_USD:USD,13841,1,0,0,1,13840,10955,10258,2860,25,0,2095,791,RAY/USD:USD,1,0
RENDER_USD:USD,15909,0,0,0,0,15909,15584,9532,323,1,0,88,237,RENDER/USD:USD,0,0
REZ_USD:USD,16177,0,0,0,0,16177,5788,5552,10363,20,0,9730,659,REZ/USD:USD,0,0
RIVER_USD:USD,4771,1902,1440,0,1902,2869,2679,578,651,0,1440,2045,47,RIVER/USD:USD,4,0
RLC_USD:USD,27303,0,0,1,1,27302,7307,7215,19975,21,0,18857,1139,RLC/USD:USD,0,0
RSR_USD:USD,14541,0,0,0,0,14541,6376,6217,8138,23,0,7291,874,RSR/USD:USD,0,0
RUNE_USD:USD,32517,4339,2,0,4341,28176,25334,17376,7170,12,2,6180,1003,RUNE/USD:USD,7,0
S_USD:USD,11782,0,0,0,0,11782,7419,7285,4345,18,0,3432,931,S/USD:USD,0,0
SAGA_USD:USD,18493,0,0,0,0,18493,9671,8829,8798,20,0,7529,1293,SAGA/USD:USD,0,0
SAND_USD:USD,33860,5683,0,3,5683,28177,22813,20977,11047,1,0,8377,2670,SAND/USD:USD,8,0
SEI_USD:USD,19248,0,1,0,1,19247,18495,12290,748,1,1,295,458,SEI/USD:USD,0,0
SHIB_USD:USD,26145,0,1,0,1,26144,23246,7368,2897,0,1,2297,602,SHIB/USD:USD,0,0
SNX_USD:USD,34031,5853,0,2,5853,28178,27350,24164,6664,21,0,4578,2103,SNX/USD:USD,9,0
SOL_USD:USD,35135,6957,13,2,6969,28166,35110,1078,12,0,398,11,14,SOL/USD:USD,10,0
SOLV_USD:USD,11179,0,720,0,720,10459,2443,2391,7996,16,720,8443,293,SOLV/USD:USD,0,0
SONIC_USD:USD,11539,0,0,0,0,11539,2594,2568,8929,15,0,8527,418,SONIC/USD:USD,0,0
SOON_USD:USD,5732,0,0,0,0,5732,1032,1005,4693,11,0,4532,168,SOON/USD:USD,0,0
SPELL_USD:USD,19605,0,0,0,0,19605,7368,7275,12229,7,0,11211,1026,SPELL/USD:USD,0,0
SPK_USD:USD,7885,0,0,0,0,7885,3095,2981,4761,26,0,4363,427,SPK/USD:USD,0,0
SPX_USD:USD,12476,0,1,0,1,12475,11689,8231,774,6,1,448,339,SPX/USD:USD,0,0
SSV_USD:USD,13507,0,0,0,0,13507,3423,3383,10080,3,0,9502,582,SSV/USD:USD,0,0
STBL_USD:USD,5759,38,0,0,38,5721,814,779,4935,12,0,4830,115,STBL/USD:USD,3,0
STG_USD:USD,24788,58,0,0,58,24730,6484,6423,18289,18,0,17276,1028,STG/USD:USD,2,0
STORJ_USD:USD,32518,4340,0,1,4340,28178,18352,17441,14136,26,0,12092,2074,STORJ/USD:USD,7,0
STRK_USD:USD,19753,0,0,0,0,19753,16449,14145,3295,2,0,2351,953,STRK/USD:USD,0,0
STX_USD:USD,27621,0,1,1,2,27619,22568,17297,5027,31,1,4003,1050,STX/USD:USD,0,0
SUI_USD:USD,26808,0,13,0,13,26795,23939,4000,2856,0,398,2385,484,SUI/USD:USD,0,0
SUN_USD:USD,13895,0,0,0,0,13895,2000,1977,11881,11,0,11631,264,SUN/USD:USD,0,0
SUPER_USD:USD,18216,0,0,0,0,18216,9438,9210,8760,14,0,7493,1285,SUPER/USD:USD,0,0
SUSHI_USD:USD,32686,4508,0,1,4508,28178,26099,22964,6580,2,0,4797,1790,SUSHI/USD:USD,7,0
SWARMS_USD:USD,11370,4,0,0,4,11366,4325,4238,7036,9,0,6362,683,SWARMS/USD:USD,1,0
SXT_USD:USD,8790,29,0,0,29,8761,1368,1347,7401,18,0,7233,189,SXT/USD:USD,4,0
SYN_USD:USD,15356,1,0,0,1,15355,6353,6225,8980,22,0,8014,989,SYN/USD:USD,1,0
SYRUP_USD:USD,8870,0,0,0,0,8870,2994,2972,5850,20,0,5440,436,SYRUP/USD:USD,0,0
T_USD:USD,17899,0,0,0,0,17899,3531,3472,14364,3,0,13980,388,T/USD:USD,0,0
TAO_USD:USD,16678,0,7,0,7,16671,16412,2992,259,0,7,158,108,TAO/USD:USD,0,0
TIA_USD:USD,21763,4,2,0,6,21757,21605,6047,153,3,2,69,89,TIA/USD:USD,1,0
TLM_USD:USD,17232,0,0,0,0,17232,3599,3548,13617,14,0,13208,425,TLM/USD:USD,0,0
TNSR_USD:USD,17232,4,74,0,78,17154,6528,6430,10624,7,74,9792,912,TNSR/USD:USD,1,0
TON_USD:USD,18092,2,1,0,3,18089,17761,7432,330,0,1,132,199,TON/USD:USD,1,0
TRU_USD:USD,18389,0,0,0,0,18389,6638,6486,11726,22,0,10871,880,TRU/USD:USD,0,0
TRUMP_USD:USD,11783,0,17,1,18,11765,11641,1753,123,0,700,56,86,TRUMP/USD:USD,0,0
TRX_USD:USD,34413,6237,0,0,6237,28176,25619,20808,8793,0,0,6696,2098,TRX/USD:USD,9,0
TURBO_USD:USD,17232,0,0,0,0,17232,16319,12269,903,6,0,412,501,TURBO/USD:USD,0,0
UMA_USD:USD,20379,0,0,0,0,20379,9755,9603,10600,19,0,9113,1511,UMA/USD:USD,0,0
UNI_USD:USD,35135,6957,10,2,6967,28168,33591,11268,1534,0,10,819,725,UNI/USD:USD,10,0
USDC_USD:USD,28075,0,1337,1,1338,26737,2813,2707,23915,14,1354,24982,280,USDC/USD:USD,0,0
USDT_USD:USD,28075,0,0,1,1,28074,5216,5120,22849,11,0,22318,541,USDT/USD:USD,0,0
USUAL_USD:USD,11856,0,0,0,0,11856,5555,5496,6281,24,0,5488,813,USUAL/USD:USD,0,0
VINE_USD:USD,11633,0,0,0,0,11633,6139,5854,5481,7,0,4873,621,VINE/USD:USD,0,0
VIRTUAL_USD:USD,11729,5,0,0,5,11724,11379,8044,340,6,0,122,228,VIRTUAL/USD:USD,1,0
W_USD:USD,18623,0,0,0,0,18623,14552,12172,4044,16,0,2904,1167,W/USD:USD,0,0
WIF_USD:USD,20471,0,13,0,13,20458,20394,669,64,0,398,36,41,WIF/USD:USD,0,0
WLD_USD:USD,24623,0,4,0,4,24619,22748,6597,1871,0,4,1420,455,WLD/USD:USD,0,0
WLFI_USD:USD,6355,1,0,0,1,6354,5803,4874,545,1,0,243,309,WLFI/USD:USD,1,0
WOO_USD:USD,27479,6,0,2,7,27472,12430,12255,15032,17,0,13266,1783,WOO/USD:USD,4,0
XCN_USD:USD,11544,1,0,0,1,11543,4506,4461,7025,17,0,6391,647,XCN/USD:USD,1,0
XLM_USD:USD,34031,5855,22,2,5877,28154,27975,13385,6034,0,465,4717,1339,XLM/USD:USD,9,0
XMR_USD:USD,35136,6959,8,3,6967,28169,32448,11681,2680,0,8,1630,1058,XMR/USD:USD,10,0
XPL_USD:USD,5755,0,0,0,0,5755,2420,2366,3317,17,0,3039,296,XPL/USD:USD,0,0
XRP_USD:USD,35135,6957,13,2,6969,28166,34683,3312,439,0,398,235,217,XRP/USD:USD,10,0
XTZ_USD:USD,34031,5854,0,2,5854,28177,23961,22444,10056,11,0,7723,2347,XTZ/USD:USD,9,0
YFI_USD:USD,33859,5681,290,2,5971,27888,19901,18619,13658,5,719,11608,2350,YFI/USD:USD,8,0
YGG_USD:USD,18572,0,0,0,0,18572,8431,8321,10118,24,0,8804,1337,YGG/USD:USD,0,0
ZBT_USD:USD,4767,1239,720,0,1239,3528,882,878,3157,4,720,3751,134,ZBT/USD:USD,4,0
ZEC_USD:USD,32855,4678,7,2,4685,28170,23898,14637,8950,0,7,7763,1194,ZEC/USD:USD,7,0
ZIG_USD:USD,2922,0,0,0,0,2922,435,425,2482,6,0,2417,70,ZIG/USD:USD,0,0
ZK_USD:USD,15855,0,0,0,0,15855,12012,11622,3828,13,0,2633,1210,ZK/USD:USD,0,0
ZRO_USD:USD,16849,4,0,0,4,16845,13157,12147,3677,11,0,2545,1147,ZRO/USD:USD,1,0
ZRX_USD:USD,27308,0,0,6,6,27302,13770,13371,13535,5,0,11570,1968,ZRX/USD:USD,0,0
