symbol,price_rows,missing_oi,missing_volume,missing_funding,missing_any,valid_all,chart_positive_volume,actual_trades,confirmed_no_trades,unavailable_volume,linked_zero_carry,isolated_zero_chart,perp_symbol,oi_gap_ranges,volume_gap_ranges
SYRUP_USD:USD,8868,0,5876,0,5876,2992,2992,0,0,0,5440,436,SYRUP/USD:USD,0,1179
TLM_USD:USD,17230,0,13631,0,13631,3599,3599,0,0,0,13206,425,TLM/USD:USD,0,1514
TRUMP_USD:USD,11781,0,142,1,143,11638,11639,0,0,0,56,86,TRUMP/USD:USD,0,107
UNI_USD:USD,35133,6957,1544,2,7371,27762,33589,0,0,0,819,725,UNI/USD:USD,10,1016
VINE_USD:USD,11631,0,5492,0,5492,6139,6139,0,0,0,4871,621,VINE/USD:USD,0,1351
WLD_USD:USD,24621,0,1875,0,1875,22746,22746,0,0,0,1420,455,WLD/USD:USD,0,816
XLM_USD:USD,34029,5855,6056,2,8411,25618,27973,0,0,0,4717,1339,XLM/USD:USD,9,2521
XTZ_USD:USD,34029,5854,10070,2,12213,21816,23959,0,0,0,7723,2347,XTZ/USD:USD,9,4292
ZEC_USD:USD,32853,4678,8957,2,10442,22411,23896,0,0,0,7763,1194,ZEC/USD:USD,7,2758
ZRX_USD:USD,27306,0,13536,6,13538,13768,13770,0,0,0,11568,1968,ZRX/USD:USD,0,4331
