generated_boolean,group,source_feature,support,support_pct,usable_support,nan_rate_before,nan_rate_ts
loc_distance_to_ema_ts_bot50,location,distance_to_ema,226980,0.5,226980,0.0,0.0
loc_distance_to_ema_ts_top60,location,distance_to_ema,181584,0.4,181584,0.0,0.0
loc_distance_to_ema_ts_bot60,location,distance_to_ema,272376,0.6,181584,0.0,0.0
loc_distance_to_ema_ts_top70,location,distance_to_ema,136188,0.3,136188,0.0,0.0
loc_distance_to_ema_ts_bot70,location,distance_to_ema,317772,0.7,136188,0.0,0.0
loc_distance_to_ema_ts_top80,location,distance_to_ema,90792,0.2,90792,0.0,0.0
loc_distance_to_ema_ts_bot80,location,distance_to_ema,363168,0.8,90792,0.0,0.0
loc_distance_to_ema_ts_band20_80,location,distance_to_ema,272376,0.6,181584,0.0,0.0
loc_distance_to_ema_ts_band25_75,location,distance_to_ema,226980,0.5,226980,0.0,0.0
loc_distance_to_ema_ts_band30_70,location,distance_to_ema,181584,0.4,181584,0.0,0.0
loc_distance_to_ema_ts_band40_60,location,distance_to_ema,90792,0.2,90792,0.0,0.0
loc_pullback_depth_ts_top20,location,pullback_depth,363168,0.8,90792,0.0,0.0
loc_pullback_depth_ts_bot20,location,pullback_depth,90792,0.2,90792,0.0,0.0
loc_pullback_depth_ts_top30,location,pullback_depth,317772,0.7,136188,0.0,0.0
loc_pullback_depth_ts_bot30,location,pullback_depth,136188,0.3,136188,0.0,0.0
loc_pullback_depth_ts_top40,location,pullback_depth,272376,0.6,181584,0.0,0.0
loc_pullback_depth_ts_bot40,location,pullback_depth,181584,0.4,181584,0.0,0.0
loc_pullback_depth_ts_top50,location,pullback_depth,226980,0.5,226980,0.0,0.0
loc_pullback_depth_ts_bot50,location,pullback_depth,226980,0.5,226980,0.0,0.0
loc_pullback_depth_ts_top60,location,pullback_depth,181584,0.4,181584,0.0,0.0
loc_pullback_depth_ts_bot60,location,pullback_depth,272376,0.6,181584,0.0,0.0
loc_pullback_depth_ts_top70,location,pullback_depth,136188,0.3,136188,0.0,0.0
loc_pullback_depth_ts_bot70,location,pullback_depth,317772,0.7,136188,0.0,0.0
loc_pullback_depth_ts_top80,location,pullback_depth,90792,0.2,90792,0.0,0.0
loc_pullback_depth_ts_bot80,location,pullback_depth,363168,0.8,90792,0.0,0.0
loc_pullback_depth_ts_band20_80,location,pullback_depth,272376,0.6,181584,0.0,0.0
loc_pullback_depth_ts_band25_75,location,pullback_depth,226980,0.5,226980,0.0,0.0
loc_pullback_depth_ts_band30_70,location,pullback_depth,181584,0.4,181584,0.0,0.0
loc_pullback_depth_ts_band40_60,location,pullback_depth,90792,0.2,90792,0.0,0.0
loc_zscore_price_50_ts_top20,location,zscore_price_50,363168,0.8,90792,0.0,0.0
loc_zscore_price_50_ts_bot20,location,zscore_price_50,90792,0.2,90792,0.0,0.0
loc_zscore_price_50_ts_top30,location,zscore_price_50,317772,0.7,136188,0.0,0.0
loc_zscore_price_50_ts_bot30,location,zscore_price_50,136188,0.3,136188,0.0,0.0
loc_zscore_price_50_ts_top40,location,zscore_price_50,272376,0.6,181584,0.0,0.0
loc_zscore_price_50_ts_bot40,location,zscore_price_50,181584,0.4,181584,0.0,0.0
loc_zscore_price_50_ts_top50,location,zscore_price_50,226980,0.5,226980,0.0,0.0
loc_zscore_price_50_ts_bot50,location,zscore_price_50,226980,0.5,226980,0.0,0.0
