cell_key,bucket,config_id,rank,k_tp,sl_as_tp_pct,base_atr_window,tp_base_pct,tp_abs_lo_pct,sl_abs_lo_pct,mode,cell_auc,cell_auc_bound,cell_tp_sep,cell_ap_lift,cell_tp_over_sl,cell_sl_to_tp,cell_bind,cell_timeout,cell_brier,cell_ece,cell_monotonicity,cell_ic_std_time,cell_ic_std_asset,cell_ic_payoff,cell_ic_label,cell_barrier_ratio,cell_n
MR_short_H8,MR_short,CFG41C360B502,3,1.3,0.9,840,0.025,0.005,0.005,optuna_s2,0.5241,0.5279,0.01461,1.0731,1.1071,1.4532,0.3945,0.6054927844277883,0.2394,0.32088,0.4,0.03994,0.04162,0.00351,0.00957,0.9607,35756
TF_long_H2,TF_long,CFG549D36A0B2,1,1.5,0.8,840,0.019,0.005,0.005,optuna_s2,0.5479,0.5623,0.09503,1.1616,1.2396,1.2999,0.4472,0.5528112449799196,0.24793,0.30106,0.6,0.0227,0.03689,-0.0036,0.00797,0.9198,34860
TF_long_H2,TF_long,CFG50D3D3341D,2,0.8,0.7,840,0.039,0.005,0.005,optuna_s2,0.5589,0.5767,0.09855,1.192,1.4036,1.6026,0.4428,0.5571909762518045,0.23907,0.31114,0.6,0.02433,0.03622,-0.00523,0.00058,0.8113,35329
TF_long_H2,TF_long,CFG0F156310D7,3,1.3,0.9,504,0.022,0.005,0.005,optuna_s2,0.5459,0.5577,0.08987,1.1497,1.112,1.0752,0.4075,0.5924733054781801,0.24747,0.2983,0.6,0.02234,0.04016,-0.00797,0.0116,1.0197,34464
TF_long_H2,TF_long,CFG56F91C90F3,4,0.9,0.9,840,0.036,0.005,0.005,optuna_s2,0.5627,0.5722,0.09389,1.2183,1.1052,1.0214,0.3411,0.6589026327734907,0.24712,0.32595,0.6,0.02067,0.0384,-0.00106,0.02766,1.0068,35248
TF_long_H2,TF_long,CFG41C360B502,5,1.3,0.9,840,0.025,0.005,0.005,optuna_s2,0.5627,0.572,0.09243,1.2183,1.1058,1.023,0.3395,0.6604854258818192,0.24709,0.32679,0.4,0.02135,0.03521,-0.00095,0.0279,1.0065,35268
TF_long_H4,TF_long,CFG549D36A0B2,1,1.5,0.8,840,0.019,0.005,0.005,optuna_s2,0.5531,0.5661,0.08616,1.1546,1.2345,1.227,0.4723,0.5276937724014337,0.24795,0.28437,0.4,0.02389,0.05377,0.00614,0.02427,0.8881,35712
TF_long_H4,TF_long,CFG50D3D3341D,2,0.8,0.7,840,0.039,0.005,0.005,optuna_s2,0.5615,0.5775,0.09227,1.1809,1.3957,1.5065,0.4674,0.53259470650775,0.24328,0.30259,0.6,0.02486,0.04969,0.00344,0.0165,0.7814,35742
TF_long_H4,TF_long,CFG0F156310D7,3,1.3,0.9,504,0.022,0.005,0.005,optuna_s2,0.5529,0.5639,0.08296,1.1463,1.1146,1.0156,0.4352,0.5648078055345277,0.24703,0.27894,0.4,0.02439,0.04377,0.00562,0.0295,0.9883,35667
TF_long_H4,TF_long,CFG56F91C90F3,4,0.9,0.9,840,0.036,0.005,0.005,optuna_s2,0.5643,0.5736,0.09122,1.1874,1.105,0.9684,0.3666,0.6333976887993509,0.24709,0.3097,0.8,0.02554,0.04192,0.00187,0.03734,0.9788,35739
TF_long_H4,TF_long,CFG41C360B502,5,1.3,0.9,840,0.025,0.005,0.005,optuna_s2,0.5638,0.5729,0.09121,1.1869,1.1051,0.9673,0.3653,0.6347229994404029,0.24703,0.31012,0.6,0.02553,0.04153,0.00195,0.0376,0.9786,35740
TF_long_H4,TF_long,CFG854EA4BC23,6,1.3,0.8,840,0.025,0.005,0.005,optuna_s2,0.5653,0.5768,0.08941,1.1923,1.234,1.2003,0.4022,0.597801152576512,0.24732,0.31331,0.6,0.02545,0.04107,0.00404,0.03021,0.8786,35746
TF_long_H8,TF_long,CFG549D36A0B2,1,1.5,0.8,840,0.019,0.005,0.005,optuna_s2,0.5479,0.5595,0.07583,1.1334,1.2373,1.2538,0.501,0.4990490574481176,0.2474,0.27305,0.4,0.03462,0.0388,0.01332,0.0262,0.8663,35754
TF_long_H8,TF_long,CFG50D3D3341D,2,0.8,0.7,840,0.039,0.005,0.005,optuna_s2,0.5522,0.567,0.0825,1.148,1.4049,1.5462,0.5074,0.4925606891151135,0.24343,0.28945,0.75,0.03418,0.03838,0.00495,0.01704,0.7623,35756
TF_long_H8,TF_long,CFG0F156310D7,3,1.3,0.9,504,0.022,0.005,0.005,optuna_s2,0.5497,0.5595,0.08034,1.1345,1.1064,1.0338,0.4593,0.5406539311386457,0.2474,0.26985,0.6,0.03732,0.03856,0.01124,0.03227,0.9664,35753
TF_long_H8,TF_long,CFG56F91C90F3,4,0.9,0.9,840,0.036,0.005,0.005,optuna_s2,0.5573,0.566,0.08321,1.1631,1.1062,1.0056,0.399,0.6009620762948876,0.24767,0.29758,0.6,0.03308,0.03333,0.00933,0.03626,0.9609,35756
TF_long_H8,TF_long,CFG41C360B502,5,1.3,0.9,840,0.025,0.005,0.005,optuna_s2,0.5572,0.5657,0.08165,1.1627,1.106,1.0051,0.3977,0.6023045083342656,0.2477,0.2982,0.4,0.03291,0.03363,0.00964,0.03665,0.9607,35756
TF_short_H2,TF_short,CFG549D36A0B2,1,1.5,0.8,840,0.019,0.005,0.005,optuna_s2,0.5514,0.5625,0.06252,1.1873,1.1851,1.3458,0.3697,0.6303055221709153,0.23748,0.31997,0.6,0.02502,0.04972,-0.00622,0.00722,0.9121,31618
TF_short_H2,TF_short,CFG50D3D3341D,2,0.8,0.7,840,0.039,0.005,0.005,optuna_s2,0.5634,0.5755,0.06297,1.2224,1.3402,1.7107,0.3659,0.6340976446732179,0.22451,0.32208,0.6,0.02577,0.04726,-0.00111,0.00549,0.8046,32055
TF_short_H2,TF_short,CFG0F156310D7,3,1.3,0.9,504,0.022,0.005,0.005,optuna_s2,0.5562,0.5652,0.06914,1.1945,1.0597,1.104,0.3384,0.6615879896726484,0.23441,0.31204,0.6,0.02851,0.05011,-0.00376,0.02004,1.0127,31373
TF_short_H2,TF_short,CFG56F91C90F3,4,0.9,0.9,840,0.036,0.005,0.005,optuna_s2,0.5585,0.5646,0.07177,1.2447,1.0534,1.1122,0.272,0.7279719842411356,0.23548,0.34611,0.4,0.02661,0.052,-0.00331,0.02189,1.0005,31982
TF_short_H2,TF_short,CFG41C360B502,5,1.3,0.9,840,0.025,0.005,0.005,optuna_s2,0.5584,0.5645,0.07089,1.2427,1.0541,1.1118,0.2703,0.7297077668385685,0.23539,0.34683,0.4,0.02649,0.0528,-0.00368,0.02111,1.0002,31995
TF_short_H4,TF_short,CFG549D36A0B2,1,1.5,0.8,840,0.019,0.005,0.005,optuna_s2,0.5482,0.5564,0.06269,1.1751,1.1891,1.3389,0.3979,0.6020864841507454,0.23931,0.30926,0.6667,0.03755,0.04465,0.00566,0.01954,0.8837,32399
TF_short_H4,TF_short,CFG50D3D3341D,2,0.8,0.7,840,0.039,0.005,0.005,optuna_s2,0.5608,0.5719,0.0607,1.2191,1.3455,1.6833,0.393,0.6070007710100231,0.22692,0.31398,0.6,0.03552,0.04488,0.00432,0.01347,0.7778,32425
TF_short_H4,TF_short,CFG0F156310D7,3,1.3,0.9,504,0.022,0.005,0.005,optuna_s2,0.5485,0.5556,0.06156,1.1694,1.0643,1.0927,0.3666,0.6334464671397717,0.2394,0.30413,0.3333,0.03747,0.04572,0.00415,0.02455,0.9843,32410
TF_short_H4,TF_short,CFG56F91C90F3,4,0.9,0.9,840,0.036,0.005,0.005,optuna_s2,0.5569,0.5625,0.06162,1.2203,1.0556,1.1112,0.2962,0.7037813830115354,0.23696,0.33668,0.6,0.03403,0.04348,0.00437,0.02714,0.9754,32422
TF_short_H4,TF_short,CFG41C360B502,5,1.3,0.9,840,0.025,0.005,0.005,optuna_s2,0.5579,0.5638,0.06043,1.221,1.0558,1.1139,0.2948,0.7052491981248458,0.2369,0.33761,0.6,0.03377,0.04378,0.00454,0.0271,0.9752,32424
TF_short_H8,TF_short,CFG50D3D3341D,1,0.8,0.7,840,0.039,0.005,0.005,optuna_s2,0.5421,0.5504,0.05267,1.1191,1.3746,1.7255,0.4361,0.5639032815198618,0.2318,0.3067,0.6,0.04298,0.07183,-0.00101,0.01261,0.7607,32424
TF_short_H8,TF_short,CFG0F156310D7,2,1.3,0.9,504,0.022,0.005,0.005,optuna_s2,0.5292,0.532,0.03906,1.0827,1.0686,1.1421,0.4008,0.599161063475418,0.24678,0.30204,0.8,0.04169,0.07048,0.00307,0.02192,0.9644,32422
TF_short_H8,TF_short,CFG41C360B502,3,1.3,0.9,840,0.025,0.005,0.005,optuna_s2,0.5401,0.5437,0.05174,1.1296,1.0726,1.187,0.3447,0.6552553663952627,0.24439,0.32956,0.6,0.04776,0.06466,0.00517,0.02506,0.9593,32424
