feature_name,group,usage_count
reg_volume_zscore_48h_ts_bot60,regime,18
LOC_11_DeepPullbackToSlowEMA_Long,location,17
reg_price_lt_ema200_ts_band25_75,regime,17
LOC_135_Fib50Zone_Long,location,16
LOC_132_ShallowPullback_Short,location,16
LOC_12_DeepPullbackToSlowEMA_Short,location,16
reg_atr_change_rate_ts_bot80,regime,16
reg_ema50_gt_ema200_ts_bot60,regime,16
reg_compression_score_ts_bot50,regime,16
LOC_81_LowerHalfOfSessionRange,location,16
reg_return_autocorr_48_ts_bot50,regime,15
reg_price_lt_ema200_ts_band20_80,regime,15
reg_compression_score_ts_bot70,regime,15
reg_ema50_gt_ema200_ts_bot20,regime,14
reg_volume_autocorr_48_ts_bot80,regime,14
LOC_80_UpperHalfOfSessionRange,location,14
reg_trend_persistence_ts_top80,regime,14
LOC_03_BetweenFastMidEMA,location,14
reg_ema20_gt_ema50_ts_bot50,regime,13
reg_ema50_gt_ema200_ts_top50,regime,13
reg_return_autocorr_48_ts_bot20,regime,13
reg_trend_persistence_ts_bot20,regime,13
reg_ema20_gt_ema50_ts_top80,regime,12
reg_ema20_gt_ema50_ts_top50,regime,12
LOC_31_LoseVWAPZone_Short,location,12
LOC_111_BelowBBMid,location,12
LOC_44_NearRangeLow,location,12
LOC_09_TouchMidEMA_Long,location,11
reg_ema50_gt_ema200_ts_bot30,regime,11
reg_volatility_autocorr_48_ts_bot50,regime,11
reg_ema50_gt_ema200_ts_band25_75,regime,11
reg_trend_persistence_ts_bot50,regime,11
reg_ema20_gt_ema50_ts_bot60,regime,10
reg_compression_score_ts_bot20,regime,10
reg_bollinger_band_width_ts_bot70,regime,10
reg_trend_persistence_ts_bot80,regime,10
LOC_51_BelowPriorLow,location,10
LOC_119_BetweenBBMidAndLower,location,10
reg_ema20_gt_ema50_ts_bot40,regime,9
reg_volume_autocorr_48_ts_bot30,regime,9
reg_ema20_gt_ema50_ts_top40,regime,8
reg_ema50_gt_ema200_ts_top80,regime,8
LOC_118_BetweenBBMidAndUpper,location,7
LOC_54_NearPriorLow,location,7
LOC_152_BetweenPivotAndR1,location,7
reg_atr_change_rate_ts_bot30,regime,7
reg_volume_autocorr_48_ts_bot60,regime,6
LOC_55_AboveLastSwingHigh,location,6
reg_trend_persistence_ts_bot30,regime,6
reg_price_lt_ema200_ts_top30,regime,6
LOC_02_BelowEMA,location,6
LOC_25_VWAPMinus1Dev,location,6
reg_ema20_gt_ema50_ts_bot70,regime,5
LOC_53_NearPriorHigh,location,5
reg_trend_persistence_ts_bot40,regime,4
LOC_13_EMAValueZone_Long,location,4
reg_ema50_gt_ema200_ts_bot40,regime,4
LOC_29_BetweenVWAPAndMinus1Dev,location,3
reg_price_lt_ema200_ts_bot30,regime,3
reg_ema50_gt_ema200_ts_bot80,regime,2
reg_ema50_gt_ema200_ts_bot50,regime,2
LOC_131_DeepPullback_Long,location,2
LOC_151_AtPivotSupport,location,2
LOC_24_VWAPPlus1Dev,location,1
reg_price_lt_ema200_ts_bot50,regime,1
reg_volume_percentile_ts_band40_60,regime,1
