config_id,bucket,reason
CFG6CE62DC758,optuna_s2_refine_0,max_cell_tp_floor_bind_prod 66.3% > tp_floor_bind_max_cell 35.0%
CFG6CE62DC758,optuna_s2_refine_0,floor-dominance combined guardrail: min_cell_auc 0.4813 < required 0.5600 when TP floor-binding is high
CFGB2F898B70C,optuna_s2_refine_0,tp_hit_prod_agg 0.085 < tp_hit_min_agg 0.100
CFGB2F898B70C,optuna_s2_refine_0,sl_to_tp_prod_agg 5.00x > sl_to_tp_max 2.50x
CFGB2F898B70C,optuna_s2_refine_0,max_cell_sl_to_tp_prod 5.80x > sl_to_tp_max 2.50x
CFGB2F898B70C,optuna_s2_refine_0,min_cell_auc 0.4775 < auc_min 0.5400
CFGB2F898B70C,optuna_s2_refine_0,min_cell_auc_bound 0.4256 < auc_bound_min 0.5200
CFGB2F898B70C,optuna_s2_refine_0,min_cell_tp_sep -0.0018 < tp_sep_min 0.0400
CFGB2F898B70C,optuna_s2_refine_0,min_cell_ap_lift 0.988 < ap_lift_min 1.200
CFG6D8F4ECD70,optuna_s2_refine_0,tp_hit_prod_agg 0.083 < tp_hit_min_agg 0.100
CFG6D8F4ECD70,optuna_s2_refine_0,sl_to_tp_prod_agg 5.70x > sl_to_tp_max 2.50x
CFG6D8F4ECD70,optuna_s2_refine_0,max_cell_sl_to_tp_prod 6.52x > sl_to_tp_max 2.50x
CFG6D8F4ECD70,optuna_s2_refine_0,min_cell_auc 0.4758 < auc_min 0.5400
CFG6D8F4ECD70,optuna_s2_refine_0,min_cell_auc_bound 0.4195 < auc_bound_min 0.5200
CFG6D8F4ECD70,optuna_s2_refine_0,min_cell_tp_sep -0.0035 < tp_sep_min 0.0400
CFG6D8F4ECD70,optuna_s2_refine_0,min_cell_ap_lift 0.979 < ap_lift_min 1.200
CFGDBC2151978,optuna_stage1,tp_hit_prod_agg 0.070 < tp_hit_min_agg 0.100
CFGDBC2151978,optuna_stage1,sl_to_tp_prod_agg 7.29x > sl_to_tp_max 2.50x
CFGDBC2151978,optuna_stage1,max_cell_sl_to_tp_prod 8.28x > sl_to_tp_max 2.50x
CFGDBC2151978,optuna_stage1,min_cell_auc 0.4667 < auc_min 0.5400
CFGDBC2151978,optuna_stage1,min_cell_auc_bound 0.4020 < auc_bound_min 0.5200
CFGDBC2151978,optuna_stage1,min_cell_tp_sep -0.0102 < tp_sep_min 0.0400
CFGDBC2151978,optuna_stage1,min_cell_ap_lift 0.941 < ap_lift_min 1.200
CFG2005ACDBC7,optuna_stage1,tp_hit_prod_agg 0.058 < tp_hit_min_agg 0.100
CFG2005ACDBC7,optuna_stage1,sl_to_tp_prod_agg 9.64x > sl_to_tp_max 2.50x
CFG2005ACDBC7,optuna_stage1,max_cell_sl_to_tp_prod 10.54x > sl_to_tp_max 2.50x
CFG2005ACDBC7,optuna_stage1,min_cell_auc 0.4552 < auc_min 0.5400
CFG2005ACDBC7,optuna_stage1,min_cell_auc_bound 0.3902 < auc_bound_min 0.5200
CFG2005ACDBC7,optuna_stage1,min_cell_tp_sep -0.0127 < tp_sep_min 0.0400
CFG2005ACDBC7,optuna_stage1,min_cell_ap_lift 0.906 < ap_lift_min 1.200
CFG6581306DCA,optuna_stage1,bind_prod_agg 0.446 < bind_min 0.500
CFG6581306DCA,optuna_stage1,tp_hit_prod_agg 0.064 < tp_hit_min_agg 0.100
CFG6581306DCA,optuna_stage1,sl_to_tp_prod_agg 5.96x > sl_to_tp_max 2.50x
CFG6581306DCA,optuna_stage1,max_cell_sl_to_tp_prod 7.01x > sl_to_tp_max 2.50x
CFG6581306DCA,optuna_stage1,min_cell_auc 0.4855 < auc_min 0.5400
CFG6581306DCA,optuna_stage1,min_cell_auc_bound 0.4438 < auc_bound_min 0.5200
CFG6581306DCA,optuna_stage1,min_cell_tp_sep 0.0038 < tp_sep_min 0.0400
CFG6581306DCA,optuna_stage1,min_cell_ap_lift 1.014 < ap_lift_min 1.200
CFG7CD9BB2C68,optuna_stage1,bind_prod_agg 0.422 < bind_min 0.500
CFG7CD9BB2C68,optuna_stage1,tp_hit_prod_agg 0.076 < tp_hit_min_agg 0.100
CFG7CD9BB2C68,optuna_stage1,sl_to_tp_prod_agg 4.52x > sl_to_tp_max 2.50x
CFG7CD9BB2C68,optuna_stage1,max_cell_sl_to_tp_prod 5.62x > sl_to_tp_max 2.50x
CFG7CD9BB2C68,optuna_stage1,min_cell_auc 0.4735 < auc_min 0.5400
CFG7CD9BB2C68,optuna_stage1,min_cell_auc_bound 0.4247 < auc_bound_min 0.5200
CFG7CD9BB2C68,optuna_stage1,min_cell_tp_sep -0.0032 < tp_sep_min 0.0400
CFG7CD9BB2C68,optuna_stage1,min_cell_ap_lift 0.969 < ap_lift_min 1.200
CFG659E5347F8,optuna_stage1,bind_prod_agg 0.487 < bind_min 0.500
CFG659E5347F8,optuna_stage1,tp_hit_prod_agg 0.075 < tp_hit_min_agg 0.100
CFG659E5347F8,optuna_stage1,sl_to_tp_prod_agg 5.45x > sl_to_tp_max 2.50x
CFG659E5347F8,optuna_stage1,max_cell_sl_to_tp_prod 6.53x > sl_to_tp_max 2.50x
CFG659E5347F8,optuna_stage1,min_cell_auc 0.4691 < auc_min 0.5400
CFG659E5347F8,optuna_stage1,min_cell_auc_bound 0.4122 < auc_bound_min 0.5200
CFG659E5347F8,optuna_stage1,min_cell_tp_sep -0.0070 < tp_sep_min 0.0400
CFG659E5347F8,optuna_stage1,min_cell_ap_lift 0.952 < ap_lift_min 1.200
CFGCBE37D7CFE,optuna_stage1,min_cell_bind_prod 0.373 < bind_cell_min 0.380
CFGCBE37D7CFE,optuna_stage1,sl_to_tp_prod_agg 4.03x > sl_to_tp_max 2.50x
CFGCBE37D7CFE,optuna_stage1,max_cell_sl_to_tp_prod 4.52x > sl_to_tp_max 2.50x
CFGCBE37D7CFE,optuna_stage1,min_cell_auc 0.4487 < auc_min 0.5400
CFGCBE37D7CFE,optuna_stage1,min_cell_auc_bound 0.4411 < auc_bound_min 0.5200
CFGCBE37D7CFE,optuna_stage1,min_cell_tp_sep -0.0027 < tp_sep_min 0.0400
CFGCBE37D7CFE,optuna_stage1,min_cell_ap_lift 0.939 < ap_lift_min 1.200
CFGCBE37D7CFE,optuna_stage1,tp_floor_bind_prod_agg 38.4% > tp_floor_bind_max_agg 20.0%
CFGCBE37D7CFE,optuna_stage1,max_cell_tp_floor_bind_prod 71.0% > tp_floor_bind_max_cell 35.0%
CFGCBE37D7CFE,optuna_stage1,floor-dominance combined guardrail: min_cell_auc 0.4487 < required 0.5600 when TP floor-binding is high
CFG080414BD3C,optuna_stage1,min_cell_bind_prod 0.250 < bind_cell_min 0.380
CFG080414BD3C,optuna_stage1,bind_prod_agg 0.305 < bind_min 0.500
CFG080414BD3C,optuna_stage1,tp_hit_prod_agg 0.041 < tp_hit_min_agg 0.100
CFG080414BD3C,optuna_stage1,timeout_prod_agg 0.695 > timeout_max 0.600
CFG080414BD3C,optuna_stage1,sl_to_tp_prod_agg 6.51x > sl_to_tp_max 2.50x
CFG080414BD3C,optuna_stage1,max_cell_sl_to_tp_prod 13.90x > sl_to_tp_max 2.50x
CFG080414BD3C,optuna_stage1,min_cell_auc 0.5290 < auc_min 0.5400
CFG080414BD3C,optuna_stage1,min_cell_auc_bound 0.4947 < auc_bound_min 0.5200
CFG080414BD3C,optuna_stage1,min_cell_tp_sep 0.0108 < tp_sep_min 0.0400
CFG080414BD3C,optuna_stage1,min_cell_ap_lift 1.194 < ap_lift_min 1.200
CFG90A3E2DD0C,optuna_stage1,min_cell_bind_prod 0.347 < bind_cell_min 0.380
CFG90A3E2DD0C,optuna_stage1,bind_prod_agg 0.379 < bind_min 0.500
CFG90A3E2DD0C,optuna_stage1,tp_hit_prod_agg 0.080 < tp_hit_min_agg 0.100
CFG90A3E2DD0C,optuna_stage1,timeout_prod_agg 0.621 > timeout_max 0.600
CFG90A3E2DD0C,optuna_stage1,sl_to_tp_prod_agg 3.76x > sl_to_tp_max 2.50x
CFG90A3E2DD0C,optuna_stage1,max_cell_sl_to_tp_prod 5.10x > sl_to_tp_max 2.50x
CFG90A3E2DD0C,optuna_stage1,min_cell_auc 0.4810 < auc_min 0.5400
CFG90A3E2DD0C,optuna_stage1,min_cell_auc_bound 0.4361 < auc_bound_min 0.5200
CFG90A3E2DD0C,optuna_stage1,min_cell_tp_sep 0.0056 < tp_sep_min 0.0400
CFG90A3E2DD0C,optuna_stage1,min_cell_ap_lift 1.014 < ap_lift_min 1.200
CFG3836150E4C,optuna_stage1,min_cell_bind_prod 0.338 < bind_cell_min 0.380
