cell_key,bucket,config_id,rank,k_tp,sl_as_tp_pct,base_atr_window,tp_base_pct,tp_abs_lo_pct,sl_abs_lo_pct,mode,cell_auc,cell_auc_bound,cell_tp_sep,cell_timeout,cell_bind,cell_ap_lift,cell_tp_over_sl,cell_brier,cell_ece,cell_monotonicity,cell_ic_std_time,cell_ic_std_asset,cell_ic_payoff,cell_ic_label,cell_n
MR_short_H4,MR_short,CFGDAFE1D7391,3,1.25,0.4,504,0.01,0.005,0.005,atr_norm,0.6268,0.5452,0.13659,0.3595867877352283,0.6404,1.3475,1.8473,0.29727,0.34555,0.5556,0.04313,0.03999,0.01583,-0.00603,15198
MR_short_H4,MR_short,CFG93489E34E5,4,1.25,0.6,672,0.01,0.005,0.005,atr_norm,0.6404,0.5384,0.13708,0.4019062240133051,0.5981,1.3966,1.7584,0.29776,0.35477,0.4444,0.06337,0.04484,0.04583,-0.01994,15633
MR_short_H4,MR_short,CFG0D6C75B2B4,5,1.25,0.6,504,0.01,0.005,0.005,atr_norm,0.6224,0.5316,0.13264,0.3727464140018423,0.6273,1.3326,1.7875,0.29863,0.34591,0.4444,0.05526,0.03153,0.03671,-0.02407,15198
MR_short_H4,MR_short,CFG7EF13BA4CE,6,1.0,0.4,672,0.015,0.005,0.005,atr_norm,0.6235,0.5465,0.14051,0.4057546210444457,0.5942,1.3757,2.0023,0.2968,0.37572,0.4444,0.05023,0.03429,0.02224,-0.02379,16717
MR_short_H4,MR_short,CFGF4E8AE33FD,7,1.5,0.6,840,0.01,0.005,0.005,atr_norm,0.6245,0.5269,0.12985,0.4425080848005749,0.5575,1.3838,1.8678,0.29828,0.38106,0.4444,0.06611,0.03406,0.04178,-0.05366,16698
MR_short_H4,MR_short,CFGFCA5A7D46B,8,1.25,0.6,840,0.012,0.005,0.005,atr_norm,0.6245,0.5269,0.12985,0.4425080848005749,0.5575,1.3838,1.8678,0.29828,0.38106,0.4444,0.06611,0.03406,0.04178,-0.05366,16698
MR_short_H4,MR_short,CFGB51D9CCD22,9,1.0,0.6,672,0.015,0.005,0.005,atr_norm,0.6177,0.5285,0.12802,0.4253155470479153,0.5747,1.3535,1.9023,0.29847,0.37627,0.4444,0.06096,0.0337,0.0418,-0.04649,16717
MR_short_H4,MR_short,CFG3CF777EA44,10,1.5,0.6,672,0.01,0.005,0.005,atr_norm,0.6177,0.5285,0.12802,0.4253155470479153,0.5747,1.3535,1.9023,0.29847,0.37627,0.4444,0.06096,0.0337,0.0418,-0.04649,16717
MR_short_H8,MR_short,CFG4E5636E0BA,1,1.25,0.6,840,0.01,0.005,0.005,atr_norm,0.6174,0.5328,0.1391,0.2875741910779246,0.7124,1.3073,1.7029,0.28771,0.29693,0.5556,0.06696,0.03771,0.07467,-0.00864,15669
MR_short_H8,MR_short,CFG6F52B9041F,2,1.25,0.4,672,0.01,0.005,0.005,atr_norm,0.6208,0.5481,0.12291,0.2602187679907887,0.7398,1.3005,1.7631,0.28665,0.29369,0.3333,0.0611,0.04049,0.04441,0.01597,15633
