2025-08-11 23:47:23,394 - INFO - Stage=EngineerFeatures | NaN_total=8971 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459, 'hammer_present': 1459} | Inf_cols={}
2025-08-11 23:47:23,506 - INFO - Stage=EngineerFeatures | NaN_total=10430 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459, 'hammer_present': 1459, 'hanging_man_count': 1459} | Inf_cols={}
2025-08-11 23:47:23,608 - INFO - Stage=EngineerFeatures | NaN_total=11889 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459, 'hammer_present': 1459, 'hanging_man_count': 1459, 'hanging_man_present': 1459} | Inf_cols={}
2025-08-11 23:47:23,728 - INFO - Stage=EngineerFeatures | NaN_total=13348 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459, 'hammer_present': 1459, 'hanging_man_count': 1459, 'hanging_man_present': 1459, 'shooting_star_count': 1459} | Inf_cols={}
2025-08-11 23:47:23,847 - INFO - Stage=EngineerFeatures | NaN_total=14807 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459, 'hammer_present': 1459, 'hanging_man_count': 1459, 'hanging_man_present': 1459, 'shooting_star_count': 1459, 'shooting_star_present': 1459} | Inf_cols={}
2025-08-11 23:47:23,970 - INFO - Stage=EngineerFeatures | NaN_total=16266 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459, 'hammer_present': 1459, 'hanging_man_count': 1459, 'hanging_man_present': 1459, 'shooting_star_count': 1459, 'shooting_star_present': 1459, 'inverted_hammer_count': 1459} | Inf_cols={}
2025-08-11 23:47:24,098 - INFO - Stage=EngineerFeatures | NaN_total=17725 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459, 'hammer_present': 1459, 'hanging_man_count': 1459, 'hanging_man_present': 1459, 'shooting_star_count': 1459, 'shooting_star_present': 1459, 'inverted_hammer_count': 1459, 'inverted_hammer_present': 1459} | Inf_cols={}
2025-08-11 23:47:24,225 - INFO - Stage=EngineerFeatures | NaN_total=19184 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459, 'hammer_present': 1459, 'hanging_man_count': 1459, 'hanging_man_present': 1459, 'shooting_star_count': 1459, 'shooting_star_present': 1459, 'inverted_hammer_count': 1459, 'inverted_hammer_present': 1459, 'tweezer_top_count': 1459} | Inf_cols={}
2025-08-11 23:47:24,345 - INFO - Stage=EngineerFeatures | NaN_total=20643 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459, 'hammer_present': 1459, 'hanging_man_count': 1459, 'hanging_man_present': 1459, 'shooting_star_count': 1459, 'shooting_star_present': 1459, 'inverted_hammer_count': 1459, 'inverted_hammer_present': 1459, 'tweezer_top_count': 1459, 'tweezer_top_present': 1459} | Inf_cols={}
2025-08-11 23:47:24,475 - INFO - Stage=EngineerFeatures | NaN_total=22102 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459, 'hammer_present': 1459, 'hanging_man_count': 1459, 'hanging_man_present': 1459, 'shooting_star_count': 1459, 'shooting_star_present': 1459, 'inverted_hammer_count': 1459, 'inverted_hammer_present': 1459, 'tweezer_top_count': 1459, 'tweezer_top_present': 1459, 'tweezer_bottom_count': 1459} | Inf_cols={}
