canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(*)|(atr_compression_ratio>0.28473812&perp_index_basis_z<=0.019138558&range_expansion_ratio>0.39290431),3,3,regime,mark_index|volatility_term_structure,,mark_index|volatility_term_structure
(*)|(*)|(atr_compression_ratio>0.28473812&perp_index_basis_z>0.019138558&range_expansion_ratio>0.39290431),3,3,regime,mark_index|volatility_term_structure,,mark_index|volatility_term_structure
(*)|(zscore_price_200>-1.7991426)|(mkt_ret_eq_24h<=-0.56011117&rv_24h<=0.024177268),3,3,location|regime,cross_asset|volatility,context,context|cross_asset|volatility
(*)|(zscore_price_200>-1.7991426)|(mkt_ret_eq_24h<=-0.56011117&rv_24h>0.024177268),3,3,location|regime,cross_asset|volatility,context,context|cross_asset|volatility
(*)|(zscore_price_200<=-0.93021357&zscore_price_200>-1.7991426)|(mkt_ret_eq_24h>-0.56011117&prior_volatility<=-0.57397616),4,4,location|regime,context|cross_asset,context,context|cross_asset
(*)|(zscore_price_200<=-0.93021357&zscore_price_200>-1.7991426)|(mkt_ret_eq_24h>-0.56011117&prior_volatility>-0.57397616),4,4,location|regime,context|cross_asset,context,context|cross_asset
(*)|(zscore_price_200>-0.93021357)|(mkt_ret_eq_24h>-0.56011117&return_autocorr_48<=0.30198586&xasset_mkt_depth_z<=-0.60414279),4,4,location|regime,cross_asset|cross_asset_orderbook|momentum,context,context|cross_asset|cross_asset_orderbook|momentum
(*)|(zscore_price_200>-0.93021357)|(mkt_ret_eq_24h>-0.56011117&return_autocorr_48<=0.30198586&xasset_mkt_depth_z<=-0.20690835&xasset_mkt_depth_z>-0.60414279),5,5,location|regime,cross_asset|cross_asset_orderbook|momentum,context,context|cross_asset|cross_asset_orderbook|momentum
(*)|(zscore_price_200>-0.93021357)|(mkt_ret_eq_24h>-0.56011117&return_autocorr_48<=0.30198586&volume_autocorr_48<=-0.36826858&xasset_mkt_depth_z>-0.20690835),5,5,location|regime,cross_asset|cross_asset_orderbook|liquidity|momentum,context,context|cross_asset|cross_asset_orderbook|liquidity|momentum
(*)|(zscore_price_200>-0.93021357)|(mkt_ret_eq_24h>-0.56011117&return_autocorr_48<=0.30198586&volume_autocorr_48>-0.36826858&xasset_mkt_depth_z>-0.20690835),5,5,location|regime,cross_asset|cross_asset_orderbook|liquidity|momentum,context,context|cross_asset|cross_asset_orderbook|liquidity|momentum
