family,params,kappa,sl_mult,status,n,score
MR_VWAP,{'lookback': 30},2.0,2.0,Sample Size (< 3/day),13,0
MR_VWAP,{'lookback': 30},3.0,1.0,Sample Size (< 3/day),13,0
MR_VWAP,{'lookback': 30},4.0,1.0,Sample Size (< 3/day),13,0
KALMAN,"{'q_fast': 0.03333333333333333, 'q_slow': 0.006666666666666667}",1.5,1.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.03333333333333333, 'q_slow': 0.006666666666666667}",1.5,2.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.03333333333333333, 'q_slow': 0.006666666666666667}",2.0,1.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.03333333333333333, 'q_slow': 0.006666666666666667}",2.0,2.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.03333333333333333, 'q_slow': 0.006666666666666667}",3.0,1.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.03333333333333333, 'q_slow': 0.006666666666666667}",4.0,1.0,Class Balance (< 7.5% minority),0,0
LIQUIDITY,{'window': 40},1.5,1.0,PASS,38,0
LIQUIDITY,{'window': 40},1.5,2.0,Class Balance (< 7.5% minority),0,0
LIQUIDITY,{'window': 40},2.0,1.0,PASS,38,0
LIQUIDITY,{'window': 40},2.0,2.0,Class Balance (< 7.5% minority),0,0
LIQUIDITY,{'window': 40},3.0,1.0,PASS,38,0
LIQUIDITY,{'window': 40},4.0,1.0,PASS,38,0
BREAKOUT,"{'lookback': 40, 'anchor_window': 160}",1.5,1.0,PASS,177,0
BREAKOUT,"{'lookback': 40, 'anchor_window': 160}",1.5,2.0,Class Balance (< 7.5% minority),0,0
BREAKOUT,"{'lookback': 40, 'anchor_window': 160}",2.0,1.0,PASS,177,0
BREAKOUT,"{'lookback': 40, 'anchor_window': 160}",2.0,2.0,Class Balance (< 7.5% minority),0,0
BREAKOUT,"{'lookback': 40, 'anchor_window': 160}",3.0,1.0,PASS,177,0
BREAKOUT,"{'lookback': 40, 'anchor_window': 160}",4.0,1.0,PASS,177,0
VOL_SHOCK,"{'lookback': 20, 'long_window': 40}",1.5,1.0,Class Balance (< 7.5% minority),0,0
VOL_SHOCK,"{'lookback': 20, 'long_window': 40}",1.5,2.0,Class Balance (< 7.5% minority),0,0
VOL_SHOCK,"{'lookback': 20, 'long_window': 40}",2.0,1.0,Class Balance (< 7.5% minority),0,0
VOL_SHOCK,"{'lookback': 20, 'long_window': 40}",2.0,2.0,Class Balance (< 7.5% minority),0,0
VOL_SHOCK,"{'lookback': 20, 'long_window': 40}",3.0,1.0,Class Balance (< 7.5% minority),0,0
VOL_SHOCK,"{'lookback': 20, 'long_window': 40}",4.0,1.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.025, 'q_slow': 0.005}",1.5,1.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.025, 'q_slow': 0.005}",1.5,2.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.025, 'q_slow': 0.005}",2.0,1.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.025, 'q_slow': 0.005}",2.0,2.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.025, 'q_slow': 0.005}",3.0,1.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.025, 'q_slow': 0.005}",4.0,1.0,Class Balance (< 7.5% minority),0,0
LIQUIDITY,{'window': 50},1.5,1.0,PASS,34,0
LIQUIDITY,{'window': 50},1.5,2.0,Class Balance (< 7.5% minority),0,0
LIQUIDITY,{'window': 50},2.0,1.0,PASS,34,0
LIQUIDITY,{'window': 50},2.0,2.0,Class Balance (< 7.5% minority),0,0
LIQUIDITY,{'window': 50},3.0,1.0,PASS,34,0
LIQUIDITY,{'window': 50},4.0,1.0,PASS,34,0
BREAKOUT,"{'lookback': 50, 'anchor_window': 200}",1.5,1.0,PASS,168,0
BREAKOUT,"{'lookback': 50, 'anchor_window': 200}",1.5,2.0,Class Balance (< 7.5% minority),0,0
BREAKOUT,"{'lookback': 50, 'anchor_window': 200}",2.0,1.0,PASS,168,0
BREAKOUT,"{'lookback': 50, 'anchor_window': 200}",2.0,2.0,Class Balance (< 7.5% minority),0,0
BREAKOUT,"{'lookback': 50, 'anchor_window': 200}",3.0,1.0,PASS,168,0
BREAKOUT,"{'lookback': 50, 'anchor_window': 200}",4.0,1.0,PASS,168,0
VOL_SHOCK,"{'lookback': 25, 'long_window': 50}",1.5,1.0,Class Balance (< 7.5% minority),0,0
VOL_SHOCK,"{'lookback': 25, 'long_window': 50}",1.5,2.0,Class Balance (< 7.5% minority),0,0
VOL_SHOCK,"{'lookback': 25, 'long_window': 50}",2.0,1.0,Class Balance (< 7.5% minority),0,0
VOL_SHOCK,"{'lookback': 25, 'long_window': 50}",2.0,2.0,Class Balance (< 7.5% minority),0,0
VOL_SHOCK,"{'lookback': 25, 'long_window': 50}",3.0,1.0,Class Balance (< 7.5% minority),0,0
VOL_SHOCK,"{'lookback': 25, 'long_window': 50}",4.0,1.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.02, 'q_slow': 0.004}",1.5,1.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.02, 'q_slow': 0.004}",1.5,2.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.02, 'q_slow': 0.004}",2.0,1.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.02, 'q_slow': 0.004}",2.0,2.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.02, 'q_slow': 0.004}",3.0,1.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.02, 'q_slow': 0.004}",4.0,1.0,Class Balance (< 7.5% minority),0,0
