family,params,pt_mult,sl_mult,horizon,risk_budget,status,n,signals_per_day,target_signals_per_day,adaptive_used
ENTROPY,{'window': 24},1.5,1.0,12,1.0,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},1.5,1.0,24,0.4,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},1.5,1.0,24,0.7,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},1.5,1.0,24,1.0,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},1.5,1.0,48,0.4,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},1.5,1.0,48,0.7,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},1.5,1.0,48,1.0,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},2.0,1.0,12,0.4,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},2.0,1.0,12,0.7,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},2.0,1.0,12,1.0,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},2.0,1.0,24,0.4,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},2.0,1.0,24,0.7,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},2.0,1.0,24,1.0,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},2.0,1.0,48,0.4,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},2.0,1.0,48,0.7,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},2.0,1.0,48,1.0,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},2.5,1.0,12,0.4,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},2.5,1.0,12,0.7,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},2.5,1.0,12,1.0,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},2.5,1.0,24,0.4,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},2.5,1.0,24,0.7,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},2.5,1.0,24,1.0,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},2.5,1.0,48,0.4,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},2.5,1.0,48,0.7,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},2.5,1.0,48,1.0,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},3.0,1.0,12,0.4,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},3.0,1.0,12,0.7,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},3.0,1.0,12,1.0,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},3.0,1.0,24,0.4,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},3.0,1.0,24,0.7,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},3.0,1.0,24,1.0,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},3.0,1.0,48,0.4,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},3.0,1.0,48,0.7,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},3.0,1.0,48,1.0,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},3.5,1.0,12,0.4,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},3.5,1.0,12,0.7,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},3.5,1.0,12,1.0,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},3.5,1.0,24,0.4,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},3.5,1.0,24,0.7,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},3.5,1.0,24,1.0,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},3.5,1.0,48,0.4,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},3.5,1.0,48,0.7,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},3.5,1.0,48,1.0,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},4.0,1.0,12,0.4,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},4.0,1.0,12,0.7,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},4.0,1.0,12,1.0,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},4.0,1.0,24,0.4,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},4.0,1.0,24,0.7,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},4.0,1.0,24,1.0,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},4.0,1.0,48,0.4,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},4.0,1.0,48,0.7,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},4.0,1.0,48,1.0,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 48},1.5,1.0,12,0.4,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},1.5,1.0,12,0.7,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},1.5,1.0,12,1.0,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},1.5,1.0,24,0.4,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},1.5,1.0,24,0.7,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},1.5,1.0,24,1.0,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},1.5,1.0,48,0.4,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},1.5,1.0,48,0.7,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},1.5,1.0,48,1.0,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},2.0,1.0,12,0.4,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},2.0,1.0,12,0.7,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},2.0,1.0,12,1.0,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},2.0,1.0,24,0.4,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},2.0,1.0,24,0.7,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},2.0,1.0,24,1.0,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},2.0,1.0,48,0.4,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},2.0,1.0,48,0.7,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},2.0,1.0,48,1.0,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},2.5,1.0,12,0.4,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},2.5,1.0,12,0.7,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},2.5,1.0,12,1.0,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},2.5,1.0,24,0.4,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},2.5,1.0,24,0.7,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},2.5,1.0,24,1.0,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},2.5,1.0,48,0.4,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},2.5,1.0,48,0.7,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},2.5,1.0,48,1.0,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},3.0,1.0,12,0.4,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},3.0,1.0,12,0.7,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},3.0,1.0,12,1.0,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},3.0,1.0,24,0.4,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},3.0,1.0,24,0.7,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},3.0,1.0,24,1.0,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},3.0,1.0,48,0.4,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},3.0,1.0,48,0.7,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},3.0,1.0,48,1.0,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},3.5,1.0,12,0.4,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},3.5,1.0,12,0.7,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},3.5,1.0,12,1.0,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},3.5,1.0,24,0.4,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},3.5,1.0,24,0.7,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},3.5,1.0,24,1.0,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},3.5,1.0,48,0.4,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},3.5,1.0,48,0.7,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},3.5,1.0,48,1.0,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},4.0,1.0,12,0.4,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},4.0,1.0,12,0.7,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},4.0,1.0,12,1.0,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},4.0,1.0,24,0.4,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},4.0,1.0,24,0.7,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},4.0,1.0,24,1.0,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},4.0,1.0,48,0.4,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},4.0,1.0,48,0.7,Sample Size (< 0.5/day),77,0.25,7.5,True
ENTROPY,{'window': 48},4.0,1.0,48,1.0,Sample Size (< 0.5/day),77,0.25,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",1.5,1.0,12,0.4,Mutual Info,3719,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",1.5,1.0,12,0.7,PASS,3719,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",1.5,1.0,12,1.0,PASS,3719,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",1.5,1.0,24,0.4,Mutual Info,3718,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",1.5,1.0,24,0.7,Mutual Info,3718,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",1.5,1.0,24,1.0,PASS,3718,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",1.5,1.0,48,0.4,PASS,3715,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",1.5,1.0,48,0.7,PASS,3715,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",1.5,1.0,48,1.0,PASS,3715,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",2.0,1.0,12,0.4,Mutual Info,3719,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",2.0,1.0,12,0.7,ANOVA,3719,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",2.0,1.0,12,1.0,PASS,3719,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",2.0,1.0,24,0.4,Mutual Info,3718,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",2.0,1.0,24,0.7,Mutual Info,3718,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",2.0,1.0,24,1.0,PASS,3718,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",2.0,1.0,48,0.4,PASS,3715,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",2.0,1.0,48,0.7,PASS,3715,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",2.0,1.0,48,1.0,PASS,3715,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",2.5,1.0,12,0.4,Mutual Info,3719,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",2.5,1.0,12,0.7,ANOVA,3719,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",2.5,1.0,12,1.0,ANOVA,3719,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",2.5,1.0,24,0.4,Mutual Info,3718,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",2.5,1.0,24,0.7,Mutual Info,3718,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",2.5,1.0,24,1.0,PASS,3718,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",2.5,1.0,48,0.4,PASS,3715,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",2.5,1.0,48,0.7,PASS,3715,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",2.5,1.0,48,1.0,PASS,3715,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",3.0,1.0,12,0.4,Mutual Info,3719,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",3.0,1.0,12,0.7,ANOVA,3719,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",3.0,1.0,12,1.0,ANOVA,3719,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",3.0,1.0,24,0.4,Mutual Info,3718,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",3.0,1.0,24,0.7,PASS,3718,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",3.0,1.0,24,1.0,PASS,3718,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",3.0,1.0,48,0.4,PASS,3715,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",3.0,1.0,48,0.7,PASS,3715,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",3.0,1.0,48,1.0,PASS,3715,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",3.5,1.0,12,0.4,Mutual Info,3719,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",3.5,1.0,12,0.7,ANOVA,3719,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",3.5,1.0,12,1.0,ANOVA,3719,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",3.5,1.0,24,0.4,Mutual Info,3718,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",3.5,1.0,24,0.7,ANOVA,3718,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",3.5,1.0,24,1.0,ANOVA,3718,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",3.5,1.0,48,0.4,PASS,3715,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",3.5,1.0,48,0.7,PASS,3715,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",3.5,1.0,48,1.0,PASS,3715,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",4.0,1.0,12,0.4,Mutual Info,3719,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",4.0,1.0,12,0.7,ANOVA,3719,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",4.0,1.0,12,1.0,ANOVA,3719,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",4.0,1.0,24,0.4,Mutual Info,3718,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",4.0,1.0,24,0.7,ANOVA,3718,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",4.0,1.0,24,1.0,ANOVA,3718,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",4.0,1.0,48,0.4,PASS,3715,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",4.0,1.0,48,0.7,PASS,3715,11.31,7.5,True
BREAKOUT,"{'lookback': 12, 'anchor_window': 24}",4.0,1.0,48,1.0,PASS,3715,11.31,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",1.5,1.0,12,0.4,ANOVA,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",1.5,1.0,12,0.7,Mutual Info,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",1.5,1.0,12,1.0,Mutual Info,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",1.5,1.0,24,0.4,PASS,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",1.5,1.0,24,0.7,ANOVA,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",1.5,1.0,24,1.0,Mutual Info,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",1.5,1.0,48,0.4,Class Balance,2588,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",1.5,1.0,48,0.7,Mutual Info,2588,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",1.5,1.0,48,1.0,PASS,2588,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",2.0,1.0,12,0.4,PASS,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",2.0,1.0,12,0.7,Mutual Info,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",2.0,1.0,12,1.0,Mutual Info,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",2.0,1.0,24,0.4,PASS,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",2.0,1.0,24,0.7,ANOVA,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",2.0,1.0,24,1.0,Mutual Info,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",2.0,1.0,48,0.4,Class Balance,2588,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",2.0,1.0,48,0.7,Mutual Info,2588,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",2.0,1.0,48,1.0,PASS,2588,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",2.5,1.0,12,0.4,PASS,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",2.5,1.0,12,0.7,Mutual Info,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",2.5,1.0,12,1.0,Mutual Info,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",2.5,1.0,24,0.4,ANOVA,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",2.5,1.0,24,0.7,ANOVA,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",2.5,1.0,24,1.0,Mutual Info,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",2.5,1.0,48,0.4,Class Balance,2588,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",2.5,1.0,48,0.7,Mutual Info,2588,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",2.5,1.0,48,1.0,PASS,2588,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",3.0,1.0,12,0.4,PASS,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",3.0,1.0,12,0.7,ANOVA,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",3.0,1.0,12,1.0,Mutual Info,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",3.0,1.0,24,0.4,ANOVA,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",3.0,1.0,24,0.7,ANOVA,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",3.0,1.0,24,1.0,Mutual Info,2589,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",3.0,1.0,48,0.4,Class Balance,2588,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",3.0,1.0,48,0.7,Mutual Info,2588,7.87,7.5,True
BREAKOUT,"{'lookback': 24, 'anchor_window': 48}",3.0,1.0,48,1.0,PASS,2588,7.87,7.5,True
