feature,p_value,category
trend_efficiency_ratio_w150,0.003581502232719358,strong_rejection
ease_of_movement_w100,0.004256050112144916,strong_rejection
close_location_value,0.0047733701910444015,strong_rejection
ease_of_movement_w10,0.005253273300928507,strong_rejection
left_tail_var_ratio_w100,0.005316575812166491,strong_rejection
ehlers_fisher_transform_w150,0.005510637992380607,strong_rejection
climax_volume_flag_w50,0.005901595089853773,strong_rejection
left_tail_var_ratio_w20,0.008449582160794833,strong_rejection
price_impact_w50,0.009557521259739743,strong_rejection
climax_volume_flag_w20,0.012377605171432493,moderate_rejection
cmf_w200,0.012459503955935425,moderate_rejection
cusum_rev_neg,0.012599433249820713,moderate_rejection
price_vol_correlation_w150,0.014453319063338355,moderate_rejection
tail_event_flag_w10,0.0167688932578689,moderate_rejection
volume_weighted_rsi_w150,0.018241579378734607,moderate_rejection
vol_ratio_w200_vs_w800,0.01987129110143604,moderate_rejection
false_break_rate_w50,0.02138833229782866,moderate_rejection
momentum_decay_w200,0.024961157465276607,moderate_rejection
trend_alignment_score_w20,0.02954855700899195,moderate_rejection
climax_volume_flag_w10,0.030491134735583625,moderate_rejection
absorption_x_vol_spike_w50,0.03429664185926151,moderate_rejection
absorption_x_vol_spike_w20,0.03522085403110564,moderate_rejection
bars_since_vol_spike_w150,0.042219326832184434,moderate_rejection
shadow_asymmetry_w10,0.04628356146238122,moderate_rejection
rolling_kurtosis_w20,0.049664653657583324,moderate_rejection
trend_slope_stability_w10,0.058819034176674,weak_rejection
momentum_decay_w150,0.06561266852039593,weak_rejection
sma_ratio_w100_vs_w400,0.07223979719054463,weak_rejection
cmf_w20,0.08293696674022599,weak_rejection
rolling_kurtosis_w50,0.08347797530374612,weak_rejection
price_impact_w200,0.105429601539901,no_rejection
yang_zhang_volatility_w200,0.11003572545521545,no_rejection
momentum_decay_w100,0.11355565671370671,no_rejection
volatility_w200,0.1253468158892549,no_rejection
signed_price_impact_w200,0.1297498577713374,no_rejection
drawdown_w50,0.1297901087716633,no_rejection
max_adverse_excursion_w50,0.1297901087716633,no_rejection
bars_since_compression_ended_w50,0.1382379194094444,no_rejection
volatility_trend_slope_w200,0.17367375395000428,no_rejection
volume_delta_w150,0.1743971938794885,no_rejection
trend_per_vol_w150,0.19022528688776974,no_rejection
delta_volume_divergence_w50,0.19360230538150835,no_rejection
downside_semivariance_w100,0.19633632964482295,no_rejection
tail_event_flag_w50,0.21782621117091427,no_rejection
rsi_kalman,0.23493804743142732,no_rejection
left_tail_var_ratio_w50,0.237755242358491,no_rejection
false_break_rate_w10,0.2398296576830512,no_rejection
rolling_kurtosis_w150,0.24488283742972272,no_rejection
sma_ratio_w200_vs_w800,0.2498567809255121,no_rejection
vwap_zscore_w150,0.2665978753759912,no_rejection
volume_without_progress_w200,0.28280909274531074,no_rejection
shadow_asymmetry,0.28722892642951847,no_rejection
trend_duration_w50,0.2960409479593442,no_rejection
price_vol_correlation_w200,0.30187222535002134,no_rejection
max_runup_w50,0.3032717605430053,no_rejection
yang_zhang_volatility_w50,0.3044313004926247,no_rejection
downside_semivariance_w150,0.30449157068162547,no_rejection
rolling_kurtosis_w100,0.3279346514939807,no_rejection
directional_consistency_w200,0.3323203485693985,no_rejection
volume_delta_w100,0.33644394066769,no_rejection
directional_consistency_w20,0.3373697021608668,no_rejection
bars_since_vol_spike_w100,0.3377621008057765,no_rejection
ease_of_movement_w200,0.3413267920705878,no_rejection
ease_of_movement_w50,0.3501746434424209,no_rejection
trend_alignment_score_w10,0.35262990803176697,no_rejection
volatility_zscore_w200,0.35318806351596677,no_rejection
stochastic_k_w100,0.3578066345624481,no_rejection
donchian_position_w100,0.3578066345624481,no_rejection
close_location_value_w100,0.35780701795891146,no_rejection
signed_price_impact_w20,0.35827865254112246,no_rejection
signed_price_impact_w150,0.3626010749228922,no_rejection
donchian_position_w200,0.36474424375500347,no_rejection
stochastic_k_w200,0.36474424375500347,no_rejection
close_location_value_w200,0.3647442439085249,no_rejection
aroon_oscillator_w150,0.3660198610113379,no_rejection
consensus_x_ret,0.36900309072633086,no_rejection
log_ret,0.36900309072633086,no_rejection
hurst_proxy_w200,0.3712762893225592,no_rejection
volatility_w50,0.3805818048925188,no_rejection
vol_regime,0.38695624213596125,no_rejection
time_weighted_sr_strength_w10,0.38944961792343147,no_rejection
shadow_asymmetry_w150,0.3909927964977419,no_rejection
obv_slope_w10,0.39282494984127514,no_rejection
adx_trend_strength_w50,0.4151827966947904,no_rejection
shadow_asymmetry_w100,0.41524478219758865,no_rejection
body_to_range_w150,0.42206773783998375,no_rejection
vwap_zscore_w200,0.42584120877121456,no_rejection
tail_event_flag_w20,0.4267321783532072,no_rejection
rolling_skewness_w20,0.43458615790969946,no_rejection
force_index_w200,0.4407906065626884,no_rejection
rsi_ratio_w50_vs_w200,0.4425120626183584,no_rejection
ehlers_fisher_transform_w50,0.4431053596098006,no_rejection
bars_since_vol_spike_w50,0.44546692705537505,no_rejection
ehlers_fisher_transform_w10,0.44735025885189006,no_rejection
vol_acceleration_w100,0.45274731563233883,no_rejection
returns_4h,0.4579406399068584,no_rejection
close_location_value_w10,0.46480287725469627,no_rejection
donchian_position_w10,0.4648032802426586,no_rejection
stochastic_k_w10,0.4648032802426586,no_rejection
vol_ratio_w10_vs_w40,0.4679380448403798,no_rejection
directional_consistency_w150,0.49039738983780523,no_rejection
trend_alignment_score_w50,0.49586765449228654,no_rejection
obv_slope_w150,0.49954273133816396,no_rejection
volume_without_progress_w10,0.4996614740741808,no_rejection
range_expansion_ratio_w200,0.5040484494818905,no_rejection
rolling_skewness_w50,0.5076887748181882,no_rejection
adx_w100,0.5091545502588956,no_rejection
rolling_kurtosis_w10,0.5162069737430574,no_rejection
bars_since_trend_exhaustion_signal_w100,0.5175824572942778,no_rejection
absorption_x_vol_spike_w100,0.5296659916268692,no_rejection
trend_per_vol_w100,0.531148365098602,no_rejection
compression_x_momentum_w50,0.531236755565677,no_rejection
trend_efficiency_ratio_w100,0.5316876511808738,no_rejection
adx_w200,0.5487069608873303,no_rejection
adx_trend_strength_w100,0.5550947809979973,no_rejection
volatility_trend_slope_w50,0.5630184347831206,no_rejection
price_vol_correlation_w50,0.5690691872278435,no_rejection
aroon_oscillator_w100,0.5708378535015051,no_rejection
range_expansion_ratio_w150,0.5973964578929221,no_rejection
volume_weighted_rsi_w100,0.6203967375555782,no_rejection
cmf_w50,0.621381469832245,no_rejection
force_index_w150,0.6292321496114643,no_rejection
trend_slope_stability_w100,0.629580583514134,no_rejection
volatility_w100,0.6309135806589128,no_rejection
vol_compression_duration_w150,0.6330786252373997,no_rejection
bars_since_trend_exhaustion_signal_w20,0.6487199249069973,no_rejection
adx_trend_strength_w20,0.6497643749361749,no_rejection
delta_volume_divergence_w150,0.6514526389505524,no_rejection
rsi_ratio_w20_vs_w80,0.6528342566309874,no_rejection
force_index_w10,0.6574202596903264,no_rejection
yang_zhang_volatility_w150,0.658395641622681,no_rejection
parkinson_volatility_w150,0.6604190319334016,no_rejection
adx_trend_strength_w200,0.6604390210052379,no_rejection
volume_without_progress_w150,0.6606604631435187,no_rejection
cci_w10,0.6688183883097552,no_rejection
trend_duration_w20,0.6732718414074528,no_rejection
residual_return,0.6735448305566614,no_rejection
volatility_trend_slope,0.6759794721827295,no_rejection
volatility_trend_slope_w20,0.6759794721827295,no_rejection
max_runup_w200,0.6830318833947513,no_rejection
time_weighted_sr_strength_w20,0.6851342188296086,no_rejection
volatility_zscore_w20,0.6852644422929709,no_rejection
price_vol_correlation_w100,0.6921126481868974,no_rejection
vol_ratio_w100_vs_w400,0.6982819653039427,no_rejection
force_index_w100,0.6996062340986428,no_rejection
momentum_decay_w10,0.704451193086432,no_rejection
compression_x_momentum_w150,0.705129709031242,no_rejection
volume_delta_w10,0.7080741214155017,no_rejection
cci_w20,0.70841473712183,no_rejection
time_weighted_sr_strength_w100,0.7101390860829241,no_rejection
drawdown_w10,0.7167874631866009,no_rejection
max_adverse_excursion_w10,0.7167874631866009,no_rejection
vol_compression_duration_w50,0.7195531839300796,no_rejection
vol_trend_conflict_w200,0.7265513236048265,no_rejection
signed_price_impact_w10,0.73116830186229,no_rejection
downside_semivariance_w50,0.7340594224913496,no_rejection
atr_14,0.7460242906420708,no_rejection
trend_per_vol_w200,0.7481864971350488,no_rejection
time_weighted_sr_strength_w50,0.7492222953496984,no_rejection
volatility_zscore_w150,0.75135305791651,no_rejection
max_adverse_excursion_w200,0.7540824023969533,no_rejection
drawdown_w200,0.7540824023969533,no_rejection
bars_since_vol_spike_w200,0.7664146020470857,no_rejection
max_adverse_excursion_w20,0.7669889661390951,no_rejection
drawdown_w20,0.7669889661390951,no_rejection
compression_x_momentum_w20,0.7673021852027796,no_rejection
compression_x_momentum_w100,0.7682410189352339,no_rejection
max_runup_w20,0.7693268534966878,no_rejection
volume_without_progress_w50,0.7700851915926674,no_rejection
breakout_follow_through_w100,0.7729596815948795,no_rejection
breakout_follow_through_w10,0.7729596815948795,no_rejection
breakout_follow_through_w150,0.7729596815948795,no_rejection
breakout_follow_through_w50,0.7729596815948795,no_rejection
breakout_follow_through_w20,0.7729596815948795,no_rejection
breakout_follow_through_w200,0.7729596815948795,no_rejection
body_to_range_w10,0.7744552631539686,no_rejection
vol_acceleration_w200,0.7756326333401433,no_rejection
vwap_zscore_w10,0.7782272307210504,no_rejection
bars_since_compression_ended_w100,0.7799028422367916,no_rejection
rsi_ratio_w200_vs_w800,0.7823327694428631,no_rejection
efficiency_ratio_volatility,0.7914001397095969,no_rejection
range_expansion_ratio_w10,0.7917286837737536,no_rejection
body_to_range_w20,0.795315838524239,no_rejection
left_tail_var_ratio_w200,0.7961333728201246,no_rejection
vwap_zscore_w20,0.8014154697165035,no_rejection
kalman_trend,0.8026511173889354,no_rejection
body_to_range_w100,0.8033925849568909,no_rejection
aroon_oscillator_w200,0.8041503153027977,no_rejection
volatility_zscore_w100,0.8115133986302941,no_rejection
trend_efficiency_ratio_w10,0.8135422264079069,no_rejection
ehlers_fisher_transform_w20,0.816376047614069,no_rejection
momentum_decay_w50,0.8206370149636859,no_rejection
serial_corr,0.8225237384762214,no_rejection
rogers_satchell_volatility_w50,0.8241671247920557,no_rejection
vol_compression_duration_w200,0.8242814736080625,no_rejection
macd_hist_w100,0.8261432750910815,no_rejection
rsi_ratio_w150_vs_w600,0.8265347105446588,no_rejection
bars_since_compression_ended_w150,0.8309230781237058,no_rejection
yang_zhang_volatility_w100,0.8332759486340336,no_rejection
sma_ratio_w20_vs_w80,0.835152307699897,no_rejection
compression_x_momentum_w10,0.836773531494948,no_rejection
trend_duration_w10,0.8398374463166944,no_rejection
trend_efficiency_ratio_w20,0.8412374749360054,no_rejection
bars_since_vol_spike_w20,0.8435044902244583,no_rejection
vol_trend_conflict_w100,0.8447148634514094,no_rejection
cusum_rev_pos,0.8447285172513269,no_rejection
rolling_efficiency_ratio,0.8452488909511158,no_rejection
hurst_proxy_w10,0.8462077794088904,no_rejection
signed_price_impact_w100,0.8466927940057721,no_rejection
time_weighted_sr_strength_w200,0.8480739405141633,no_rejection
ease_of_movement_w20,0.8484062151813678,no_rejection
vol_trend_conflict_w50,0.8562060010140704,no_rejection
vol_ratio_w20_vs_w80,0.8565171067851077,no_rejection
rsi_ratio_w10_vs_w40,0.8573300355248431,no_rejection
macd_hist_w20,0.8672879900424749,no_rejection
volume_without_progress_w20,0.8676994074385725,no_rejection
max_runup_w10,0.8709859512754882,no_rejection
max_runup_w150,0.8717848635356341,no_rejection
max_adverse_excursion_w150,0.8719186968084927,no_rejection
drawdown_w150,0.8719186968084927,no_rejection
rolling_skewness_w150,0.8743766849499648,no_rejection
parkinson_volatility_w50,0.8777288975874933,no_rejection
volume_without_progress_w100,0.879208157006892,no_rejection
left_tail_var_ratio_w150,0.8819123077234016,no_rejection
vwap_zscore_w50,0.8819408207655541,no_rejection
volatility_trend_slope_w10,0.8821930394213462,no_rejection
volatility_zscore_w10,0.8828793463915298,no_rejection
price_impact_w20,0.883104729422913,no_rejection
parkinson_volatility_w20,0.8839512113005851,no_rejection
cci_w150,0.8848183089676374,no_rejection
trend_efficiency_ratio_w200,0.8874948616330534,no_rejection
yang_zhang_volatility_w20,0.8876607407855784,no_rejection
downside_semivariance_w200,0.8880243537222501,no_rejection
hurst_proxy_w50,0.8892191312322583,no_rejection
volume_weighted_rsi_w50,0.8918123974642878,no_rejection
adx_w20,0.8920027358074627,no_rejection
rv_z_short,0.8986160442471113,no_rejection
macd_hist_w50,0.9000264620025226,no_rejection
vol_acceleration_w50,0.9005194406775769,no_rejection
kaufman_efficiency_ratio,0.9012149118352477,no_rejection
parkinson_volatility_w100,0.9014487439273707,no_rejection
adx_w150,0.9019047129629302,no_rejection
trend_slope_stability_w150,0.9023680925070117,no_rejection
donchian_position_w150,0.9028388889452844,no_rejection
stochastic_k_w150,0.9028388889452844,no_rejection
close_location_value_w150,0.9028388889746118,no_rejection
shadow_asymmetry_w20,0.9039111713752749,no_rejection
hilbert_transform_phase,0.9051162908609091,no_rejection
cci_w100,0.9058424000168056,no_rejection
adx_trend_strength_w150,0.9059698040308043,no_rejection
vol_acceleration_w10,0.9060644225122239,no_rejection
trend_slope_stability_w20,0.9064841095297947,no_rejection
volatility_zscore_w50,0.9075027610081412,no_rejection
volume_weighted_rsi_w200,0.9103931574949884,no_rejection
rogers_satchell_volatility_w150,0.9106588457615405,no_rejection
volume_delta_w50,0.9138049883987462,no_rejection
force_index_w20,0.9147765802590849,no_rejection
cmf_w10,0.9168767443549093,no_rejection
volatility_w20,0.9170426056593892,no_rejection
consensus_x_vol,0.9170426056593892,no_rejection
vol_acceleration_w20,0.918581270147533,no_rejection
drawdown_w100,0.9191147618323113,no_rejection
max_adverse_excursion_w100,0.9191147618323113,no_rejection
trend_duration_w200,0.9231008814911836,no_rejection
trend_per_vol_w50,0.9234776695066661,no_rejection
rolling_sharpe,0.9234776695066661,no_rejection
time_weighted_sr_strength_w150,0.9247301342043035,no_rejection
range_expansion_ratio_w100,0.926077827214035,no_rejection
volatility_w150,0.9281708437909111,no_rejection
vol_ratio_w150_vs_w600,0.9287015719737839,no_rejection
trend_slope_stability_w50,0.9307951436107926,no_rejection
vol_trend_conflict_w10,0.9316179887455586,no_rejection
left_tail_var_ratio_w10,0.9339847240218558,no_rejection
obv_slope_w200,0.9343979133707528,no_rejection
bars_since_compression_ended_w200,0.935827020428533,no_rejection
volume_delta_w200,0.9364112978382062,no_rejection
macd_hist_w10,0.9366108215161947,no_rejection
parkinson_volatility_w200,0.9382322329717371,no_rejection
aroon_oscillator_w50,0.9390735279326828,no_rejection
parkinson_volatility_w10,0.940546916818949,no_rejection
obv_slope_w20,0.9415374691963224,no_rejection
downside_semivariance_w20,0.9418000162476807,no_rejection
consensus_recent_performance,0.9423168689088078,no_rejection
volume_weighted_rsi_w20,0.9428492142443861,no_rejection
volume_delta_w20,0.9441414652165736,no_rejection
trend_per_vol_w10,0.9452800246079599,no_rejection
adx_w10,0.9464317296847526,no_rejection
trend_slope_stability_w200,0.9466184747330163,no_rejection
smoothed_return,0.9469902976039665,no_rejection
vwap_zscore_w100,0.9487165706520574,no_rejection
adx_trend_strength_w10,0.9491617143073099,no_rejection
body_to_range_w50,0.9492756068318796,no_rejection
sma_ratio_w150_vs_w600,0.953629884081236,no_rejection
obv_slope_w50,0.9557868223024067,no_rejection
rolling_skewness_w200,0.9563630614410954,no_rejection
stochastic_k_w50,0.9573510062925742,no_rejection
donchian_position_w50,0.9573510062925742,no_rejection
close_location_value_w50,0.9573510326264623,no_rejection
momentum_decay_w20,0.9588848773680967,no_rejection
trend_efficiency_ratio_w50,0.9621624052124564,no_rejection
max_runup_w100,0.9621717360137559,no_rejection
range_expansion_ratio_w20,0.9622101978482975,no_rejection
adx_w50,0.9627853834289792,no_rejection
aroon_oscillator_w20,0.9635815179678345,no_rejection
vol_acceleration_w150,0.9637672496437387,no_rejection
shadow_asymmetry_w50,0.9642213877129662,no_rejection
vol_trend_conflict_w20,0.9652518313434351,no_rejection
bars_since_trend_exhaustion_signal_w150,0.9660780102946679,no_rejection
aroon_oscillator_w10,0.9666321077066965,no_rejection
ehlers_fisher_transform_w200,0.9689435869133463,no_rejection
force_index_w50,0.9708686324390531,no_rejection
hurst_proxy_w20,0.9709409421948273,no_rejection
obv_slope_w100,0.9738531972314434,no_rejection
false_break_rate_w100,0.9745997403921733,no_rejection
cmf_w100,0.9772840607776229,no_rejection
hurst_proxy_w150,0.9784903563432947,no_rejection
ease_of_movement_w150,0.9793711198062723,no_rejection
rsi_ratio_w100_vs_w400,0.9811093810622127,no_rejection
price_vol_correlation_w10,0.981398894624014,no_rejection
volatility_trend_slope_w100,0.9814831776018778,no_rejection
bars_since_trend_exhaustion_signal_w50,0.9819354094471674,no_rejection
compression_x_momentum_w200,0.9821722373157187,no_rejection
yang_zhang_volatility_w10,0.9834803476894595,no_rejection
volatility_trend_slope_w150,0.9836576154496255,no_rejection
delta_volume_divergence_w10,0.983674478604173,no_rejection
rolling_skewness_w10,0.9845620430352537,no_rejection
macd_hist_w200,0.9845883550906143,no_rejection
momentum_30,0.9845989707431761,no_rejection
trend_duration_w100,0.9850396391135564,no_rejection
hurst_proxy_w100,0.985063181801522,no_rejection
rolling_kurtosis_w200,0.9851515322600285,no_rejection
delta_volume_divergence_w100,0.985737605417335,no_rejection
ehlers_fisher_transform_w100,0.9859638933364882,no_rejection
macd_hist_w150,0.9875345187782271,no_rejection
volatility_w10,0.9878958444059907,no_rejection
vol_ratio_w50_vs_w200,0.9882920393598627,no_rejection
rolling_skewness_w100,0.9883683665237359,no_rejection
sma_ratio_w50_vs_w200,0.9888753169116504,no_rejection
trend_per_vol_w20,0.9897464482201439,no_rejection
vol_trend_conflict_w150,0.9903105745995155,no_rejection
range_expansion_ratio_w50,0.9909485701878823,no_rejection
price_vol_correlation_w20,0.9913598449805747,no_rejection
shadow_asymmetry_w200,0.9927018788046584,no_rejection
sma_ratio_w10_vs_w40,0.9938749709573806,no_rejection
downside_semivariance_w10,0.9952511101343333,no_rejection
delta_volume_divergence_w20,0.9992071621904438,no_rejection
breakout_after_compression_flag_w100,1.0,no_rejection
kalman_uncertainty,1.0,no_rejection
breakout_after_compression_flag_w20,1.0,no_rejection
breakout_after_compression_flag_w200,1.0,no_rejection
price_impact_w150,1.0,no_rejection
breakout_after_compression_flag_w150,1.0,no_rejection
breakout_after_compression_flag_w10,1.0,no_rejection
price_impact_w10,1.0,no_rejection
breakout_after_compression_flag_w50,1.0,no_rejection
consensus_rolling_std_5,1.0,no_rejection
consensus_rolling_sum_3,1.0,no_rejection
consensus_lag_3,1.0,no_rejection
signed_price_impact_w50,1.0,no_rejection
consensus_lag_2,1.0,no_rejection
consensus_lag_1,1.0,no_rejection
signal_cluster_count,1.0,no_rejection
price_impact_w100,1.0,no_rejection
cusum_trend_pos,,no_rejection
cusum_trend_neg,,no_rejection
rogers_satchell_volatility_w10,,no_rejection
bars_since_vol_spike_w10,,no_rejection
bars_since_compression_ended_w10,,no_rejection
touch_count_near_price_w10,,no_rejection
bars_since_breakout_attempt_w10,,no_rejection
bars_since_trend_exhaustion_signal_w10,,no_rejection
rogers_satchell_volatility_w20,,no_rejection
vol_compression_duration_w20,,no_rejection
bars_since_compression_ended_w20,,no_rejection
touch_count_near_price_w20,,no_rejection
bars_since_breakout_attempt_w20,,no_rejection
directional_consistency_w50,,no_rejection
touch_count_near_price_w50,,no_rejection
bars_since_breakout_attempt_w50,,no_rejection
vol_compression_duration_w100,,no_rejection
directional_consistency_w100,,no_rejection
touch_count_near_price_w100,,no_rejection
bars_since_breakout_attempt_w100,,no_rejection
touch_count_near_price_w150,,no_rejection
false_break_rate_w150,,no_rejection
bars_since_breakout_attempt_w150,,no_rejection
absorption_x_vol_spike_w150,,no_rejection
touch_count_near_price_w200,,no_rejection
false_break_rate_w200,,no_rejection
absorption_x_vol_spike_w200,,no_rejection
drawdown,,no_rejection
