,volume_kalman,moving_average,fisher,raw_price
2025-05-22 12:30:00,2646.6064517519208,2657.488525390625,-2.2975599250672945,2652.02
2025-05-22 12:45:00,2651.307001331964,2658.6140258789064,-2.2975599250672945,2657.7
2025-05-22 13:00:00,2648.631204265035,2658.6580200195312,-1.0774072212936021,2644.48
2025-05-22 13:15:00,2649.9507591789074,2657.9995239257814,-0.7733544351270122,2651.76
2025-05-22 13:30:00,2646.850750366455,2657.1490234375,-1.0535445333118014,2643.31
2025-05-22 13:45:00,2645.154580052922,2656.17001953125,-1.2579984353435834,2643.9
2025-05-22 14:00:00,2647.3620538749205,2655.153515625,-0.6973335133838839,2651.03
2025-05-22 14:15:00,2654.560984194715,2653.7150146484373,-0.3268943980712659,2663.3
2025-05-22 14:30:00,2660.254167719739,2653.62451171875,-0.19127750495356033,2664.4
2025-05-22 14:45:00,2664.4841947798204,2653.6775146484374,0.02544060388708095,2666.05
2025-05-22 15:00:00,2666.5824245438243,2653.703015136719,-0.2078361802695522,2665.0
2025-05-22 15:15:00,2669.693254796572,2653.7395141601564,-0.10175493837204677,2669.84
2025-05-22 15:30:00,2674.3526160363317,2654.4735107421875,0.11285739494108175,2676.19
2025-05-22 15:45:00,2671.9522407807067,2654.8565063476562,-0.1163467475205179,2664.48
2025-05-22 16:00:00,2672.5448460297016,2655.8780029296877,-0.10551793791154873,2670.9
2025-05-22 16:15:00,2663.5462027392146,2656.4724975585937,-0.4422115095745892,2651.49
2025-05-22 16:30:00,2659.7552035923586,2656.722998046875,-0.01900810758370904,2657.01
2025-05-22 16:45:00,2652.498231724977,2656.4799926757814,-0.4339115035442448,2645.89
2025-05-22 17:00:00,2652.908159761003,2657.139990234375,0.02224281340514467,2657.78
2025-05-22 17:15:00,2656.1180036698547,2657.9594848632814,0.423669936390433,2662.66
2025-05-22 17:30:00,2657.9328725083783,2658.4284790039064,0.1774366967328021,2661.4
2025-05-22 17:45:00,2658.4570039622877,2658.5084838867188,-0.08879628986792197,2659.3
2025-05-22 18:00:00,2657.144936176831,2659.0604858398438,-0.24126872274481279,2655.52
2025-05-22 18:15:00,2660.3331042786713,2659.7094848632814,-0.006804531995008032,2664.74
2025-05-22 18:30:00,2661.0379545004457,2660.6009765625,-0.08443804224688456,2661.14
2025-05-22 18:45:00,2660.4056001678,2661.345983886719,-0.31128257405119886,2658.8
2025-05-22 19:00:00,2659.806527962874,2661.7304809570314,-0.5429255268572667,2658.72
2025-05-22 19:15:00,2657.07783209011,2661.236474609375,-0.31269430055622105,2653.42
2025-05-22 19:30:00,2648.314864347744,2659.974475097656,-1.6474910152540483,2639.16
2025-05-22 19:45:00,2640.2220456842865,2658.3974731445314,-0.6044689707268837,2634.51
2025-05-22 20:00:00,2640.7972374460583,2657.4694702148436,-0.35035362732471353,2646.44
2025-05-22 20:15:00,2637.573186614437,2655.8374633789062,-0.28602316362184765,2637.2
2025-05-22 20:30:00,2637.890424289175,2654.1259643554686,-0.5524217312975142,2641.96
2025-05-22 20:45:00,2637.9990101474928,2652.9469604492188,-0.8452823543421595,2640.9
2025-05-22 21:00:00,2637.217515982808,2651.3114624023438,-0.9387178995766371,2638.19
2025-05-22 21:15:00,2633.826149288621,2650.2974609375,-1.4180382401213656,2631.21
2025-05-22 21:30:00,2633.953772601435,2649.2689575195313,-0.7022000101441914,2636.44
2025-05-22 21:45:00,2634.0364433217173,2648.7694580078123,-1.533338002225529,2635.9
2025-05-22 22:00:00,2639.0917900657705,2648.1839599609375,-0.5204501197835936,2646.07
2025-05-22 22:15:00,2641.8975280749314,2647.2819702148436,-0.485177922962544,2644.62
2025-05-22 22:30:00,2644.7771245434183,2646.5524780273436,-0.2244320305083032,2646.81
2025-05-22 22:45:00,2641.6741053475,2645.3754760742186,-0.48438803456795854,2635.76
2025-05-22 23:00:00,2643.9456326567183,2644.92197265625,0.6089037514972969,2646.45
2025-05-22 23:15:00,2647.288695710492,2644.19296875,1.3681095835842303,2650.16
2025-05-22 23:30:00,2653.484878579106,2644.085974121094,0.9784946085255316,2659.0
2025-05-22 23:45:00,2660.111767769966,2644.3869750976564,2.2975599250672945,2664.82
2025-05-23 00:00:00,2663.453468840636,2644.59697265625,1.027239354763913,2662.92
2025-05-23 00:15:00,2661.9556012380126,2644.6959716796873,0.6245050139143886,2655.4
2025-05-23 00:30:00,2658.6354014510152,2645.311975097656,0.5677879013594752,2651.48
2025-05-23 00:45:00,2661.0078857955873,2646.7189697265626,2.2975599250672945,2662.65
2025-05-23 01:00:00,2660.756471688721,2647.346472167969,0.8974366630294629,2658.99
2025-05-23 01:15:00,2664.9391571434385,2648.9459716796873,2.2975599250672945,2669.19
2025-05-23 01:30:00,2672.383325739716,2650.7634765625,1.994866119955263,2678.31
2025-05-23 01:45:00,2675.6506152450743,2652.4994873046876,1.6292503116646935,2675.62
2025-05-23 02:00:00,2690.216601995736,2655.6919921875,2.2975599250672945,2702.04
2025-05-23 02:15:00,2709.238028510059,2660.243994140625,2.2975599250672945,2722.25
2025-05-23 02:30:00,2716.1410362703996,2664.056494140625,0.7636571350651812,2712.69
2025-05-23 02:45:00,2716.089926499775,2667.5275024414063,0.4847032759241157,2705.32
2025-05-23 03:00:00,2715.337349152117,2670.52900390625,0.31822059795573115,2706.1
2025-05-23 03:15:00,2715.846232530123,2673.8474975585937,0.29870727624180665,2710.99
2025-05-23 03:30:00,2720.314599437489,2677.5904907226563,0.558977285910053,2721.67
2025-05-23 03:45:00,2723.0529784400105,2681.902490234375,0.7676749309444248,2722.0
2025-05-23 04:00:00,2720.6138219101053,2685.245495605469,0.6398860871663877,2713.31
2025-05-23 04:15:00,2715.521409086351,2688.1219970703123,0.27829151490498727,2707.69
2025-05-23 04:30:00,2700.5418110260607,2689.38349609375,-0.06901066428321018,2684.23
2025-05-23 04:45:00,2696.9425204890463,2691.0234985351562,-0.12365933608213349,2697.62
2025-05-23 05:00:00,2698.6352440748797,2693.168005371094,-0.1434472886003995,2705.81
2025-05-23 05:15:00,2692.1096159800477,2694.758508300781,-0.47628276367026595,2687.21
2025-05-23 05:30:00,2690.1179183514955,2696.7845092773437,-1.2598998122433744,2692.0
2025-05-23 05:45:00,2691.2950726430054,2698.4895141601564,-2.2975599250672945,2696.75
2025-05-23 06:00:00,2681.3085140106973,2699.175012207031,-2.2975599250672945,2672.7
2025-05-23 06:15:00,2671.1334583423773,2698.9340209960938,-2.2975599250672945,2664.37
2025-05-23 06:30:00,2665.3675387260923,2698.2880126953123,-2.2975599250672945,2665.39
2025-05-23 06:45:00,2658.4564298117407,2697.362512207031,-2.2975599250672945,2657.11
2025-05-23 07:00:00,2658.5948269320506,2695.5835083007814,-2.2975599250672945,2666.46
2025-05-23 07:15:00,2661.0796838487117,2692.956005859375,-1.9413819956782254,2669.7
2025-05-23 07:30:00,2660.61668453797,2690.4705078125,-1.6936748632345011,2662.98
2025-05-23 07:45:00,2657.0849072752553,2687.964501953125,-2.0303328491601196,2655.2
2025-05-23 08:00:00,2657.941615371279,2685.7630004882812,-0.6139448156972989,2662.07
2025-05-23 08:15:00,2661.150286466248,2683.5630004882814,-0.799253174148362,2666.99
2025-05-23 08:30:00,2665.337767280402,2681.0050048828125,-0.9230361826773726,2670.51
2025-05-23 08:45:00,2667.657355619658,2678.3744995117186,-0.530447817156786,2669.39
2025-05-23 09:00:00,2671.444605054468,2676.425500488281,-0.5271212322233552,2674.33
2025-05-23 09:15:00,2675.485905282988,2674.9349975585938,-0.4406619880843856,2677.88
2025-05-23 09:30:00,2679.1375043376033,2674.747998046875,0.022787443042153212,2680.49
2025-05-23 09:45:00,2682.4162015654942,2674.0144897460937,0.2045189371796573,2682.95
2025-05-23 10:00:00,2676.265072048187,2672.0219848632814,-0.09658217622406241,2665.96
2025-05-23 10:15:00,2671.1284490892012,2670.8809814453125,0.01507496059568934,2664.39
2025-05-23 10:30:00,2668.7098404338562,2669.62998046875,-0.09742036798967722,2666.98
2025-05-23 10:45:00,2669.122835022443,2668.369982910156,-0.03780979752144694,2671.55
2025-05-23 11:00:00,2665.7540423308265,2667.8729858398438,0.08635864623796631,2662.76
2025-05-23 11:15:00,2656.9722850518306,2667.1309814453125,0.1751329435777176,2649.53
2025-05-23 11:30:00,2642.515904600376,2665.380480957031,-0.49501085059794525,2630.38
2025-05-23 11:45:00,2601.5912043743406,2660.8644775390626,-2.2975599250672945,2566.79
2025-05-23 12:00:00,2565.4087341067484,2654.728479003906,-2.2975599250672945,2543.74
2025-05-23 12:15:00,2544.642712235797,2648.5249755859377,-1.937166380315499,2545.63
2025-05-23 12:30:00,2533.6105544090096,2642.6579711914064,-2.2975599250672945,2545.64
2025-05-23 12:45:00,2530.6638787053053,2637.3229736328126,-2.2975599250672945,2548.5
2025-05-23 13:00:00,2531.67232611332,2631.732470703125,-2.2975599250672945,2550.26
