,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,blended_mu,blended_std,blended_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
ret12h,0.001260405,0.0006500132,0.0024439828,6.1666665,2.9107082,13.064785,71.18758,38.58437,131.34,0.009172632,0.0049188575,0.017105026,0.02084155,0.016577616,0.026202213,200.0,0.0,0.94330925,0.013186238,0.8095238,0.0,0.6671579,195.0,10.666667,0.24299127,110.0
ffd_strength_06,0.0019648569,0.0008604409,0.004486842,8.166667,2.3392782,28.510695,107.91943,42.90794,271.4324,0.01335346,0.005048153,0.0353228,0.037511498,0.022930652,0.061363824,183.0,0.0,0.94330925,0.058197115,0.64285713,0.0,1.0,172.0,20.0,0.24272269,111.0
vp_lvn_depth_ratio,0.003064308,0.0007537818,0.012457164,12.833333,2.7938426,58.94908,178.25006,40.661304,781.4083,0.022370458,0.0046882466,0.10674297,0.066670224,0.027540956,0.16139308,96.0,0.0,0.94330925,0.12844644,0.6339286,0.0,0.26257822,129.5,20.5,0.24225661,112.0
evr_slope,0.0048888223,0.0017253461,0.013852633,14.833333,3.3374975,65.92598,245.49966,72.779465,828.11945,0.03407695,0.012040019,0.09644825,0.09299732,0.0400352,0.21602242,83.0,0.0,0.94330925,0.2450236,0.42559522,0.0,0.0,80.5,32.166668,0.24116178,113.0
tail_score,0.0042840196,0.0017812807,0.010303162,10.166667,3.4359214,30.082502,181.68504,67.49995,489.02936,0.028174087,0.011654817,0.0681074,0.061176505,0.014556347,0.2571088,134.0,0.0,0.94330925,0.20637979,0.47916666,0.0,0.15229848,128.5,29.166666,0.24091548,114.0
vp_dist_lvn_above_atr,0.0048025274,0.0023197343,0.009942634,14.333333,4.818944,42.632668,245.65454,98.815636,610.6944,0.034341555,0.014417342,0.08180027,0.0976446,0.061198413,0.155796,126.0,0.0,0.94330925,0.23950979,0.33333334,0.16666667,0.0,87.0,37.333332,0.24006373,115.0
vol_price_div,0.0029445146,0.0006928854,0.012513133,13.5,3.7749171,48.279205,168.27756,42.388084,668.04944,0.021253534,0.0047724238,0.0946506,0.05887589,0.019499717,0.17776516,107.0,0.0,0.94330925,0.12079225,0.66071427,0.0,0.15268794,137.0,19.0,0.23924871,116.0
trend_pct_base,0.0041221827,0.0012411559,0.013690776,14.833333,3.2871804,66.935104,204.95001,58.334946,720.0574,0.029051919,0.008594986,0.09819841,0.07610433,0.032396533,0.1787805,97.0,0.0,0.94330925,0.19603923,0.5208333,0.0,0.0,113.5,26.833334,0.2380299,117.0
lr_12h,0.0017053869,0.00040475672,0.007185414,5.0,1.4142135,17.67767,92.04497,21.97487,385.54385,0.012376751,0.0032117898,0.047694266,0.028248148,0.0135836275,0.058744095,160.5,0.0,0.94330925,0.04161831,0.7797619,0.0,0.34037915,180.0,12.333333,0.23484951,118.0
clv_mean_4,0.003501323,0.00071685045,0.017101562,15.833333,3.5316033,70.986015,200.64825,52.756657,763.1211,0.025816936,0.0072606117,0.09179862,0.07413349,0.027754512,0.19801375,82.0,0.0,0.94330925,0.15636946,0.5922619,0.0,0.0,117.5,22.833334,0.23406869,119.0
