config_id,mode,pct,min_range_pct,min_vol_zscore,min_sign_consistency,barrier_k_tp,barrier_sl_base_mult,barrier_disp_floor,expansion_name,expansion_offsets,slice,side,kind,horizon,n_samples,n_days,opportunities_per_day,tp_sl_ratio,label_pos_rate,mean_ret_bps,sharpe,sortino,weighted_ret_bps
A_P06_S80,atr,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,short_mr,short,mr,2,0,,,,0.0,0.0,0.0,0.0,0.0
A_P06_S80,atr,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,short_mr,short,mr,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_S80,atr,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,short_mr,short,mr,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_S80,atr,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,short_tf,short,tf,2,298,0.0,298.0,1.00:0.50,0.348993288590604,-0.7950734288897365,-0.43665864065381965,-3.2111427207917607,6.430998328141868
A_P06_S80,atr,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,short_tf,short,tf,4,298,0.0,298.0,1.00:0.50,0.348993288590604,-1.6842862532939762,-0.9040305597297645,-6.07494906324359,5.541148129850626
A_P06_S80,atr,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,short_tf,short,tf,8,298,0.0,298.0,1.00:0.50,0.348993288590604,-6.306699360720813,-2.5374175504447223,-16.17550971053569,0.9911972301779315
VW_P06_R07,vol_weight,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,2,380,0.0,380.0,1.00:0.50,0.35,13.025433290749788,8.881400923844602,48.66426257025214,18.882808508351445
VW_P06_R07,vol_weight,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,4,380,0.0,380.0,1.00:0.50,0.35,21.56513510271907,12.311148463305642,75.27806989919803,32.17201912775636
VW_P06_R07,vol_weight,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,8,380,0.0,380.0,1.00:0.50,0.35,38.41631580144167,15.114359492913223,74.26482377427976,53.39444149285555
VW_P06_R07,vol_weight,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,2,0,,,,0.0,0.0,0.0,0.0,0.0
VW_P06_R07,vol_weight,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
VW_P06_R07,vol_weight,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
VW_P06_R07,vol_weight,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,2,0,,,,0.0,0.0,0.0,0.0,0.0
VW_P06_R07,vol_weight,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
VW_P06_R07,vol_weight,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
VW_P06_R07,vol_weight,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,2,380,0.0,380.0,1.00:0.50,0.35,-1.5240373613778502,-1.3244612786317502,-5.733120338177521,1.7279927851632237
VW_P06_R07,vol_weight,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,4,380,0.0,380.0,1.00:0.50,0.35,6.318477680906653,2.4403829822762346,24.074320892636866,20.364064257591963
VW_P06_R07,vol_weight,0.06,0.07,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,8,380,0.0,380.0,1.00:0.50,0.35,4.437716270331293,1.590285803595983,11.171200442870413,19.131171284243464
VW_P06_R08,vol_weight,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,2,318,0.0,318.0,1.00:0.50,0.3490566037735849,12.44965591467917,8.336773390570082,46.96729975708046,17.770209815353155
VW_P06_R08,vol_weight,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,4,318,0.0,318.0,1.00:0.50,0.3490566037735849,22.05298049375415,12.33616442880183,76.18299907832676,30.994622502475977
VW_P06_R08,vol_weight,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,8,318,0.0,318.0,1.00:0.50,0.3490566037735849,39.1171732917428,15.034886173003331,76.39112323342512,55.984691716730595
VW_P06_R08,vol_weight,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,2,0,,,,0.0,0.0,0.0,0.0,0.0
VW_P06_R08,vol_weight,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
VW_P06_R08,vol_weight,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
VW_P06_R08,vol_weight,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,2,0,,,,0.0,0.0,0.0,0.0,0.0
VW_P06_R08,vol_weight,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
VW_P06_R08,vol_weight,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
VW_P06_R08,vol_weight,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,2,318,0.0,318.0,1.00:0.50,0.3522012578616352,-2.4924342869780958,-2.24443709088344,-9.223030785301361,-1.465472741983831
VW_P06_R08,vol_weight,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,4,318,0.0,318.0,1.00:0.50,0.3490566037735849,-1.0604349517961964,-0.8340986052426973,-4.011735650755041,-0.10117490091943182
VW_P06_R08,vol_weight,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,8,318,0.0,318.0,1.00:0.50,0.3490566037735849,0.4196030931780115,0.23965921116864503,1.0425738130112434,-0.9717285865917802
VW_P06_V18,vol_weight,0.06,0.06,1.8,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,2,396,0.0,396.0,1.00:0.50,0.351010101010101,6.434830720536411,4.890291875703396,24.397968304881367,13.304109452292323
