field_group,scope,accepted_alternatives,rows_checked,present_rows,missing_rows,coverage_rate,missing_symbols_sample,missing_decision_sample
entry_timing_attribution,traded,hourly_close_to_latest_decision_price_bps|signal_gap_bps,12,12,0,1.0,,
entry_timing_attribution,traded,decision_price_to_fill_bps|actual_fill_vs_expected_bps,12,5,7,0.4166666666666667,"USDC/USD:USD,SHIB/USD:USD,XLM/USD:USD,ZRX/USD:USD,TLM/USD:USD,SUPER/USD:USD,STORJ/USD:USD",traded
spread_slippage_cost_attribution,traded,ticker_spread_bps|spread_bps|spread_proxy_bps,12,12,0,1.0,,
spread_slippage_cost_attribution,traded,expected_fill_slippage_bps|orderbook_live_slippage_bps|orderbook_slippage_bps|slippage_bps,12,12,0,1.0,,
spread_slippage_cost_attribution,traded,expected_total_entry_friction_bps|max_entry_friction_bps,12,12,0,1.0,,
spread_slippage_cost_attribution,traded,fee_bps|entry_fee_bps|realized_fee_bps,12,0,12,0.0,"USDC/USD:USD,SHIB/USD:USD,XLM/USD:USD,ZRX/USD:USD,TLM/USD:USD,SUPER/USD:USD,STORJ/USD:USD,RARE/USD:USD,HBAR/USD:USD,ANKR/USD:USD,AEVO/USD:USD",traded
spread_slippage_cost_attribution,traded,ev_haircut_bps|expected_friction_drag_bps,12,12,0,1.0,,
order_fill_identity,traded,position_id,12,0,12,0.0,"USDC/USD:USD,SHIB/USD:USD,XLM/USD:USD,ZRX/USD:USD,TLM/USD:USD,SUPER/USD:USD,STORJ/USD:USD,RARE/USD:USD,HBAR/USD:USD,ANKR/USD:USD,AEVO/USD:USD",traded
order_fill_identity,traded,order_id,12,11,1,0.9166666666666666,USDC/USD:USD,traded
order_fill_identity,traded,was_traded,12,12,0,1.0,,
order_fill_identity,traded,outcome_status|portfolio_decision,12,12,0,1.0,,
exact_portfolio_state_replay,all,portfolio_state_snapshot_json|open_positions_before_json|active_positions_before_json,447,0,447,0.0,"SOL/USD:USD,TRX/USD:USD,XRP/USD:USD,SNX/USD:USD,UNI/USD:USD,WLD/USD:USD,YGG/USD:USD,SHIB/USD:USD,XTZ/USD:USD,1INCH/USD:USD,SYN/USD:USD,YFI/USD:USD","rank_rejected,traded,portfolio_rejected,order_rejected"
exact_portfolio_state_replay,all,portfolio_state_snapshot_hash|portfolio_state_hash,447,0,447,0.0,"SOL/USD:USD,TRX/USD:USD,XRP/USD:USD,SNX/USD:USD,UNI/USD:USD,WLD/USD:USD,YGG/USD:USD,SHIB/USD:USD,XTZ/USD:USD,1INCH/USD:USD,SYN/USD:USD,YFI/USD:USD","rank_rejected,traded,portfolio_rejected,order_rejected"
exact_portfolio_state_replay,all,wallet_before|wallet_value,447,7,440,0.015659955257270694,"SOL/USD:USD,TRX/USD:USD,XRP/USD:USD,SNX/USD:USD,UNI/USD:USD,WLD/USD:USD,YGG/USD:USD,SHIB/USD:USD,XTZ/USD:USD,1INCH/USD:USD,SYN/USD:USD,YFI/USD:USD","rank_rejected,traded,portfolio_rejected,order_rejected"
exact_portfolio_state_replay,all,open_positions_before|open_positions_before_count,447,0,447,0.0,"SOL/USD:USD,TRX/USD:USD,XRP/USD:USD,SNX/USD:USD,UNI/USD:USD,WLD/USD:USD,YGG/USD:USD,SHIB/USD:USD,XTZ/USD:USD,1INCH/USD:USD,SYN/USD:USD,YFI/USD:USD","rank_rejected,traded,portfolio_rejected,order_rejected"
exact_portfolio_state_replay,all,cooldowns_before_json|recent_losing_trade_cooldown_state_json,447,0,447,0.0,"SOL/USD:USD,TRX/USD:USD,XRP/USD:USD,SNX/USD:USD,UNI/USD:USD,WLD/USD:USD,YGG/USD:USD,SHIB/USD:USD,XTZ/USD:USD,1INCH/USD:USD,SYN/USD:USD,YFI/USD:USD","rank_rejected,traded,portfolio_rejected,order_rejected"
exact_portfolio_state_replay,all,portfolio_priority,447,0,447,0.0,"SOL/USD:USD,TRX/USD:USD,XRP/USD:USD,SNX/USD:USD,UNI/USD:USD,WLD/USD:USD,YGG/USD:USD,SHIB/USD:USD,XTZ/USD:USD,1INCH/USD:USD,SYN/USD:USD,YFI/USD:USD","rank_rejected,traded,portfolio_rejected,order_rejected"
