symbol,rows,n_features,nan_cells,nan_pct_overall,leading_nan_cells,interior_nan_cells,trailing_nan_cells,all_nan_features,constant_features,features_with_interior_nan
GRT/USD:USD,35041,872,2583847,8.456172179954857,2408531,130948,44368,0,5,48
GTC/USD:USD,35041,870,15976368,52.40615672871877,15664467,260666,51235,0,5,71
HBAR/USD:USD,35041,872,16218877,53.07961983720774,16128710,45982,44185,0,8,47
HFT/USD:USD,35041,870,9316286,30.559557982488165,9040721,238673,36892,0,6,55
HMSTR/USD:USD,35041,863,18327491,60.60601481138648,18207014,88919,31558,1,23,43
HYPE/USD:USD,35041,866,20305233,66.91347641393753,20303114,1248,871,25,17,17
ICP/USD:USD,35041,872,3040014,9.949072763779467,2945533,64210,30271,0,7,51
ICX/USD:USD,35041,872,3577367,11.70767127577158,3223124,299813,54430,0,4,47
IMX/USD:USD,35041,872,3630241,11.880712345092997,3476654,118512,35075,0,3,46
INIT/USD:USD,35041,870,22507778,73.83068175965954,22409343,71413,27022,0,6,57
INJ/USD:USD,35041,872,6850710,22.420361312004363,6788709,31730,30271,0,9,38
IP/USD:USD,35041,871,21039849,68.93630033717105,20961264,49588,28997,0,5,48
JASMY/USD:USD,35041,872,7027696,22.99958449721676,6821984,142303,63409,0,7,58
JTO/USD:USD,35041,870,12117916,39.749547902342314,12014198,78173,25545,0,8,38
JUP/USD:USD,35041,872,12999205,42.542579217163436,12889748,75445,34012,0,6,38
KAITO/USD:USD,35041,872,21157214,69.24134611381844,21067911,48635,40668,0,6,48
KAS/USD:USD,35041,872,12821265,41.96023387020552,12708829,69430,43006,0,11,38
KAVA/USD:USD,35041,872,2465924,8.070244842934974,2281407,145111,39406,0,5,51
KSM/USD:USD,35041,872,2495188,8.166017318114115,2402435,61330,31423,0,5,49
LAYER/USD:USD,35041,870,20702323,67.90837465602691,20519451,132577,50295,0,3,55
LCAP/USD:USD,35041,866,26641244,87.79304586319965,26566241,54834,20169,2,22,61
LDO/USD:USD,35041,872,6373581,20.858858260140348,6218403,119962,35216,0,7,46
LINK/USD:USD,35041,872,844433,2.763581141776514,783675,30487,30271,0,16,30
LPT/USD:USD,35041,870,2052401,6.73234670584573,1862295,164587,25519,0,6,45
LQTY/USD:USD,35041,870,18470167,60.586390261391664,18265156,169742,35269,0,5,71
LRC/USD:USD,35041,872,2573368,8.421877491347619,2301458,209766,62144,0,6,48
LSK/USD:USD,35041,870,13100574,42.97289185377917,12838507,218060,44007,0,3,49
LTC/USD:USD,35041,872,844022,2.7622360595150792,784373,30179,29470,0,19,29
MANA/USD:USD,35041,872,1657471,5.424415671393065,1453100,153193,51178,0,3,48
ME/USD:USD,35041,870,20131409,66.0356456000475,19912726,185930,32753,0,5,50
MELANIA/USD:USD,35041,871,20124939,65.93863098405538,20026317,57578,41044,0,4,45
METIS/USD:USD,35041,870,18938299,62.12197074887972,18768981,132709,36609,0,5,48
MEW/USD:USD,35041,869,15804986,51.90364376381191,15709389,38963,56634,0,24,44
MINA/USD:USD,35041,872,3516930,11.509878729216025,3339239,132540,45151,0,8,48
MIRA/USD:USD,35041,870,25389982,83.28497290694284,25273702,87100,29180,0,14,49
MNT/USD:USD,35041,872,16598469,54.32191294130153,16246241,318230,33998,0,3,106
MOG/USD:USD,35041,869,16908735,55.5283603501261,16824023,50766,33946,0,21,49
MON/USD:USD,35041,867,26782412,88.15645090261212,26709878,51304,21230,0,19,65
MOODENG/USD:USD,35041,872,18566661,60.76322716587044,18457326,70673,38662,0,9,33
MORPHO/USD:USD,35041,872,19031784,62.28543810671064,18940817,52242,38725,0,3,49
MOVR/USD:USD,35041,870,15102443,49.53948199268706,14962021,110338,30084,0,7,49
MUBARAK/USD:USD,35041,870,22626300,74.21946114354712,22477049,98522,50729,0,16,98
NEAR/USD:USD,35041,872,1311790,4.293103308339457,1190123,81754,39913,0,5,48
NEIRO/USD:USD,35041,872,18144529,59.3817131386588,18021357,71740,51432,0,17,48
NEO/USD:USD,35041,866,14983534,49.37645132692795,14954828,27828,878,25,7,37
NIGHT/USD:USD,35041,867,26528521,87.32074837230547,26486521,18538,23462,0,26,32
NMR/USD:USD,35041,870,16129822,52.90952109630525,15974126,123829,31867,0,8,49
NOT/USD:USD,35041,867,16262381,53.528927573292215,16168045,67982,26354,0,23,48
OGN/USD:USD,35041,870,3048670,10.000337863658565,2665094,339164,44412,0,5,46
OMI/USD:USD,35041,867,26826549,88.30173136777293,26716652,78100,31797,0,23,92
ONDO/USD:USD,35041,872,14400998,47.130235904519715,14308810,61917,30271,0,6,33
OP/USD:USD,35041,872,1471219,4.814867590233092,1321190,115879,34150,0,6,41
OPEN/USD:USD,35041,870,25417834,83.37633386440253,25302774,89931,25129,0,4,70
ORCA/USD:USD,35041,870,19503512,63.97599921536906,19380673,97584,25255,0,3,49
ORDER/USD:USD,35041,870,25262429,82.86656976868149,25155206,55083,52140,0,11,44
OXT/USD:USD,35041,870,18526637,60.77162483225725,18342134,119084,65419,0,15,51
PAXG/USD:USD,35041,872,9593421,31.396448694831665,9498421,64729,30271,0,31,65
PENDLE/USD:USD,35041,871,15339037,50.25779707425558,15267564,33931,37542,0,6,39
PENGU/USD:USD,35041,872,19542432,63.956638998771815,19461180,29132,52120,0,13,38
PEPE/USD:USD,35041,869,7869947,25.844940674296087,7772304,67145,30498,0,25,38
PNUT/USD:USD,35041,872,19071182,62.414376186846916,18962781,62594,45807,0,5,47
POL/USD:USD,35041,872,17677041,57.851762247579444,17584648,55138,37255,0,9,38
POPCAT/USD:USD,35041,872,15849674,51.87132687816029,15753441,52773,43460,0,8,35
PORTAL/USD:USD,35041,870,16065552,52.69870073382018,15812450,185382,67720,0,6,52
POWR/USD:USD,35041,870,15245414,50.0084597123829,14973913,219299,52202,0,4,48
PROMPT/USD:USD,35041,870,25244111,82.80648252113205,25158960,60208,24943,0,14,52
PUMP/USD:USD,35041,869,23562846,77.3804902355219,23510477,21196,31173,0,24,35
PYTH/USD:USD,35041,872,11745212,38.43862851092652,11603791,101271,40150,0,5,41
QNT/USD:USD,35041,872,3561956,11.657235600027125,3463017,68668,30271,0,24,49
QTUM/USD:USD,35041,870,2796155,9.172030662275095,2515537,246762,33856,0,5,51
RARE/USD:USD,35041,872,17023781,55.713834174331566,16882813,95390,45578,0,5,49
RARI/USD:USD,35041,870,25770195,84.5321588798934,25579951,102325,87919,0,7,97
RAY/USD:USD,35041,871,18332479,60.06570095958774,18260606,40609,31264,0,4,45
RENDER/USD:USD,35041,872,16596734,54.316234795988656,16537942,28521,30271,0,9,35
REZ/USD:USD,35041,870,16461876,53.99873448738374,16276013,148709,37154,0,14,49
RIVER/USD:USD,35041,870,26061874,85.48893299704419,25941563,93010,27301,0,8,69
RLC/USD:USD,35041,870,7257265,23.805496156062834,6913238,305699,38328,0,5,50
RSR/USD:USD,35041,870,17807320,58.41209984887982,17687628,55988,63704,0,8,46
RUNE/USD:USD,35041,872,2972736,9.728891633889424,2806175,120004,46557,0,7,50
S/USD:USD,35041,872,20187447,66.0675836091352,20092309,52147,42991,0,6,45
SAGA/USD:USD,35041,871,14536942,47.62976196720974,14416040,92688,28214,0,5,46
SAND/USD:USD,35041,872,1942621,6.357627853505291,1756899,143488,42234,0,7,50
SEI/USD:USD,35041,872,13824565,45.24374003297317,13719193,74243,31129,0,6,34
SHIB/USD:USD,35041,872,8069831,26.410186206511952,7921523,59813,88495,0,19,37
SNX/USD:USD,35041,872,1771205,5.796633642006258,1621651,115412,34142,0,8,44
SOL/USD:USD,35041,872,854804,2.7975223781106746,783685,40848,30271,0,11,31
SOLV/USD:USD,35041,866,20699301,68.21208056309887,20584357,91074,23870,1,12,62
SONIC/USD:USD,35041,870,20355489,66.7706794700592,20175581,115410,64498,0,6,50
SOON/USD:USD,35041,870,25153751,82.51008096590955,25052312,75250,26189,0,5,64
SPELL/USD:USD,35041,870,13593225,44.588900293154126,13406400,118060,68765,0,20,45
SPK/USD:USD,35041,870,23328827,76.52391107034879,23242808,58058,27961,0,6,41
SPX/USD:USD,35041,872,19504273,63.831755801657245,19427198,46705,30370,0,6,39
SSV/USD:USD,35041,870,18727263,61.42972419500703,18575274,85462,66527,0,7,50
STBL/USD:USD,35041,872,25190384,82.4407267083461,25090567,66513,33304,0,13,66
STG/USD:USD,35041,870,9379039,30.76540223652621,9040883,298837,39319,0,6,56
STORJ/USD:USD,35041,870,3052735,10.013671997367943,2779741,241390,31604,0,3,48
STRK/USD:USD,35041,872,13441622,43.99048009029527,13292718,116759,32145,0,10,48
STX/USD:USD,35041,872,6824215,22.33365096038219,6670943,108914,44358,0,5,51
SUI/USD:USD,35041,872,7472692,24.45592567972145,7358050,84362,30280,0,5,45
SUN/USD:USD,35041,870,18526700,60.771831486728026,18307923,152556,66221,0,14,50
SUPER/USD:USD,35041,872,14728641,48.202515192556874,14597624,79591,51426,0,5,47
SUSHI/USD:USD,35041,871,2889692,9.467970782200979,2663861,186606,39225,0,6,48
SWARMS/USD:USD,35041,870,20502054,67.25144633527817,20314944,138113,48997,0,11,44
SXT/USD:USD,35041,870,22606550,74.15467660707473,22482120,100008,24422,0,13,69
SYN/USD:USD,35041,870,17092341,56.06680450191844,16958756,104342,29243,0,4,47
SYRUP/USD:USD,35041,872,22568344,73.85956005926478,22467076,69524,31744,0,4,50
T/USD:USD,35041,870,15144916,49.67880318851447,14828603,229068,87245,0,16,45
TAO/USD:USD,35041,872,15967552,52.25710694339973,15887134,44223,36195,0,25,33
TIA/USD:USD,35041,872,11674335,38.20666891130678,11598394,45661,30280,0,9,43
TLM/USD:USD,35041,870,15678178,51.428025036025126,15393286,227603,57289,0,17,51
TNSR/USD:USD,35041,872,15648192,51.21193548108389,15444170,169578,34444,0,4,43
TON/USD:USD,35041,872,14892554,48.738954289195696,14819065,42362,31127,0,7,37
TRU/USD:USD,35041,870,14592599,47.86707656416933,14407702,157806,27091,0,5,48
TRUMP/USD:USD,35041,872,20064029,65.66367275136936,20011964,21794,30271,0,8,30
TRX/USD:USD,35041,872,1482393,4.851436809671711,1363948,67567,50878,0,3,48
TURBO/USD:USD,35041,872,15580132,50.98919509492026,15469954,62171,48007,0,20,41
UMA/USD:USD,35041,870,12950860,42.48179554525126,12734049,174662,42149,0,3,45
UNI/USD:USD,35041,872,863331,2.825428744152656,790475,43386,29470,0,6,32
USDC/USD:USD,35041,872,6659144,21.793422069926475,6279221,350446,29477,0,7,68
USDT/USD:USD,35041,872,6507386,21.296762717540055,6279209,197738,30439,0,7,55
USUAL/USD:USD,35041,871,20064920,65.74198091256787,19941220,88248,35452,0,13,56
VELO/USD:USD,35041,866,20583864,67.83167168146743,20519986,35618,28260,25,23,29
VET/USD:USD,35041,863,18721627,61.90935809245538,18717658,3886,83,25,25,20
VINE/USD:USD,35041,871,20238644,66.31118128276894,20126711,73675,38258,0,4,45
VIRTUAL/USD:USD,35041,872,20150201,65.94568839281062,20076127,38574,35500,0,8,33
W/USD:USD,35041,872,14393041,47.10419498103008,14270396,73080,49565,0,8,34
WIF/USD:USD,35041,872,12822727,41.965018566717,12695712,96366,30649,0,6,36
WLD/USD:USD,35041,872,9740207,31.876836151831576,9649506,58365,32336,0,7,36
WLFI/USD:USD,35041,872,24652506,80.68041002558209,24588178,28153,36175,0,13,31
WOO/USD:USD,35041,870,7085538,23.2421921512632,6767199,261603,56736,0,4,52
XCN/USD:USD,35041,872,20315192,66.48565546676777,20215326,67703,32163,0,5,44
XLM/USD:USD,35041,872,1788871,5.854449270304328,1611768,137787,39316,0,7,49
XMR/USD:USD,35041,872,844895,2.765093132055791,784425,31000,29470,0,17,37
XPL/USD:USD,35041,872,25179661,82.40563347941821,25093099,54121,32441,0,4,58
XRP/USD:USD,35041,872,968128,3.1683985391686647,784848,144166,39114,0,4,33
XTZ/USD:USD,35041,872,1780538,5.827177809271394,1622774,124398,33366,0,4,50
YFI/USD:USD,35041,870,1946692,6.385596905037678,1729614,191769,25309,0,27,46
YGG/USD:USD,35041,870,14514102,47.60958837381629,14254332,212467,47303,0,5,44
ZBT/USD:USD,35041,870,26032323,85.39199892933303,25908116,97994,26213,0,7,69
ZEC/USD:USD,35041,872,2658942,8.70193605446202,2547222,82250,29470,0,17,50
ZIG/USD:USD,35041,870,27476818,90.13027432232914,27421488,29856,25474,0,16,51
ZK/USD:USD,35041,870,16655615,54.6342429082254,16551472,71194,32949,0,6,34
ZRO/USD:USD,35041,870,15776935,51.7519706799949,15708916,45355,22664,0,11,55
ZRX/USD:USD,35041,871,7178860,23.521273799945224,6933785,204964,40111,0,3,48
