sidecar,symbol_key,confirmed_before,source_conflicts_marked,error
FARTCOIN_USD_USD.parquet,FARTCOIN_USD:USD,0,0,
FET_USD_USD.parquet,FET_USD:USD,3639,1,
FIL_USD_USD.parquet,FIL_USD:USD,3927,0,
FLOKI_USD_USD.parquet,FLOKI_USD:USD,2394,17,
FLOW_USD_USD.parquet,FLOW_USD:USD,20917,19,
FLR_USD_USD.parquet,FLR_USD:USD,17215,7,
FLUX_USD_USD.parquet,FLUX_USD:USD,11124,6,
GALA_USD_USD.parquet,GALA_USD:USD,5761,0,
GBP_USD_USD.parquet,GBP_USD:USD,8529,0,
GIGA_USD_USD.parquet,GIGA_USD:USD,6481,14,
GMT_USD_USD.parquet,GMT_USD:USD,12495,8,
GMX_USD_USD.parquet,GMX_USD:USD,13039,14,
GOAT_USD_USD.parquet,GOAT_USD:USD,722,12,
GRASS_USD_USD.parquet,GRASS_USD:USD,2954,13,
GRIFFAIN_USD_USD.parquet,GRIFFAIN_USD:USD,4031,15,
GRT_USD_USD.parquet,GRT_USD:USD,8623,0,
GTC_USD_USD.parquet,GTC_USD:USD,14633,4,
HBAR_USD_USD.parquet,HBAR_USD:USD,782,0,
HFT_USD_USD.parquet,HFT_USD:USD,14167,20,
HMSTR_USD_USD.parquet,HMSTR_USD:USD,10245,8,
ICP_USD_USD.parquet,ICP_USD:USD,7204,0,
ICX_USD_USD.parquet,ICX_USD:USD,19586,7,
IMX_USD_USD.parquet,IMX_USD:USD,9426,1,
INIT_USD_USD.parquet,INIT_USD:USD,5811,23,
INJ_USD_USD.parquet,INJ_USD:USD,2295,0,
IP_USD_USD.parquet,IP_USD:USD,2894,14,
JASMY_USD_USD.parquet,JASMY_USD:USD,6109,0,
JTO_USD_USD.parquet,JTO_USD:USD,3949,3,
JUP_USD_USD.parquet,JUP_USD:USD,1025,11,
KAITO_USD_USD.parquet,KAITO_USD:USD,4377,9,
KAS_USD_USD.parquet,KAS_USD:USD,739,3,
KAVA_USD_USD.parquet,KAVA_USD:USD,12870,14,
KSM_USD_USD.parquet,KSM_USD:USD,13617,15,
LAYER_USD_USD.parquet,LAYER_USD:USD,8778,5,
LCAP_USD_USD.parquet,LCAP_USD:USD,3470,2,
LDO_USD_USD.parquet,LDO_USD:USD,4232,8,
LINK_USD_USD.parquet,LINK_USD:USD,551,0,
LPT_USD_USD.parquet,LPT_USD:USD,11532,8,
LQTY_USD_USD.parquet,LQTY_USD:USD,11571,4,
LRC_USD_USD.parquet,LRC_USD:USD,15342,17,
LSK_USD_USD.parquet,LSK_USD:USD,13819,7,
LTC_USD_USD.parquet,LTC_USD:USD,373,0,
MANA_USD_USD.parquet,MANA_USD:USD,7600,0,
MELANIA_USD_USD.parquet,MELANIA_USD:USD,2651,24,
METIS_USD_USD.parquet,METIS_USD:USD,10604,5,
MEW_USD_USD.parquet,MEW_USD:USD,1219,1,
ME_USD_USD.parquet,ME_USD:USD,9849,7,
MINA_USD_USD.parquet,MINA_USD:USD,13768,30,
MIRA_USD_USD.parquet,MIRA_USD:USD,5129,3,
MNT_USD_USD.parquet,MNT_USD:USD,9780,16,
MOG_USD_USD.parquet,MOG_USD:USD,7383,16,
MON_USD_USD.parquet,MON_USD:USD,2044,11,
MOODENG_USD_USD.parquet,MOODENG_USD:USD,343,5,
MORPHO_USD_USD.parquet,MORPHO_USD:USD,5688,25,
MOVR_USD_USD.parquet,MOVR_USD:USD,12130,9,
MUBARAK_USD_USD.parquet,MUBARAK_USD:USD,6770,22,
NEAR_USD_USD.parquet,NEAR_USD:USD,5983,0,
NEIRO_USD_USD.parquet,NEIRO_USD:USD,3803,21,
NIGHT_USD_USD.parquet,NIGHT_USD:USD,897,11,
NMR_USD_USD.parquet,NMR_USD:USD,7481,16,
NOT_USD_USD.parquet,NOT_USD:USD,6920,19,
OGN_USD_USD.parquet,OGN_USD:USD,23471,30,
OMI_USD_USD.parquet,OMI_USD:USD,2688,1,
ONDO_USD_USD.parquet,ONDO_USD:USD,363,3,
OPEN_USD_USD.parquet,OPEN_USD:USD,4458,8,
OP_USD_USD.parquet,OP_USD:USD,5173,0,
ORCA_USD_USD.parquet,ORCA_USD:USD,9200,19,
ORDER_USD_USD.parquet,ORDER_USD:USD,4732,9,
OXT_USD_USD.parquet,OXT_USD:USD,11142,9,
PAXG_USD_USD.parquet,PAXG_USD:USD,11950,2,
PENDLE_USD_USD.parquet,PENDLE_USD:USD,2539,14,
PENGU_USD_USD.parquet,PENGU_USD:USD,414,3,
PEPE_USD_USD.parquet,PEPE_USD:USD,1525,0,
PNUT_USD_USD.parquet,PNUT_USD:USD,1419,23,
POL_USD_USD.parquet,POL_USD:USD,1290,4,
POPCAT_USD_USD.parquet,POPCAT_USD:USD,37,0,
PORTAL_USD_USD.parquet,PORTAL_USD:USD,10938,20,
POWR_USD_USD.parquet,POWR_USD:USD,14287,11,
PROMPT_USD_USD.parquet,PROMPT_USD:USD,4668,8,
PUMP_USD_USD.parquet,PUMP_USD:USD,157,6,
PYTH_USD_USD.parquet,PYTH_USD:USD,2378,4,
QNT_USD_USD.parquet,QNT_USD:USD,12608,26,
QTUM_USD_USD.parquet,QTUM_USD:USD,23154,14,
RARE_USD_USD.parquet,RARE_USD:USD,9434,13,
RARI_USD_USD.parquet,RARI_USD:USD,1955,0,
RAVE_USD_USD.parquet,RAVE_USD:USD,120,5,
RAY_USD_USD.parquet,RAY_USD:USD,2885,25,
RENDER_USD_USD.parquet,RENDER_USD:USD,324,1,
REZ_USD_USD.parquet,REZ_USD:USD,10383,20,
RIVER_USD_USD.parquet,RIVER_USD:USD,651,0,
RLC_USD_USD.parquet,RLC_USD:USD,19996,21,
RSR_USD_USD.parquet,RSR_USD:USD,8161,23,
RUNE_USD_USD.parquet,RUNE_USD:USD,7182,12,
SAGA_USD_USD.parquet,SAGA_USD:USD,8818,20,
SAND_USD_USD.parquet,SAND_USD:USD,11048,1,
SEI_USD_USD.parquet,SEI_USD:USD,749,1,
SHIB_USD_USD.parquet,SHIB_USD:USD,2897,0,
SNX_USD_USD.parquet,SNX_USD:USD,6685,21,
SOLV_USD_USD.parquet,SOLV_USD:USD,8012,16,
SOL_USD_USD.parquet,SOL_USD:USD,12,0,
SONIC_USD_USD.parquet,SONIC_USD:USD,8944,15,
SOON_USD_USD.parquet,SOON_USD:USD,4704,11,
SPELL_USD_USD.parquet,SPELL_USD:USD,12236,7,
SPK_USD_USD.parquet,SPK_USD:USD,4787,26,
SPX_USD_USD.parquet,SPX_USD:USD,780,6,
SSV_USD_USD.parquet,SSV_USD:USD,10083,3,
STBL_USD_USD.parquet,STBL_USD:USD,4947,12,
STG_USD_USD.parquet,STG_USD:USD,18307,18,
STORJ_USD_USD.parquet,STORJ_USD:USD,14162,26,
STRK_USD_USD.parquet,STRK_USD:USD,3297,2,
STX_USD_USD.parquet,STX_USD:USD,5058,31,
SUI_USD_USD.parquet,SUI_USD:USD,2856,0,
SUN_USD_USD.parquet,SUN_USD:USD,11892,11,
SUPER_USD_USD.parquet,SUPER_USD:USD,8774,14,
SUSHI_USD_USD.parquet,SUSHI_USD:USD,6582,2,
SWARMS_USD_USD.parquet,SWARMS_USD:USD,7045,9,
SXT_USD_USD.parquet,SXT_USD:USD,7419,18,
SYN_USD_USD.parquet,SYN_USD:USD,9002,22,
SYRUP_USD_USD.parquet,SYRUP_USD:USD,5870,20,
S_USD_USD.parquet,S_USD:USD,4363,18,
TAO_USD_USD.parquet,TAO_USD:USD,259,0,
TIA_USD_USD.parquet,TIA_USD:USD,156,3,
TLM_USD_USD.parquet,TLM_USD:USD,13631,14,
TNSR_USD_USD.parquet,TNSR_USD:USD,10631,7,
TON_USD_USD.parquet,TON_USD:USD,330,0,
TRUMP_USD_USD.parquet,TRUMP_USD:USD,123,0,
TRU_USD_USD.parquet,TRU_USD:USD,11748,22,
TRX_USD_USD.parquet,TRX_USD:USD,8793,0,
TURBO_USD_USD.parquet,TURBO_USD:USD,909,6,
T_USD_USD.parquet,T_USD:USD,14367,3,
UMA_USD_USD.parquet,UMA_USD:USD,10619,19,
UNI_USD_USD.parquet,UNI_USD:USD,1534,0,
USDC_USD_USD.parquet,USDC_USD:USD,23929,14,
USDT_USD_USD.parquet,USDT_USD:USD,22860,11,
USUAL_USD_USD.parquet,USUAL_USD:USD,6305,24,
VINE_USD_USD.parquet,VINE_USD:USD,5488,7,
VIRTUAL_USD_USD.parquet,VIRTUAL_USD:USD,346,6,
WIF_USD_USD.parquet,WIF_USD:USD,64,0,
WLD_USD_USD.parquet,WLD_USD:USD,1871,0,
WLFI_USD_USD.parquet,WLFI_USD:USD,546,1,
WOO_USD_USD.parquet,WOO_USD:USD,15049,17,
W_USD_USD.parquet,W_USD:USD,4060,16,
XCN_USD_USD.parquet,XCN_USD:USD,7042,17,
XLM_USD_USD.parquet,XLM_USD:USD,6034,0,
XMR_USD_USD.parquet,XMR_USD:USD,2680,0,
XPL_USD_USD.parquet,XPL_USD:USD,3334,17,
XRP_USD_USD.parquet,XRP_USD:USD,439,0,
XTZ_USD_USD.parquet,XTZ_USD:USD,10067,11,
YFI_USD_USD.parquet,YFI_USD:USD,13663,5,
YGG_USD_USD.parquet,YGG_USD:USD,10142,24,
ZBT_USD_USD.parquet,ZBT_USD:USD,3161,4,
ZEC_USD_USD.parquet,ZEC_USD:USD,8950,0,
ZIG_USD_USD.parquet,ZIG_USD:USD,2488,6,
ZK_USD_USD.parquet,ZK_USD:USD,3841,13,
ZRO_USD_USD.parquet,ZRO_USD:USD,3688,11,
ZRX_USD_USD.parquet,ZRX_USD:USD,13540,5,
