symbol,status,error,dist_vwap_norm_nan_before,dist_vwap_norm_nan_after,vwap_zone_1d_atr_nan_before,vwap_zone_1d_atr_nan_after,vwap_zone_7d_atr_nan_before,vwap_zone_7d_atr_nan_after,dist_vwap_12_atr_nan_before,dist_vwap_12_atr_nan_after,dist_vwap_24_atr_nan_before,dist_vwap_24_atr_nan_after,dist_vwap_96_atr_nan_before,dist_vwap_96_atr_nan_after,trapped_longs_12_nan_before,trapped_longs_12_nan_after,trapped_longs_24_nan_before,trapped_longs_24_nan_after,trapped_longs_96_nan_before,trapped_longs_96_nan_after,dist_stack_nan_before,dist_stack_nan_after,oi_rel_vol_2h_nan_before,oi_rel_vol_2h_nan_after,oi_rel_vol_4h_nan_before,oi_rel_vol_4h_nan_after,oi_rel_vol_8h_nan_before,oi_rel_vol_8h_nan_after,unwind_score_nan_before,unwind_score_nan_after,innovation_z_x_zr_1h_nan_before,innovation_z_x_zr_1h_nan_after,innovation_z_x_zr_3h_nan_before,innovation_z_x_zr_3h_nan_after
ALT_USD:USD,updated,,0.5214463057561143,0.5214463057561143,0.5096030364430238,0.5096030364430238,0.5051225707028909,0.5051225707028909,0.5214463057561143,0.5214463057561143,0.5214463057561143,0.5214463057561143,0.5214463057561143,0.5214463057561143,0.5214463057561143,0.5214463057561143,0.5214463057561143,0.5214463057561143,0.5214463057561143,0.5214463057561143,0.5615992694272424,0.5615992694272424,0.7307725236151936,0.7307725236151936,0.6506092862646614,0.6506092862646614,0.5813190262834965,0.5813190262834965,0.507205844582061,0.507205844582061,0.9967181301903485,0.9967181301903485,0.9967181301903485,0.9967181301903485
ANIME_USD:USD,updated,,0.7042892611512228,0.7042892611512228,0.6827716103992466,0.6827716103992466,0.6692445991838133,0.6692445991838133,0.7042892611512228,0.7042892611512228,0.7042892611512228,0.7042892611512228,0.7042892611512228,0.7042892611512228,0.7042892611512228,0.7042892611512228,0.7042892611512228,0.7042892611512228,0.7042892611512228,0.7042892611512228,0.7362518192973945,0.7362518192973945,0.8846208726919894,0.8846208726919894,0.8331383236779772,0.8331383236779772,0.7758340230016266,0.7758340230016266,0.6715847150480865,0.6715847150480865,0.9994292400331041,0.9994292400331041,0.9994292400331041,0.9994292400331041
ANKR_USD:USD,updated,,0.09029422676293485,0.09029422676293485,0.07942124939356754,0.07942124939356754,0.07870779943494763,0.07870779943494763,0.09029422676293485,0.09029422676293485,0.09029422676293485,0.09029422676293485,0.09029422676293485,0.09029422676293485,0.09029422676293485,0.09029422676293485,0.09029422676293485,0.09029422676293485,0.09029422676293485,0.09029422676293485,0.12733654861448018,0.12733654861448018,0.4809223481065038,0.4808652721098142,0.35058930966582,0.35053223366913044,0.2608087668730915,0.26075169087640193,0.1996232984218487,0.1995662224251591,0.9989155560628977,0.9989155560628977,0.9989155560628977,0.9989155560628977
APE_USD:USD,updated,,0.014268999172398048,0.014268999172398048,0.014297537170742844,0.014297537170742844,0.014297537170742844,0.014297537170742844,0.014268999172398048,0.014268999172398048,0.014268999172398048,0.014268999172398048,0.014268999172398048,0.014268999172398048,0.014268999172398048,0.014268999172398048,0.014268999172398048,0.014268999172398048,0.014268999172398048,0.014268999172398048,0.055877400759110754,0.055877400759110754,0.21317884763562683,0.21312177163893725,0.19990867840529666,0.19985160240860705,0.19762563853771298,0.19756856254102337,0.1996232984218487,0.1995662224251591,0.5152250221169488,0.5152250221169488,0.515196484118604,0.515196484118604
API3_USD:USD,updated,,0.42424588339373875,0.42424588339373875,0.4232185154533261,0.4232185154533261,0.4232185154533261,0.4232185154533261,0.42424588339373875,0.42424588339373875,0.42424588339373875,0.42424588339373875,0.42424588339373875,0.42424588339373875,0.42424588339373875,0.42424588339373875,0.42424588339373875,0.42424588339373875,0.42424588339373875,0.42424588339373875,0.46582574698210666,0.46582574698210666,0.5861419480037671,0.5861419480037671,0.5033817528038583,0.5033817528038583,0.45012984789246885,0.45012984789246885,0.4393424845181359,0.4393424845181359,0.7709254872863217,0.7709254872863217,0.7708969492879769,0.7708969492879769
APT_USD:USD,updated,,0.10253702805285238,0.10253702805285238,0.10190919208926685,0.10190919208926685,0.10190919208926685,0.10190919208926685,0.10253702805285238,0.10253702805285238,0.10253702805285238,0.10253702805285238,0.10253702805285238,0.10253702805285238,0.10253702805285238,0.10253702805285238,0.10253702805285238,0.10253702805285238,0.10253702805285238,0.10253702805285238,0.14348905567763476,0.14348905567763476,0.25487286321737396,0.25487286321737396,0.22251077309437517,0.22251077309437517,0.20341885220170658,0.20341885220170658,0.1996232984218487,0.1996232984218487,0.2025627122513627,0.2025627122513627,0.2025341742530179,0.2025341742530179
ARB_USD:USD,updated,,0.20809908393025314,0.20809908393025314,0.20812762192859793,0.20812762192859793,0.20812762192859793,0.20812762192859793,0.20809908393025314,0.20809908393025314,0.20809908393025314,0.20809908393025314,0.20809908393025314,0.20809908393025314,0.20809908393025314,0.20809908393025314,0.20809908393025314,0.20809908393025314,0.20809908393025314,0.20809908393025314,0.24970748551696584,0.24970748551696584,0.24882280756827715,0.24882280756827715,0.2259924088924403,0.2259924088924403,0.21332153762735082,0.21332153762735082,0.2106675037812848,0.2106675037812848,0.7908450101309894,0.7908450101309894,0.7908450101309894,0.7908450101309894
ARC_USD:USD,updated,,0.6737250649239462,0.6737250649239462,0.6718700950315345,0.6718700950315345,0.6718700950315345,0.6718700950315345,0.6737250649239462,0.6737250649239462,0.6737250649239462,0.6737250649239462,0.6737250649239462,0.6737250649239462,0.6737250649239462,0.6737250649239462,0.6737250649239462,0.6737250649239462,0.6737250649239462,0.6737250649239462,0.715333466510659,0.715333466510659,0.7496932165177934,0.7496932165177934,0.7149910105305214,0.7149910105305214,0.6906766359407551,0.6906766359407551,0.6818583944522131,0.6818583944522131,0.9905824605462172,0.9905824605462172,0.9905824605462172,0.9905824605462172
ARKM_USD:USD,updated,,0.5196198738620473,0.5196198738620473,0.5024685368568249,0.5024685368568249,0.49524842327559143,0.49524842327559143,0.5196198738620473,0.5196198738620473,0.5196198738620473,0.5196198738620473,0.5196198738620473,0.5196198738620473,0.5196198738620473,0.5196198738620473,0.5196198738620473,0.5196198738620473,0.5196198738620473,0.5196198738620473,0.56122827544876,0.56122827544876,0.6993236494392283,0.6993236494392283,0.6341428612197141,0.6341428612197141,0.5795496703861192,0.5795496703861192,0.49773122913158874,0.49773122913158874,0.8747181872663451,0.8747181872663451,0.8746896492680003,0.8746896492680003
AR_USD:USD,updated,,0.49533403727062586,0.49533403727062586,0.4919094774692503,0.4919094774692503,0.49148140749407837,0.49148140749407837,0.49533403727062586,0.49533403727062586,0.49533403727062586,0.49533403727062586,0.49533403727062586,0.49533403727062586,0.49533403727062586,0.49533403727062586,0.49533403727062586,0.49533403727062586,0.49533403727062586,0.49533403727062586,0.5369424388573385,0.5369424388573385,0.5465882822978796,0.5465882822978796,0.5206757798008048,0.5206757798008048,0.5072343825804058,0.5072343825804058,0.49387859935504125,0.49387859935504125,0.5396535487000942,0.5396535487000942,0.5396250107017494,0.5396250107017494
