symbol_key,rows,actual_trades_rows,confirmed_no_trades_rows,unavailable_rows,duplicate_timestamps,non_hourly_timestamps,negative_numeric_rows,bad_actual_trade_rows,bad_confirmed_no_trade_rows,unavailable_rows_with_numeric_values,max_vwap_rel_error_actual_trades
DASH_USD_USD,25675,14316,10939,420,0,0,0,0,0,0,0.0
DEEP_USD_USD,13282,4232,9050,0,0,0,0,0,0,0,0.0
DEGEN_USD_USD,13166,5364,7802,0,0,0,0,0,0,0,0.0
DENT_USD_USD,12953,3033,9920,0,0,0,0,0,0,0,0.0
DOGE_USD_USD,7106,5435,1272,399,0,0,0,0,0,0,0.0
DOGS_USD_USD,14150,4753,9397,0,0,0,0,0,0,0,0.0
DOG_USD_USD,12310,6147,6163,0,0,0,0,0,0,0,0.0
DOT_USD_USD,9893,9420,465,8,0,0,0,0,0,0,0.0
DYDX_USD_USD,28884,20541,8343,0,0,0,0,0,0,0,0.0
DYM_USD_USD,19082,10758,8324,0,0,0,0,0,0,0,0.0
EGLD_USD_USD,32279,17555,14724,0,0,0,0,0,0,0,0.0
EIGEN_USD_USD,13644,9009,4635,0,0,0,0,0,0,0,0.0
ENA_USD_USD,10220,9661,551,8,0,0,0,0,0,0,0.0
ENJ_USD_USD,33462,16614,16848,0,0,0,0,0,0,0,0.0
ENS_USD_USD,28173,20213,7960,0,0,0,0,0,0,0,0.0
ESPORTS_USD_USD,3636,2268,1368,0,0,0,0,0,0,0,0.0
ETC_USD_USD,30487,20562,9925,0,0,0,0,0,0,0,0.0
ETHFI_USD_USD,17482,11079,6403,0,0,0,0,0,0,0,0.0
ETH_USD_USD,397,0,0,397,0,0,0,0,0,0,
EUR_USD_USD,9609,667,8942,0,0,0,0,0,0,0,0.0
FARTCOIN_USD_USD,12,1,0,11,0,0,0,0,0,0,0.0
FET_USD_USD,21300,13479,3639,4182,0,0,0,0,0,0,0.0
FIL_USD_USD,15677,11741,3927,9,0,0,0,0,0,0,0.0
FLOKI_USD_USD,15181,12783,2394,4,0,0,0,0,0,0,0.0
FLOW_USD_USD,32861,11944,20917,0,0,0,0,0,0,0,0.0
FLR_USD_USD,29300,12085,17215,0,0,0,0,0,0,0,0.0
FLUX_USD_USD,12975,1851,11124,0,0,0,0,0,0,0,0.0
GALA_USD_USD,24293,18532,5761,0,0,0,0,0,0,0,0.0
GBP_USD_USD,9464,215,8529,720,0,0,0,0,0,0,0.0
GIGA_USD_USD,12505,6024,6481,0,0,0,0,0,0,0,0.0
GMT_USD_USD,34207,21712,12495,0,0,0,0,0,0,0,0.0
GMX_USD_USD,27801,14762,13039,0,0,0,0,0,0,0,0.0
GOAT_USD_USD,6573,5459,722,392,0,0,0,0,0,0,0.0
GRASS_USD_USD,12398,9444,2954,0,0,0,0,0,0,0,0.0
GRIFFAIN_USD_USD,11237,7206,4031,0,0,0,0,0,0,0,0.0
GRT_USD_USD,29611,20988,8623,0,0,0,0,0,0,0,0.0
GTC_USD_USD,16882,2249,14633,0,0,0,0,0,0,0,0.0
HBAR_USD_USD,7490,6706,782,2,0,0,0,0,0,0,0.0
HFT_USD_USD,24441,10274,14167,0,0,0,0,0,0,0,0.0
HMSTR_USD_USD,13794,3549,10245,0,0,0,0,0,0,0,0.0
ICP_USD_USD,21360,14155,7204,1,0,0,0,0,0,0,0.0
ICX_USD_USD,29900,10314,19586,0,0,0,0,0,0,0,0.0
IMX_USD_USD,30259,20833,9426,0,0,0,0,0,0,0,0.0
INIT_USD_USD,8845,3034,5811,0,0,0,0,0,0,0,0.0
INJ_USD_USD,7950,5643,2295,12,0,0,0,0,0,0,0.0
IP_USD_USD,8940,6046,2894,0,0,0,0,0,0,0,0.0
JASMY_USD_USD,20164,14055,6109,0,0,0,0,0,0,0,0.0
JTO_USD_USD,18982,15033,3949,0,0,0,0,0,0,0,0.0
JUP_USD_USD,15933,14908,1025,0,0,0,0,0,0,0,0.0
KAITO_USD_USD,9945,5568,4377,0,0,0,0,0,0,0,0.0
KAS_USD_USD,12257,11516,739,2,0,0,0,0,0,0,0.0
KAVA_USD_USD,32428,19558,12870,0,0,0,0,0,0,0,0.0
KSM_USD_USD,32666,19049,13617,0,0,0,0,0,0,0,0.0
LAYER_USD_USD,11103,2325,8778,0,0,0,0,0,0,0,0.0
LCAP_USD_USD,3810,340,3470,0,0,0,0,0,0,0,0.0
LDO_USD_USD,20970,16738,4232,0,0,0,0,0,0,0,0.0
LINK_USD_USD,8858,7908,551,399,0,0,0,0,0,0,0.0
LPT_USD_USD,30822,19290,11532,0,0,0,0,0,0,0,0.0
LQTY_USD_USD,13863,2254,11571,38,0,0,0,0,0,0,0.0
LRC_USD_USD,32568,17226,15342,0,0,0,0,0,0,0,0.0
LSK_USD_USD,20152,6333,13819,0,0,0,0,0,0,0,0.0
LTC_USD_USD,4751,3981,373,397,0,0,0,0,0,0,0.0
MANA_USD_USD,29618,22017,7600,1,0,0,0,0,0,0,0.0
MELANIA_USD_USD,11025,8374,2651,0,0,0,0,0,0,0,0.0
METIS_USD_USD,13302,2698,10604,0,0,0,0,0,0,0,0.0
MEW_USD_USD,11697,10478,1219,0,0,0,0,0,0,0,0.0
ME_USD_USD,11837,1988,9849,0,0,0,0,0,0,0,0.0
MINA_USD_USD,31259,17491,13768,0,0,0,0,0,0,0,0.0
MIRA_USD_USD,5473,344,5129,0,0,0,0,0,0,0,0.0
MNT_USD_USD,16089,3429,9780,2880,0,0,0,0,0,0,0.0
MOG_USD_USD,14958,7575,7383,0,0,0,0,0,0,0,0.0
MON_USD_USD,3634,1590,2044,0,0,0,0,0,0,0,0.0
MOODENG_USD_USD,6187,5841,343,3,0,0,0,0,0,0,0.0
MORPHO_USD_USD,12903,7215,5688,0,0,0,0,0,0,0,0.0
MOVR_USD_USD,17664,5534,12130,0,0,0,0,0,0,0,0.0
MUBARAK_USD_USD,8771,2001,6770,0,0,0,0,0,0,0,0.0
NEAR_USD_USD,15297,9305,5983,9,0,0,0,0,0,0,0.0
NEIRO_USD_USD,13307,9504,3803,0,0,0,0,0,0,0,0.0
NIGHT_USD_USD,3014,2116,897,1,0,0,0,0,0,0,0.0
NMR_USD_USD,16132,8651,7481,0,0,0,0,0,0,0,0.0
NOT_USD_USD,15961,9041,6920,0,0,0,0,0,0,0,0.0
OGN_USD_USD,32607,9136,23471,0,0,0,0,0,0,0,0.0
OMI_USD_USD,3635,227,2688,720,0,0,0,0,0,0,0.0
ONDO_USD_USD,7706,7340,363,3,0,0,0,0,0,0,0.0
OPEN_USD_USD,5421,639,4458,324,0,0,0,0,0,0,0.0
OP_USD_USD,20222,15046,5173,3,0,0,0,0,0,0,0.0
ORCA_USD_USD,12441,3241,9200,0,0,0,0,0,0,0,0.0
ORDER_USD_USD,5601,869,4732,0,0,0,0,0,0,0,0.0
OXT_USD_USD,13679,2537,11142,0,0,0,0,0,0,0,0.0
PAXG_USD_USD,23372,11422,11950,0,0,0,0,0,0,0,0.0
PENDLE_USD_USD,16556,14017,2539,0,0,0,0,0,0,0,0.0
PENGU_USD_USD,6714,6299,414,1,0,0,0,0,0,0,0.0
PEPE_USD_USD,6706,4783,1525,398,0,0,0,0,0,0,0.0
PNUT_USD_USD,10807,9388,1419,0,0,0,0,0,0,0,0.0
POL_USD_USD,12197,10907,1290,0,0,0,0,0,0,0,0.0
POPCAT_USD_USD,3674,2800,37,837,0,0,0,0,0,0,0.0
PORTAL_USD_USD,16654,5716,10938,0,0,0,0,0,0,0,0.0
POWR_USD_USD,17664,3377,14287,0,0,0,0,0,0,0,0.0
PROMPT_USD_USD,5583,915,4668,0,0,0,0,0,0,0,0.0
PUMP_USD_USD,3698,3541,157,0,0,0,0,0,0,0,0.0
PYTH_USD_USD,17129,14751,2378,0,0,0,0,0,0,0,0.0
QNT_USD_USD,31071,18463,12608,0,0,0,0,0,0,0,0.0
QTUM_USD_USD,32730,9576,23154,0,0,0,0,0,0,0,0.0
RARE_USD_USD,14929,5495,9434,0,0,0,0,0,0,0,0.0
RARI_USD_USD,5084,494,1955,2635,0,0,0,0,0,0,0.0
RAVE_USD_USD,720,600,120,0,0,0,0,0,0,0,0.0
RAY_USD_USD,13143,10258,2885,0,0,0,0,0,0,0,0.0
RENDER_USD_USD,9856,9532,324,0,0,0,0,0,0,0,0.0
REZ_USD_USD,15935,5552,10383,0,0,0,0,0,0,0,0.0
RIVER_USD_USD,2669,578,651,1440,0,0,0,0,0,0,0.0
RLC_USD_USD,27211,7215,19996,0,0,0,0,0,0,0,0.0
RSR_USD_USD,14378,6217,8161,0,0,0,0,0,0,0,0.0
RUNE_USD_USD,24560,17376,7182,2,0,0,0,0,0,0,0.0
SAGA_USD_USD,17647,8829,8818,0,0,0,0,0,0,0,0.0
SAND_USD_USD,32025,20977,11048,0,0,0,0,0,0,0,0.0
SEI_USD_USD,13040,12290,749,1,0,0,0,0,0,0,0.0
SHIB_USD_USD,10266,7368,2897,1,0,0,0,0,0,0,0.0
SNX_USD_USD,30849,24164,6685,0,0,0,0,0,0,0,0.0
SOLV_USD_USD,11123,2391,8012,720,0,0,0,0,0,0,0.0
SOL_USD_USD,1488,1078,12,398,0,0,0,0,0,0,0.0
SONIC_USD_USD,11512,2568,8944,0,0,0,0,0,0,0,0.0
SOON_USD_USD,5709,1005,4704,0,0,0,0,0,0,0,0.0
SPELL_USD_USD,19511,7275,12236,0,0,0,0,0,0,0,0.0
SPK_USD_USD,7768,2981,4787,0,0,0,0,0,0,0,0.0
SPX_USD_USD,9012,8231,780,1,0,0,0,0,0,0,0.0
SSV_USD_USD,13466,3383,10083,0,0,0,0,0,0,0,0.0
STBL_USD_USD,5726,779,4947,0,0,0,0,0,0,0,0.0
STG_USD_USD,24730,6423,18307,0,0,0,0,0,0,0,0.0
STORJ_USD_USD,31603,17441,14162,0,0,0,0,0,0,0,0.0
STRK_USD_USD,17442,14145,3297,0,0,0,0,0,0,0,0.0
STX_USD_USD,22356,17297,5058,1,0,0,0,0,0,0,0.0
SUI_USD_USD,7254,4000,2856,398,0,0,0,0,0,0,0.0
SUN_USD_USD,13869,1977,11892,0,0,0,0,0,0,0,0.0
SUPER_USD_USD,17984,9210,8774,0,0,0,0,0,0,0,0.0
SUSHI_USD_USD,29546,22964,6582,0,0,0,0,0,0,0,0.0
SWARMS_USD_USD,11283,4238,7045,0,0,0,0,0,0,0,0.0
SXT_USD_USD,8766,1347,7419,0,0,0,0,0,0,0,0.0
SYN_USD_USD,15227,6225,9002,0,0,0,0,0,0,0,0.0
SYRUP_USD_USD,8842,2972,5870,0,0,0,0,0,0,0,0.0
S_USD_USD,11648,7285,4363,0,0,0,0,0,0,0,0.0
TAO_USD_USD,3258,2992,259,7,0,0,0,0,0,0,0.0
TIA_USD_USD,6205,6047,156,2,0,0,0,0,0,0,0.0
TLM_USD_USD,17179,3548,13631,0,0,0,0,0,0,0,0.0
TNSR_USD_USD,17135,6430,10631,74,0,0,0,0,0,0,0.0
TON_USD_USD,7763,7432,330,1,0,0,0,0,0,0,0.0
TRUMP_USD_USD,2576,1753,123,700,0,0,0,0,0,0,0.0
TRU_USD_USD,18234,6486,11748,0,0,0,0,0,0,0,0.0
TRX_USD_USD,29601,20808,8793,0,0,0,0,0,0,0,0.0
TURBO_USD_USD,13178,12269,909,0,0,0,0,0,0,0,0.0
T_USD_USD,17839,3472,14367,0,0,0,0,0,0,0,0.0
UMA_USD_USD,20222,9603,10619,0,0,0,0,0,0,0,0.0
UNI_USD_USD,12812,11268,1534,10,0,0,0,0,0,0,0.0
USDC_USD_USD,27990,2707,23929,1354,0,0,0,0,0,0,0.0
USDT_USD_USD,27980,5120,22860,0,0,0,0,0,0,0,0.0
USUAL_USD_USD,11801,5496,6305,0,0,0,0,0,0,0,0.0
VINE_USD_USD,11342,5854,5488,0,0,0,0,0,0,0,0.0
VIRTUAL_USD_USD,8390,8044,346,0,0,0,0,0,0,0,0.0
WIF_USD_USD,1131,669,64,398,0,0,0,0,0,0,0.0
WLD_USD_USD,8472,6597,1871,4,0,0,0,0,0,0,0.0
WLFI_USD_USD,5420,4874,546,0,0,0,0,0,0,0,0.0
WOO_USD_USD,27304,12255,15049,0,0,0,0,0,0,0,0.0
W_USD_USD,16232,12172,4060,0,0,0,0,0,0,0,0.0
XCN_USD_USD,11503,4461,7042,0,0,0,0,0,0,0,0.0
XLM_USD_USD,19884,13385,6034,465,0,0,0,0,0,0,0.0
XMR_USD_USD,14369,11681,2680,8,0,0,0,0,0,0,0.0
XPL_USD_USD,5700,2366,3334,0,0,0,0,0,0,0,0.0
XRP_USD_USD,4149,3312,439,398,0,0,0,0,0,0,0.0
XTZ_USD_USD,32511,22444,10067,0,0,0,0,0,0,0,0.0
YFI_USD_USD,33001,18619,13663,719,0,0,0,0,0,0,0.0
YGG_USD_USD,18463,8321,10142,0,0,0,0,0,0,0,0.0
ZBT_USD_USD,4759,878,3161,720,0,0,0,0,0,0,0.0
ZEC_USD_USD,23594,14637,8950,7,0,0,0,0,0,0,0.0
ZIG_USD_USD,2913,425,2488,0,0,0,0,0,0,0,0.0
ZK_USD_USD,15463,11622,3841,0,0,0,0,0,0,0,0.0
ZRO_USD_USD,15835,12147,3688,0,0,0,0,0,0,0,0.0
ZRX_USD_USD,26911,13371,13540,0,0,0,0,0,0,0,0.0
