symbol,price_rows,confirmed_no_trades_aligned,confirmed_with_any_price_move,confirmed_with_open_close_move,confirmed_with_high_low_move,confirmed_with_chart_positive_volume,confirmed_all_prices_flat
STG_USD:USD,24788,18307,18,18,18,18,18289
STORJ_USD:USD,32518,14162,25,24,25,26,14137
STRK_USD:USD,19753,3297,2,2,2,2,3295
STX_USD:USD,27621,5058,30,29,30,31,5028
SUI_USD:USD,26808,2856,0,0,0,0,2856
SUN_USD:USD,13895,11892,11,11,11,11,11881
SUPER_USD:USD,18216,8774,13,13,13,14,8761
SUSHI_USD:USD,32686,6582,2,2,2,2,6580
SWARMS_USD:USD,11370,7045,9,9,9,9,7036
SXT_USD:USD,8790,7419,18,18,18,18,7401
SYN_USD:USD,15356,9002,22,21,22,22,8980
SYRUP_USD:USD,8870,5870,19,19,19,20,5851
S_USD:USD,11782,4363,17,16,17,18,4346
TAO_USD:USD,16678,259,0,0,0,0,259
TIA_USD:USD,21763,156,3,3,3,3,153
TLM_USD:USD,17232,13631,14,14,14,14,13617
TNSR_USD:USD,17232,10631,7,7,7,7,10624
TON_USD:USD,18092,330,0,0,0,0,330
TRUMP_USD:USD,11783,123,0,0,0,0,123
TRU_USD:USD,18389,11748,21,20,21,22,11727
TRX_USD:USD,34413,8793,0,0,0,0,8793
TURBO_USD:USD,17232,909,6,6,6,6,903
T_USD:USD,17899,14367,3,3,3,3,14364
UMA_USD:USD,20379,10619,19,19,19,19,10600
UNI_USD:USD,35135,1534,0,0,0,0,1534
USDC_USD:USD,28075,23929,12,11,12,14,23917
USDT_USD:USD,28075,22860,8,8,8,11,22852
USUAL_USD:USD,11856,6305,24,24,24,24,6281
VINE_USD:USD,11633,5488,7,7,7,7,5481
VIRTUAL_USD:USD,11729,346,6,6,6,6,340
WIF_USD:USD,20471,64,0,0,0,0,64
WLD_USD:USD,24623,1871,0,0,0,0,1871
WLFI_USD:USD,6355,546,1,1,1,1,545
WOO_USD:USD,27479,15049,15,15,15,17,15034
W_USD:USD,18623,4060,15,15,15,16,4045
XCN_USD:USD,11544,7042,17,17,17,17,7025
XLM_USD:USD,34031,6034,0,0,0,0,6034
XMR_USD:USD,35136,2680,0,0,0,0,2680
XPL_USD:USD,5755,3334,17,17,17,17,3317
XRP_USD:USD,35135,439,0,0,0,0,439
XTZ_USD:USD,34031,10067,11,11,11,11,10056
YFI_USD:USD,33859,13663,5,5,5,5,13658
YGG_USD:USD,18572,10142,20,20,20,24,10122
ZBT_USD:USD,4767,3161,4,4,4,4,3157
ZEC_USD:USD,32855,8950,0,0,0,0,8950
ZIG_USD:USD,2922,2488,4,4,4,6,2484
ZK_USD:USD,15855,3841,13,13,13,13,3828
ZRO_USD:USD,16849,3688,11,11,11,11,3677
ZRX_USD:USD,27308,13540,5,5,5,5,13535
