asset,d,n_rows,warmup_bars,K_d,ic_overall_mean,ic_overall_std,ic_event_mean,ic_event_std,ic_nonevent_mean,ic_nonevent_std,ic_ir_event,n_folds_used
ACE/USDT,0.5,14107,3381,927,0.012798078736646764,0.0306666166257826,0.05031817939983223,0.06656975593927288,-0.005422603021358021,0.0065129317912741985,0.7558714604551452,4
ACE/USDT,0.6,14107,3381,590,0.010244904266277258,0.02860450489134631,0.0396642053982833,0.06011615659895134,-0.0034146597853179335,0.006360213563099881,0.6597927575959247,4
ACH/USDC,0.2,3690,3381,3382,0.09080020455919144,0.03219461433895118,0.14634678762165437,0.06319492906940045,0.04486174383596261,0.11228747478977592,2.3157995026015037,4
ACH/USDC,0.3,3690,3381,2275,0.078394988633577,0.025388376627031268,0.11860155487370724,0.06994565754829937,0.036593567778449715,0.10384174230149112,1.69562425081479,4
ACH/USDC,0.4,3690,3381,1458,0.0673740116075022,0.01916378425663923,0.09475851237250751,0.06681073489851978,0.028455526449493826,0.09582224100951629,1.4183126573615084,4
ACH/USDC,0.5,3690,3381,927,0.0580776983015968,0.01391419800454102,0.07419234785050796,0.05974176322073848,0.021815389590701555,0.08777408857799428,1.2418841127017333,4
ACH/USDC,0.6,3690,3381,590,0.049999674399268904,0.010061698740665889,0.06206589858653388,0.05014435078829841,0.012783439272025396,0.08584457387692729,1.2377445589199432,4
ACH/USDT,0.2,14107,3381,3382,0.021229046349236703,0.041151604765497354,0.04672166194195337,0.08488199682250443,-0.011717247478178826,0.06016822192758944,0.550430752580216,4
ACH/USDT,0.3,14107,3381,2275,0.01586972106705912,0.044794898065723836,0.03900692558689132,0.07657616376146727,-0.009468212750180383,0.051349432432902055,0.5093872970577316,4
ACH/USDT,0.4,14107,3381,1458,0.011777139964297408,0.04457242626828197,0.03443902865914653,0.06562646675508363,-0.008895079408268449,0.045912918879069314,0.5247734616416069,4
