canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(dist_rolling_7d_high<=0.23299515&loc_ema_stack_pos_24>0.23218738)|(return_autocorr_48>0.54196751),3,3,location|regime,momentum,context|trend,context|momentum|trend
(*)|(dist_rolling_7d_high>0.23299515)|(bollinger_band_width<=-0.010808094),2,2,location|regime,compression,context,compression|context
(*)|(dist_rolling_7d_high>0.23299515)|(bollinger_band_width>-0.010808094),2,2,location|regime,compression,context,compression|context
(*)|(dist_weekly_vwap<=-0.041589353)|(prior_volatility<=0.11285862&spectral_entropy_ret_24>0.13330334),3,3,location|regime,context|path_structure,context,context|path_structure
(*)|(dist_weekly_vwap<=-0.041589353&loc_prev_week_range_pos_48<=0.18720369)|(prior_volatility>0.11285862),3,3,location|regime,context,context,context
(*)|(dist_weekly_vwap<=-0.041589353&loc_prev_week_range_pos_48>0.18720369)|(prior_volatility>0.11285862),3,3,location|regime,context,context,context
(*)|(dist_prior_day_low<=0.017612927&dist_weekly_vwap>-0.041589353)|(range_24h_pct<=0.02967),3,3,location|regime,compression,context,compression|context
(*)|(dist_prior_day_low<=0.017612927&dist_weekly_vwap>-0.041589353)|(range_24h_pct>0.02967),3,3,location|regime,compression,context,compression|context
(*)|(dist_prior_day_low>0.017612927&dist_weekly_vwap>-0.041589353)|(realized_volatility_24h<=0.96252596&volume_zscore_48h<=-0.67264736),4,4,location|regime,liquidity|volatility,context,context|liquidity|volatility
(*)|(dist_prior_day_low>0.017612927&dist_weekly_vwap>-0.041589353)|(prior_volatility<=-0.27956611&range_expansion_ratio>-0.31455824&realized_volatility_24h<=0.96252596&volume_zscore_48h>-0.67264736),6,6,location|regime,context|liquidity|volatility|volatility_term_structure,context,context|liquidity|volatility|volatility_term_structure
(*)|(dist_prior_day_low>0.017612927&dist_weekly_vwap>-0.041589353)|(prior_volatility>-0.27956611&range_expansion_ratio>-0.31455824&realized_volatility_24h<=0.96252596&volume_zscore_48h>-0.67264736),6,6,location|regime,context|liquidity|volatility|volatility_term_structure,context,context|liquidity|volatility|volatility_term_structure
(*)|(dist_prior_day_low>0.017612927&dist_weekly_vwap>-0.041589353)|(realized_volatility_24h>0.96252596),3,3,location|regime,volatility,context,context|volatility
(*)|(dist_rolling_7d_high>0.17309041&dist_weekly_vwap<=-0.028803162)|(true_range_percentile<=0.029571291),3,3,location|regime,volatility,context,context|volatility
(*)|(dist_rolling_7d_high>0.17309041&dist_weekly_vwap<=-0.028803162&loc_pullback_depth_48<=0.22570463)|(true_range_percentile>0.029571291),4,4,location|regime,volatility,context|path_structure,context|path_structure|volatility
(*)|(dist_rolling_7d_high>0.17309041&dist_weekly_vwap<=-0.028803162&loc_pullback_depth_48>0.22570463)|(true_range_percentile>0.029571291),4,4,location|regime,volatility,context|path_structure,context|path_structure|volatility
(*)|(dist_weekly_vwap>-0.028803162&loc_range_pos_48<=0.50000012&loc_swing_range_pos_24<=0.53012121)|(rv_24h>-0.85145688),4,4,location|regime,volatility,context,context|volatility
(*)|(dist_weekly_vwap>-0.028803162&loc_range_pos_48>0.50000012&loc_swing_range_pos_24<=0.53012121)|(rv_24h>-0.85145688),4,4,location|regime,volatility,context,context|volatility
(*)|(dist_weekly_vwap>-0.028803162&loc_swing_range_pos_24>0.53012121)|(compression_score<=0.48809642&volume_trend_48<=-0.89354861),4,4,location|regime,liquidity|volatility_term_structure,context,context|liquidity|volatility_term_structure
(*)|(dist_weekly_vwap>-0.028803162&loc_swing_range_pos_24>0.53012121)|(compression_ratio<=-0.347637&compression_score<=0.48809642&volume_trend_48>-0.89354861),5,5,location|regime,liquidity|volatility_term_structure,context,context|liquidity|volatility_term_structure
(*)|(dist_weekly_vwap>-0.028803162&loc_swing_range_pos_24>0.53012121)|(compression_ratio>-0.347637&compression_score<=0.48809642&volume_trend_48>-0.89354861),5,5,location|regime,liquidity|volatility_term_structure,context,context|liquidity|volatility_term_structure
(*)|(dist_weekly_vwap>-0.028803162&loc_swing_range_pos_24>0.53012121)|(compression_score>0.48809642),3,3,location|regime,volatility_term_structure,context,context|volatility_term_structure
(*)|(dist_ema200_atr<=0.0029253294&dist_weekly_vwap>-0.078524537&loc_vwap_dev_z_24<=0.54961282)|(volatility_ratio_short_long<=-0.73961627),4,4,location|regime,volatility,context|liquidity,context|liquidity|volatility
(*)|(dist_ema200_atr>0.0029253294&dist_weekly_vwap>-0.078524537&loc_vwap_dev_z_24<=0.54961282)|(volatility_ratio_short_long<=-0.73961627),4,4,location|regime,volatility,context|liquidity,context|liquidity|volatility
(*)|(dist_weekly_vwap<=-0.036922708&dist_weekly_vwap>-0.078524537&loc_vwap_dev_z_24<=0.54961282)|(atr_percentile<=1.0858132&volatility_ratio_short_long>-0.73961627),5,5,location|regime,compression|volatility,context|liquidity,compression|context|liquidity|volatility
(*)|(dist_weekly_vwap<=-0.0080572562&dist_weekly_vwap>-0.036922708&loc_vwap_dev_z_24<=0.54961282)|(atr_percentile<=1.0858132&volatility_ratio_short_long>-0.73961627),5,5,location|regime,compression|volatility,context|liquidity,compression|context|liquidity|volatility
(*)|(dist_weekly_vwap>-0.0080572562&loc_vwap_dev_z_24<=0.54961282)|(atr_percentile<=1.0858132&volatility_ratio_short_long>-0.73961627),4,4,location|regime,compression|volatility,context|liquidity,compression|context|liquidity|volatility
(*)|(dist_ema200_atr<=0.0073239962&loc_vwap_dev_z_24>0.54961282)|(tail_asymmetry_q90_q10_atr_norm<=0.052742522),3,3,location|regime,path_structure,context|liquidity,context|liquidity|path_structure
(*)|(dist_ema200_atr>0.0073239962&loc_vwap_dev_z_24>0.54961282)|(tail_asymmetry_q90_q10_atr_norm<=0.052742522),3,3,location|regime,path_structure,context|liquidity,context|liquidity|path_structure
(*)|(loc_prev_week_range_pos_48<=0.65709627&loc_vwap_dev_z_24>0.54961282)|(tail_asymmetry_q90_q10_atr_norm>0.052742522),3,3,location|regime,path_structure,context|liquidity,context|liquidity|path_structure
(*)|(loc_prev_week_range_pos_48>0.65709627&loc_vwap_dev_z_24>0.54961282)|(tail_asymmetry_q90_q10_atr_norm>0.052742522),3,3,location|regime,path_structure,context|liquidity,context|liquidity|path_structure
(*)|(dist_prior_day_low<=0.01312988&dist_rolling_7d_high<=0.20722137&loc_vwap_dev_z_48>-1.1318632)|(*),3,3,location,,context|liquidity,context|liquidity
(*)|(dist_prior_day_low>0.01312988&dist_rolling_7d_high<=0.20722137&loc_swing_range_pos_24<=0.41100085)|(range_expansion_ratio<=0.08096227),4,4,location|regime,volatility_term_structure,context,context|volatility_term_structure
(*)|(dist_prior_day_low>0.01312988&dist_rolling_7d_high<=0.20722137&loc_swing_range_pos_24<=0.41100085)|(range_expansion_ratio>0.08096227),4,4,location|regime,volatility_term_structure,context,context|volatility_term_structure
(*)|(dist_prior_day_low>0.01312988&dist_rolling_7d_high<=0.20722137&loc_swing_range_pos_24>0.41100085)|(direction_entropy_20<=0.24626982&volume_autocorr_48<=-0.46527097),5,5,location|regime,liquidity|path_structure,context,context|liquidity|path_structure
(*)|(dist_prior_day_low>0.01312988&dist_rolling_7d_high<=0.20722137&loc_swing_range_pos_24>0.41100085)|(direction_entropy_20<=0.24626982&volume_autocorr_48>-0.46527097),5,5,location|regime,liquidity|path_structure,context,context|liquidity|path_structure
(*)|(dist_prior_day_low>0.01312988&dist_rolling_7d_high<=0.20722137&loc_swing_range_pos_24>0.41100085)|(direction_entropy_20>0.24626982&volume_autocorr_48<=-0.38919088),5,5,location|regime,liquidity|path_structure,context,context|liquidity|path_structure
(*)|(dist_prior_day_low>0.01312988&dist_rolling_7d_high<=0.20722137&loc_swing_range_pos_24>0.41100085)|(direction_entropy_20>0.24626982&range_expansion_ratio<=-0.20746763&volume_autocorr_48>-0.38919088),6,6,location|regime,liquidity|path_structure|volatility_term_structure,context,context|liquidity|path_structure|volatility_term_structure
(*)|(dist_rolling_7d_high>0.20722137)|(direction_entropy_20<=0.32708529&range_24h_pct>0.063267648),3,3,location|regime,compression|path_structure,context,compression|context|path_structure
(*)|(dist_rolling_7d_high>0.20722137)|(direction_entropy_20>0.32708529&range_24h_pct>0.063267648),3,3,location|regime,compression|path_structure,context,compression|context|path_structure
(*)|(loc_session_pos_24<=0.63837844&zscore_price_50>-1.0087357)|(range_expansion_ratio<=-0.19177535&return_autocorr_48<=-0.40602621&rv_24h<=0.31308603),5,5,location|regime,momentum|volatility|volatility_term_structure,context,context|momentum|volatility|volatility_term_structure
(*)|(loc_session_pos_24<=0.63837844&zscore_price_50>-1.0087357)|(range_expansion_ratio<=-0.19177535&return_autocorr_48>-0.40602621&rv_24h<=0.31308603),5,5,location|regime,momentum|volatility|volatility_term_structure,context,context|momentum|volatility|volatility_term_structure
