,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
slope,0.010715042,0.0021616395,0.05311345,42.333332,5.8214164,307.84796,35.330048,7.950649,156.99501,0.026832422,0.0054985266,0.13094033,24.0,0.0,0.0,0.08851197,0.5869565,0.0,0.10142083,37.5,6.3333335,0.20049176,36.0
trapped_longs_12,0.0065362793,0.0014018819,0.030475425,39.5,5.4390564,286.8604,20.806221,4.6080766,93.94349,0.016333375,0.0032973366,0.080907464,46.5,0.0,0.0,0.016651977,0.67391306,0.0,0.44529697,55.5,5.0,0.1999017,37.0
ffd_amihud_04,0.011844286,0.0022062212,0.063587055,39.666668,5.9066815,266.38382,40.2947,10.427342,155.71207,0.029247465,0.006559008,0.13041823,21.0,0.0,0.0,0.10793098,0.51086956,0.0,0.09350967,31.5,7.5,0.1917549,38.0
prog_eff_24,0.007881262,0.0021103565,0.029433087,31.0,7.788881,123.38101,25.72013,7.9596553,83.10977,0.018805496,0.005302142,0.06669884,50.5,0.0,0.0,0.039780945,0.6304348,0.0,0.22787465,45.0,5.6666665,0.19088195,39.0
up_vol,0.014453506,0.004328141,0.048266415,45.0,9.626352,210.36005,51.79971,23.798433,112.74733,0.035360254,0.013827636,0.09042382,35.0,0.0,0.0,0.15280038,0.4021739,0.0,0.09350967,28.5,9.166667,0.18925917,40.0
body_pct,0.012025926,0.0027361128,0.05285707,47.0,6.6332498,333.0193,38.59587,10.168138,146.50089,0.03008563,0.008026844,0.11276476,28.0,0.0,0.0,0.11105456,0.4673913,0.0,0.22304845,34.0,8.166667,0.18908025,41.0
liq_score,0.011918931,0.0036134264,0.03931474,34.833332,5.580223,217.43954,40.812656,12.124602,137.3796,0.027477166,0.008107668,0.09312106,36.0,0.0,0.0,0.10921462,0.47826087,0.0,0.0,32.0,8.0,0.17963326,42.0
dir_path_risk_skew_2h,0.010199975,0.0045533893,0.022848802,33.0,9.609023,113.33097,34.53608,20.550682,58.038986,0.026005708,0.013504821,0.050078176,57.0,0.0,0.0,0.079654634,0.51086956,0.0,0.11204216,44.5,7.5,0.17712955,43.0
hurst_proxy_x_regime_trend_48h,0.0074938475,0.003697657,0.015187387,32.333332,8.399735,124.46159,23.078207,10.966747,48.565323,0.01829805,0.008478936,0.03948829,60.0,0.0,0.0,0.033118777,0.4673913,0.0,0.8148317,55.0,8.166667,0.17580473,44.0
atr_pct_base,0.010723588,0.002579084,0.04458767,43.333332,6.5489607,286.72913,34.901543,8.580469,141.96399,0.025623735,0.0063817343,0.1028836,33.0,0.0,0.0,0.08865893,0.48913044,0.0,0.092914306,36.5,7.8333335,0.17569074,45.0
