layer,run,window,top_pct,rows,n,net_hit_pct,mean_net_bps,median_net_bps,stop_hit_pct,avg_loss_per_stop_bps
meta_tbm_clf,v8,4w,40,1226,491,23.828920570264767,-17.963643065225998,-65.04954833855852,17.718940936863543,128.921338546162
meta_tbm_clf,v8,2w,10,502,51,19.607843137254903,-8.675444778464062,-64.57885354377329,7.8431372549019605,140.58243941674124
meta_tbm_clf,v8,2w,20,502,101,24.752475247524753,2.9148325911079804,-64.3445368585363,9.900990099009901,126.64420677521962
meta_tbm_clf,v8,2w,30,502,151,21.192052980132452,-10.35649283572717,-63.32756403919309,9.933774834437086,131.1155202867261
meta_tbm_clf,v8,2w,40,502,201,24.875621890547265,-9.77947105653884,-62.79682367660105,12.437810945273633,110.20153272422438
meta_correctness_clf,baseline,all,10,62257,6226,15.563764857051076,-18.839018138552905,-64.66969765808433,5.203983295856087,83.12594233984039
meta_correctness_clf,baseline,all,20,62257,12452,22.333761644715707,-10.8630585469518,-56.16662418089807,7.516864760681015,108.1482846785007
meta_correctness_clf,baseline,all,30,62257,18678,24.435164364492987,-19.26631770398136,-57.119250759407876,15.767212763679195,145.23383049306634
meta_correctness_clf,baseline,all,40,62257,24903,25.31421917038108,-29.718518966298536,-62.41040222432464,24.446853792715736,162.40863768836772
meta_correctness_clf,baseline,8w,10,3948,395,14.430379746835442,-14.444434533208334,-64.08778868701309,5.5696202531645564,73.1463211019377
meta_correctness_clf,baseline,8w,20,3948,790,15.69620253164557,-15.705972183026834,-64.78542452880181,7.215189873417721,78.33280685983989
meta_correctness_clf,baseline,8w,30,3948,1185,18.227848101265824,-13.7456853191892,-62.79682367660105,7.172995780590717,76.60446966352568
meta_correctness_clf,baseline,8w,40,3948,1580,21.39240506329114,-11.158239473573737,-59.74009958647191,6.962025316455696,80.81789036938954
meta_correctness_clf,baseline,4w,10,1226,123,20.32520325203252,-12.30647890252805,-64.08778868701309,8.94308943089431,77.37522505939961
meta_correctness_clf,baseline,4w,20,1226,246,23.170731707317074,-4.641477172554397,-64.08667502894066,9.34959349593496,73.4023063331222
meta_correctness_clf,baseline,4w,30,1226,368,24.184782608695652,-4.134294149052111,-59.90663083123043,8.152173913043478,75.90285272763631
meta_correctness_clf,baseline,4w,40,1226,491,26.476578411405292,-4.109828367710315,-57.75283998429775,8.55397148676171,79.71753922049687
meta_correctness_clf,baseline,2w,10,502,51,19.607843137254903,-16.951423684976128,-63.7205996279791,9.803921568627452,86.72564526961838
meta_correctness_clf,baseline,2w,20,502,101,15.841584158415841,-10.279992686735106,-64.08778868701309,8.91089108910891,79.7952570192035
meta_correctness_clf,baseline,2w,30,502,151,15.894039735099339,-9.219463708374859,-64.08778868701309,8.609271523178808,77.53284090996603
meta_correctness_clf,baseline,2w,40,502,201,18.407960199004975,-11.169883312441405,-62.448466542102395,8.955223880597014,75.20015350535975
meta_correctness_clf,v8,all,10,62257,6226,29.762287182781883,-4.539416574242776,-40.26125860020518,18.64760681015098,113.74115786770052
meta_correctness_clf,v8,all,20,62257,12452,29.537423707035014,-15.512947470202514,-46.80032003290951,23.843559267587537,128.49320754724675
meta_correctness_clf,v8,all,30,62257,18678,28.76646321876004,-20.00034876334041,-52.7925641470775,26.282257200985114,129.59043006762576
meta_correctness_clf,v8,all,40,62257,24903,27.651286993534917,-24.184446208517823,-59.49478223539889,27.346102879171184,131.04017306185457
meta_correctness_clf,v8,8w,10,3948,395,19.49367088607595,-22.897317449536942,-57.46860382698476,16.20253164556962,132.3275604757315
meta_correctness_clf,v8,8w,20,3948,790,20.506329113924053,-23.67791327434958,-60.31796894587576,22.531645569620252,121.2316925254181
meta_correctness_clf,v8,8w,30,3948,1185,20.337552742616033,-25.259484478118654,-63.98392759349197,21.940928270042196,119.7247364985663
meta_correctness_clf,v8,8w,40,3948,1580,19.050632911392405,-29.077962271443713,-65.35755068382248,20.759493670886076,121.31987579165724
meta_correctness_clf,v8,4w,10,1226,123,30.89430894308943,-19.7185335121882,-55.70398037873208,21.138211382113823,188.3187459860183
meta_correctness_clf,v8,4w,20,1226,246,28.04878048780488,-26.347903110555293,-58.88780089646578,25.609756097560975,156.33008962456447
meta_correctness_clf,v8,4w,30,1226,368,27.173913043478258,-22.68102790553375,-60.765859725344924,23.097826086956523,151.59387796802415
meta_correctness_clf,v8,4w,40,1226,491,26.272912423625254,-22.498009296285556,-62.616660488694905,22.19959266802444,151.32706847374172
meta_correctness_clf,v8,2w,10,502,51,23.52941176470588,-50.050952406535856,-64.3445368585363,15.686274509803921,320.67533988976913
meta_correctness_clf,v8,2w,20,502,101,26.732673267326735,-43.13985177498135,-64.8825066126138,25.742574257425744,195.51993919620475
meta_correctness_clf,v8,2w,30,502,151,26.490066225165563,-33.8908120863771,-64.08778868701309,23.841059602649008,169.22100261262014
meta_correctness_clf,v8,2w,40,502,201,23.383084577114428,-32.705636804581246,-62.45311267759651,22.388059701492537,151.07710761522955
