feature,replay_pre_transform,replay_post_transform,snapshot_post_transform,post_minus_pre,snapshot_minus_replay_post,pre_missing,post_missing,snapshot_missing,abs_snapshot_post_delta
fund_abs_z_x_ret24h_sign,-0.3552464246749878,-0.228042334318161,-0.22807000577449799,0.12720409035682678,-2.7671456336975098e-05,False,False,False,2.7671456336975098e-05
spike_score,0.0002808788849506527,-0.41554173827171326,-0.4155610203742981,-0.4158226171566639,-1.9282102584838867e-05,False,False,False,1.9282102584838867e-05
second_leg_accel_vol_2h,-0.06952252984046936,-0.14830709993839264,-0.14829815924167633,-0.07878457009792328,8.940696716308594e-06,False,False,False,8.940696716308594e-06
ext_atrExp,0.0,0.03713781014084816,0.03713051974773407,0.03713781014084816,-7.290393114089966e-06,False,False,False,7.290393114089966e-06
kalman_gain_1h,0.18790006637573242,0.18790006637573242,0.18790441751480103,0.0,4.351139068603516e-06,False,False,False,4.351139068603516e-06
cs_dispersion_ret_4h,0.24030537903308868,0.3016621470451355,0.3016604781150818,0.061356768012046814,-1.6689300537109375e-06,False,False,False,1.6689300537109375e-06
second_leg_accel_vol_1h,-0.08105306327342987,-0.2047947496175766,-0.20479576289653778,-0.12374168634414673,-1.0132789611816406e-06,False,False,False,1.0132789611816406e-06
resid_ret_vs_eth_4h,-0.6097308397293091,0.2815600037574768,0.28156089782714844,0.8912908434867859,8.940696716308594e-07,False,False,False,8.940696716308594e-07
vol_concentration_12,0.1206912025809288,0.7002114057540894,0.7002105712890625,0.5795202031731606,-8.344650268554688e-07,False,False,False,8.344650268554688e-07
resid_ret_vs_btceth_4h,-0.7431739568710327,0.2918633222579956,0.2918641269207001,1.0350372791290283,8.046627044677734e-07,False,False,False,8.046627044677734e-07
ret2h,-11.284448623657227,0.12391979992389679,0.12391941249370575,11.408368423581123,-3.8743019104003906e-07,False,False,False,3.8743019104003906e-07
sv_imb_12,0.5859350562095642,0.5859350562095642,0.5859352946281433,0.0,2.384185791015625e-07,False,False,False,2.384185791015625e-07
asset_mom_minus_basket_mom_24h,-0.972344696521759,-0.972344696521759,-0.9723448157310486,0.0,-1.1920928955078125e-07,False,False,False,1.1920928955078125e-07
market_dispersion_4h,0.24030537903308868,0.24030537903308868,0.2403053641319275,0.0,-1.4901161193847656e-08,False,False,False,1.4901161193847656e-08
meta_signal_x_accel,-0.025238092988729477,-0.025238092988729477,-0.025238104164600372,0.0,-1.1175870895385742e-08,False,False,False,1.1175870895385742e-08
ema50_ema200_spread_continuous,-0.005102597642689943,-0.005102597642689943,-0.00510258786380291,0.0,9.778887033462524e-09,False,False,False,9.778887033462524e-09
asset_mom_minus_basket_mom_4h,-0.07039211690425873,-0.07039211690425873,-0.07039210945367813,0.0,7.450580596923828e-09,False,False,False,7.450580596923828e-09
rsi_x_high_vol,0.0,0.11572640389204025,0.11572639644145966,0.11572640389204025,-7.450580596923828e-09,False,False,False,7.450580596923828e-09
prog_eff_12,0.0001285076723434031,0.0001285076723434031,0.00012850771599914879,0.0,4.3655745685100555e-11,False,False,False,4.3655745685100555e-11
G_EXH_EFFORT,8729941.0,2.053748846054077,2.053748846054077,-8729938.946251154,0.0,False,False,False,0.0
G_EXH_GIVEBACK,1.0,1.0,1.0,0.0,0.0,False,False,False,0.0
G_EXH_TAIL_FAIL,54.05753707885742,2.053748846054077,2.053748846054077,-52.003788232803345,0.0,False,False,False,0.0
G_LIQ_EXCEL,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0
G_LIQ_GOOD,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0
G_LIQ_GREAT,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0
G_MR_SPIKE,-0.11912854760885239,-0.11912854760885239,-0.11912854760885239,0.0,0.0,False,False,False,0.0
G_TREND,,0.0,0.0,,0.0,True,False,False,0.0
G_VOL,,0.0,0.0,,0.0,True,False,False,0.0
G_VOL_LIQ_GT1,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0
G_VOL_LIQ_GT2,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0
G_VOL_LIQ_GT3,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0
a_funding_proxy,-1.412601351737976,-1.412601351737976,-1.412601351737976,0.0,0.0,False,False,False,0.0
adx_10,54.926761627197266,2.053748846054077,2.053748846054077,-52.87301278114319,0.0,False,False,False,0.0
adx_10_gt25,1.0,1.0,1.0,0.0,0.0,False,False,False,0.0
adx_10_slope,-2.440235137939453,-1.1583607196807861,-1.1583607196807861,1.281874418258667,0.0,False,False,False,0.0
adx_14,54.29593276977539,2.053748846054077,2.053748846054077,-52.24218392372131,0.0,False,False,False,0.0
adx_14_gt25,1.0,1.0,1.0,0.0,0.0,False,False,False,0.0
adx_14_slope,-3.9689712524414062,-1.8625255823135376,-1.8625255823135376,2.1064456701278687,0.0,False,False,False,0.0
adx_7,54.316200256347656,2.053748846054077,2.053748846054077,-52.26245141029358,0.0,False,False,False,0.0
adx_7_gt25,1.0,1.0,1.0,0.0,0.0,False,False,False,0.0
adx_7_slope,2.363922119140625,0.8443959951400757,0.8443959951400757,-1.5195261240005493,0.0,False,False,False,0.0
adx_di_minus_10,6.738505840301514,2.053748846054077,2.053748846054077,-4.6847569942474365,0.0,False,False,False,0.0
