trigger_family,trigger_name,source_function,params,long_short_supported,semantic_description,source_file,notes
sweep_reversal,relaxed_sweep,generate_trigger_templates,"{'lookback': 10, 'wick_min': 0.4}",True,bar sweeps the prior extreme and leaves a large rejection wick,extreme_price_movements/trigger_discovery.py,
sweep_reversal,sweep_reversal,generate_trigger_templates,"{'lookback': 10, 'wick_min': 0.6, 'body_ratio_max': 0.6}",True,bar sweeps the prior extreme then rejects back into range,extreme_price_movements/trigger_discovery.py,
sweep_reversal,sweep_reversal,generate_trigger_templates,"{'lookback': 10, 'wick_min': 0.6, 'body_ratio_max': 0.8}",True,bar sweeps the prior extreme then rejects back into range,extreme_price_movements/trigger_discovery.py,
sweep_reversal,relaxed_sweep,generate_trigger_templates,"{'lookback': 10, 'wick_min': 0.6}",True,bar sweeps the prior extreme and leaves a large rejection wick,extreme_price_movements/trigger_discovery.py,
sweep_reversal,sweep_reversal,generate_trigger_templates,"{'lookback': 20, 'wick_min': 0.4, 'body_ratio_max': 0.6}",True,bar sweeps the prior extreme then rejects back into range,extreme_price_movements/trigger_discovery.py,
sweep_reversal,sweep_reversal,generate_trigger_templates,"{'lookback': 20, 'wick_min': 0.4, 'body_ratio_max': 0.8}",True,bar sweeps the prior extreme then rejects back into range,extreme_price_movements/trigger_discovery.py,
sweep_reversal,relaxed_sweep,generate_trigger_templates,"{'lookback': 20, 'wick_min': 0.4}",True,bar sweeps the prior extreme and leaves a large rejection wick,extreme_price_movements/trigger_discovery.py,
sweep_reversal,sweep_reversal,generate_trigger_templates,"{'lookback': 20, 'wick_min': 0.6, 'body_ratio_max': 0.6}",True,bar sweeps the prior extreme then rejects back into range,extreme_price_movements/trigger_discovery.py,
sweep_reversal,sweep_reversal,generate_trigger_templates,"{'lookback': 20, 'wick_min': 0.6, 'body_ratio_max': 0.8}",True,bar sweeps the prior extreme then rejects back into range,extreme_price_movements/trigger_discovery.py,
sweep_reversal,relaxed_sweep,generate_trigger_templates,"{'lookback': 20, 'wick_min': 0.6}",True,bar sweeps the prior extreme and leaves a large rejection wick,extreme_price_movements/trigger_discovery.py,
compression_release,compression_release,generate_trigger_templates,"{'compression_ratio_max': 0.5, 'range_atr_min': 1.2}",True,compression state releases into a directional expansion bar,extreme_price_movements/trigger_discovery.py,
compression_release,compression_release,generate_trigger_templates,"{'compression_ratio_max': 0.5, 'range_atr_min': 1.5}",True,compression state releases into a directional expansion bar,extreme_price_movements/trigger_discovery.py,
compression_release,compression_release,generate_trigger_templates,"{'compression_ratio_max': 0.6, 'range_atr_min': 1.2}",True,compression state releases into a directional expansion bar,extreme_price_movements/trigger_discovery.py,
compression_release,compression_release,generate_trigger_templates,"{'compression_ratio_max': 0.6, 'range_atr_min': 1.5}",True,compression state releases into a directional expansion bar,extreme_price_movements/trigger_discovery.py,
compression_release,compressed_breakout_up_down,generate_trigger_templates,"{'compression_ratio_max': 0.5, 'lookback': 5}",True,compression state breaks the prior rolling extreme,extreme_price_movements/trigger_discovery.py,
compression_release,compressed_breakout_up_down,generate_trigger_templates,"{'compression_ratio_max': 0.5, 'lookback': 10}",True,compression state breaks the prior rolling extreme,extreme_price_movements/trigger_discovery.py,
compression_release,compressed_breakout_up_down,generate_trigger_templates,"{'compression_ratio_max': 0.5, 'lookback': 15}",True,compression state breaks the prior rolling extreme,extreme_price_movements/trigger_discovery.py,
compression_release,compressed_breakout_up_down,generate_trigger_templates,"{'compression_ratio_max': 0.6, 'lookback': 5}",True,compression state breaks the prior rolling extreme,extreme_price_movements/trigger_discovery.py,
compression_release,compressed_breakout_up_down,generate_trigger_templates,"{'compression_ratio_max': 0.6, 'lookback': 10}",True,compression state breaks the prior rolling extreme,extreme_price_movements/trigger_discovery.py,
compression_release,compressed_breakout_up_down,generate_trigger_templates,"{'compression_ratio_max': 0.6, 'lookback': 15}",True,compression state breaks the prior rolling extreme,extreme_price_movements/trigger_discovery.py,
compression_release,compressed_breakout_up_down,generate_trigger_templates,"{'compression_ratio_max': 0.7, 'lookback': 5}",True,compression state breaks the prior rolling extreme,extreme_price_movements/trigger_discovery.py,
compression_release,compressed_breakout_up_down,generate_trigger_templates,"{'compression_ratio_max': 0.7, 'lookback': 10}",True,compression state breaks the prior rolling extreme,extreme_price_movements/trigger_discovery.py,
compression_release,compressed_breakout_up_down,generate_trigger_templates,"{'compression_ratio_max': 0.7, 'lookback': 15}",True,compression state breaks the prior rolling extreme,extreme_price_movements/trigger_discovery.py,
