feature_name,source_function,formula_or_description,parameterization,dimensionless,normalized,source_file,notes
bearish_bar,build_trigger_feature_frame,close < open,,True,False,extreme_price_movements/trigger_discovery.py,
prior_bullish_bar,build_trigger_feature_frame,bullish_bar shifted by 1,,True,False,extreme_price_movements/trigger_discovery.py,
prior_bearish_bar,build_trigger_feature_frame,bearish_bar shifted by 1,,True,False,extreme_price_movements/trigger_discovery.py,
inside_bar,build_trigger_feature_frame,high <= prev_high and low >= prev_low,,True,False,extreme_price_movements/trigger_discovery.py,
outside_bar,build_trigger_feature_frame,high >= prev_high and low <= prev_low,,True,False,extreme_price_movements/trigger_discovery.py,
hl_range,_compute_z_cache,rolling robust z-score of high-low range,,False,True,extreme_price_movements/mask_optimiser.py,approximate range proxy for regime search
intrabar_range_atr,_compute_z_cache,intrabar range normalized by approximate ATR,,True,True,extreme_price_movements/mask_optimiser.py,approximate range_atr proxy
compression_expansion_transition,_compute_z_cache,range spike divided by rolling bollinger width proxy,,True,True,extreme_price_movements/mask_optimiser.py,
distance_from_ema_atr,_compute_z_cache,distance from SMA/EMA proxy normalized by ATR proxy,,True,True,extreme_price_movements/mask_optimiser.py,
volume_robust_z,_compute_z_cache,rolling robust z-score of volume,,True,True,extreme_price_movements/mask_optimiser.py,
breakout_distance_up_atr,_compute_z_cache,distance from shifted trailing high normalized by ATR proxy,,True,True,extreme_price_movements/mask_optimiser.py,
breakout_distance_down_atr,_compute_z_cache,distance from shifted trailing low normalized by ATR proxy,,True,True,extreme_price_movements/mask_optimiser.py,
true_range_percentile,build_regime_features,rolling percentile rank of true range,168,True,True,extreme_price_movements/ridge_regime_event_assessment.py,
